1,松崎　祐太郎,松崎　祐太郎.1,2,山田 亮太,山田 亮太.1,3,高橋 淳美,高橋 淳美.1,4,竹間 隆晟,竹間 隆晟.1,5,岡本　翔太郎,岡本　翔太郎.1,6,近藤　雄一郎,近藤　雄一郎.1
2.0,3.0,11.1,1.0,3.0,110.4,1.0,2.0,292.9,1.0,2.0,36.6,1.0,2.0,179.2,1.0,2.0,1153.0
2.0,4.0,4.3,1.0,4.0,45.4,1.0,4.0,336.3,1.0,3.0,134.6,1.0,3.0,429.3,1.0,3.0,2256.0
2.0,5.0,10.7,1.0,5.0,116.6,1.0,5.0,524.9,1.0,5.0,37.5,1.0,4.0,127.4,1.0,4.0,883.8
2.0,6.0,35.7,1.0,6.0,249.8,1.0,6.0,827.4,1.0,6.0,69.1,1.0,6.0,212.2,1.0,5.0,1441.0
3.0,2.0,28.7,3.0,1.0,421.3,2.0,1.0,495.5,2.0,1.0,94.8,2.0,1.0,430.3,2.0,1.0,2505.0
3.0,4.0,27.6,3.0,4.0,844.7,2.0,4.0,833.1,2.0,3.0,431.9,2.0,3.0,1292.0,2.0,3.0,5503.0
3.0,5.0,52.4,3.0,5.0,1306.0,2.0,5.0,1252.0,2.0,5.0,195.2,2.0,4.0,600.4,2.0,4.0,3783.0
3.0,6.0,109.6,3.0,6.0,1301.0,2.0,6.0,1513.0,2.0,6.0,309.9,2.0,6.0,873.1,2.0,5.0,4656.0
4.0,2.0,5.9,4.0,1.0,152.7,4.0,1.0,618.8,3.0,1.0,501.0,3.0,1.0,1391.0,3.0,1.0,5765.0
4.0,3.0,19.9,4.0,3.0,603.3,4.0,2.0,966.0,3.0,2.0,825.5,3.0,2.0,2006.0,3.0,2.0,5858.0
4.0,5.0,10.2,4.0,5.0,450.1,4.0,5.0,1248.0,3.0,5.0,931.3,3.0,4.0,2063.0,3.0,4.0,4843.0
4.0,6.0,26.6,4.0,6.0,860.7,4.0,6.0,1464.0,3.0,6.0,1301.0,3.0,6.0,2594.0,3.0,5.0,6372.0
5.0,2.0,25.9,5.0,1.0,524.9,5.0,1.0,1223.0,5.0,1.0,55.4,4.0,1.0,139.2,4.0,1.0,1037.0
5.0,3.0,58.2,5.0,3.0,1252.0,5.0,2.0,1552.0,5.0,2.0,117.0,4.0,2.0,297.9,4.0,2.0,3302.0
5.0,4.0,25.5,5.0,4.0,781.1,5.0,4.0,1636.0,5.0,3.0,424.8,4.0,3.0,1074.0,4.0,3.0,6985.0
5.0,6.0,56.8,5.0,6.0,1621.0,5.0,6.0,2149.0,5.0,6.0,101.2,4.0,6.0,222.4,4.0,5.0,1579.0
6.0,2.0,135.1,6.0,1.0,1501.0,6.0,1.0,2149.0,6.0,1.0,241.0,6.0,1.0,662.8,5.0,1.0,2063.0
6.0,3.0,259.8,6.0,3.0,2313.0,6.0,2.0,2228.0,6.0,2.0,480.4,6.0,2.0,1190.0,5.0,2.0,4908.0
6.0,4.0,125.1,6.0,4.0,1853.0,6.0,4.0,2505.0,6.0,3.0,1210.0,6.0,3.0,2052.0,5.0,3.0,6372.0
6.0,5.0,131.8,6.0,5.0,2343.0,6.0,5.0,3002.0,6.0,5.0,288.9,6.0,4.0,610.4,5.0,4.0,1721.0
