1,宮迫 暢彦,宮迫 暢彦.1,2,木山 誠一,木山 誠一.1,3,松本 博昭,松本 博昭.1,4,東 健介,東 健介.1,5,樋口 亮,樋口 亮.1,6,森 雄利,森 雄利.1
2.0,3.0,15.0,1.0,3.0,75.5,1.0,2.0,58.8,1.0,2.0,274.8,1.0,2.0,49.5,1.0,2.0,1612.0
2.0,4.0,33.6,1.0,4.0,147.4,1.0,4.0,52.9,1.0,3.0,192.2,1.0,3.0,25.7,1.0,3.0,1378.0
2.0,5.0,15.4,1.0,5.0,73.9,1.0,5.0,21.6,1.0,5.0,145.6,1.0,4.0,59.5,1.0,4.0,2049.0
2.0,6.0,204.2,1.0,6.0,525.6,1.0,6.0,262.1,1.0,6.0,646.4,1.0,6.0,185.5,1.0,5.0,1239.0
3.0,2.0,12.3,3.0,1.0,134.8,2.0,1.0,140.1,2.0,1.0,486.2,2.0,1.0,115.9,2.0,1.0,2204.0
3.0,4.0,13.0,3.0,4.0,296.8,2.0,4.0,264.8,2.0,3.0,674.2,2.0,3.0,136.5,2.0,3.0,2701.0
3.0,5.0,5.9,3.0,5.0,138.1,2.0,5.0,123.3,2.0,5.0,473.7,2.0,4.0,249.3,2.0,4.0,2683.0
3.0,6.0,126.4,3.0,6.0,882.9,2.0,6.0,908.5,2.0,6.0,1505.0,2.0,6.0,489.7,2.0,5.0,2385.0
4.0,2.0,47.9,4.0,1.0,354.0,4.0,1.0,129.5,3.0,1.0,279.7,3.0,1.0,38.8,3.0,1.0,1906.0
4.0,3.0,30.1,4.0,3.0,518.3,4.0,2.0,315.9,3.0,2.0,635.3,3.0,2.0,111.6,3.0,2.0,3137.0
4.0,5.0,32.2,4.0,5.0,398.7,4.0,5.0,112.0,3.0,5.0,247.9,3.0,4.0,99.1,3.0,4.0,2598.0
4.0,6.0,259.6,4.0,6.0,1270.0,4.0,6.0,933.4,3.0,6.0,1456.0,3.0,6.0,344.5,3.0,5.0,1812.0
5.0,2.0,15.8,5.0,1.0,137.8,5.0,1.0,32.7,5.0,1.0,146.9,4.0,1.0,123.7,4.0,1.0,2832.0
5.0,3.0,8.6,5.0,3.0,154.1,5.0,2.0,86.4,5.0,2.0,262.6,4.0,2.0,283.2,4.0,2.0,2813.0
5.0,4.0,24.9,5.0,4.0,287.2,5.0,4.0,77.3,5.0,3.0,198.4,4.0,3.0,171.4,4.0,3.0,2999.0
5.0,6.0,125.2,5.0,6.0,790.5,5.0,6.0,353.1,5.0,6.0,417.9,4.0,6.0,401.4,4.0,5.0,1871.0
6.0,2.0,619.9,6.0,1.0,1942.0,6.0,1.0,1364.0,6.0,1.0,1527.0,6.0,1.0,507.3,5.0,1.0,1625.0
6.0,3.0,485.0,6.0,3.0,2442.0,6.0,2.0,1829.0,6.0,2.0,1685.0,6.0,2.0,879.1,5.0,2.0,2457.0
6.0,4.0,787.4,6.0,4.0,2266.0,6.0,4.0,1743.0,6.0,3.0,1933.0,6.0,3.0,755.4,5.0,3.0,2070.0
6.0,5.0,475.9,6.0,5.0,2009.0,6.0,5.0,1152.0,6.0,5.0,992.5,6.0,4.0,667.6,5.0,4.0,1631.0
