1,南野 利騰,南野 利騰.1,2,西舘 健,西舘 健.1,3,平瀬 城啓,平瀬 城啓.1,4,石川 諒,石川 諒.1,5,宇野 弥生,宇野 弥生.1,6,竹田 辰也,竹田 辰也.1
2.0,3.0,53.7,1.0,3.0,203.0,1.0,2.0,363.0,1.0,2.0,162.5,1.0,2.0,101.2,1.0,2.0,80.5
2.0,4.0,39.8,1.0,4.0,161.0,1.0,4.0,361.6,1.0,3.0,255.7,1.0,3.0,146.3,1.0,3.0,168.8
2.0,5.0,28.0,1.0,5.0,114.5,1.0,5.0,247.6,1.0,5.0,59.6,1.0,4.0,87.8,1.0,4.0,81.0
2.0,6.0,20.6,1.0,6.0,84.0,1.0,6.0,204.8,1.0,6.0,49.8,1.0,6.0,30.3,1.0,5.0,33.7
3.0,2.0,69.6,3.0,1.0,458.3,2.0,1.0,532.2,2.0,1.0,292.8,2.0,1.0,217.7,2.0,1.0,163.5
3.0,4.0,68.7,3.0,4.0,633.0,2.0,4.0,670.2,2.0,3.0,767.8,2.0,3.0,615.9,2.0,3.0,544.9
3.0,5.0,51.9,3.0,5.0,526.1,2.0,5.0,589.4,2.0,5.0,231.7,2.0,4.0,358.3,2.0,4.0,383.9
3.0,6.0,39.9,3.0,6.0,450.1,2.0,6.0,453.0,2.0,6.0,230.9,2.0,6.0,147.1,2.0,5.0,162.2
4.0,2.0,44.6,4.0,1.0,295.0,4.0,1.0,581.9,3.0,1.0,590.7,3.0,1.0,331.4,3.0,1.0,351.4
4.0,3.0,66.8,4.0,3.0,676.8,4.0,2.0,646.4,3.0,2.0,663.7,3.0,2.0,498.3,3.0,2.0,676.8
4.0,5.0,24.2,4.0,5.0,288.2,4.0,5.0,539.5,3.0,5.0,542.8,3.0,4.0,581.9,3.0,4.0,692.2
4.0,6.0,18.0,4.0,6.0,294.4,4.0,6.0,470.9,3.0,6.0,453.8,3.0,6.0,253.1,3.0,5.0,349.1
5.0,2.0,35.0,5.0,1.0,240.4,5.0,1.0,470.1,5.0,1.0,60.0,4.0,1.0,109.9,4.0,1.0,116.9
5.0,3.0,53.9,5.0,3.0,627.2,5.0,2.0,602.4,5.0,2.0,129.3,4.0,2.0,234.6,4.0,2.0,283.7
5.0,4.0,28.5,5.0,4.0,335.1,5.0,4.0,579.5,5.0,3.0,283.4,4.0,3.0,459.9,4.0,3.0,538.5
5.0,6.0,12.1,5.0,6.0,172.1,5.0,6.0,355.0,5.0,6.0,38.1,4.0,6.0,69.3,4.0,5.0,86.0
6.0,2.0,25.6,6.0,1.0,157.4,6.0,1.0,315.0,6.0,1.0,58.0,6.0,1.0,31.3,5.0,1.0,39.1
6.0,3.0,42.5,6.0,3.0,550.4,6.0,2.0,549.3,6.0,2.0,140.3,6.0,2.0,84.3,5.0,2.0,107.4
6.0,4.0,23.1,6.0,4.0,333.8,6.0,4.0,536.4,6.0,3.0,281.7,6.0,3.0,133.5,5.0,3.0,211.8
6.0,5.0,13.1,6.0,5.0,175.2,6.0,5.0,387.7,6.0,5.0,45.0,6.0,4.0,58.2,5.0,4.0,70.9
