1,三川 昂暁,三川 昂暁.1,2,嶋 義信,嶋 義信.1,3,大串 重幸,大串 重幸.1,4,長尾　京志郎,長尾　京志郎.1,5,山谷 央,山谷 央.1,6,松尾 怜実,松尾 怜実.1
2.0,3.0,8.2,1.0,3.0,13.1,1.0,2.0,27.4,1.0,2.0,529.5,1.0,2.0,79.7,1.0,2.0,1959.0
2.0,4.0,28.5,1.0,4.0,33.3,1.0,4.0,52.8,1.0,3.0,394.6,1.0,3.0,79.0,1.0,3.0,2264.0
2.0,5.0,22.8,1.0,5.0,25.5,1.0,5.0,34.6,1.0,5.0,428.1,1.0,4.0,213.0,1.0,4.0,3600.0
2.0,6.0,218.0,1.0,6.0,225.1,1.0,6.0,294.6,1.0,6.0,1543.0,1.0,6.0,268.9,1.0,5.0,2363.0
3.0,2.0,9.9,3.0,1.0,19.1,2.0,1.0,32.9,2.0,1.0,614.7,2.0,1.0,90.8,2.0,1.0,2377.0
3.0,4.0,23.7,3.0,4.0,36.9,2.0,4.0,43.2,2.0,3.0,442.7,2.0,3.0,65.6,2.0,3.0,1853.0
3.0,5.0,15.6,3.0,5.0,19.0,2.0,5.0,26.7,2.0,5.0,594.4,2.0,4.0,229.4,2.0,4.0,3706.0
3.0,6.0,207.9,3.0,6.0,149.5,2.0,6.0,175.2,2.0,6.0,1989.0,2.0,6.0,221.2,2.0,5.0,2305.0
4.0,2.0,69.0,4.0,1.0,126.2,4.0,1.0,126.5,3.0,1.0,466.2,3.0,1.0,95.1,3.0,1.0,2681.0
4.0,3.0,62.1,4.0,3.0,105.0,4.0,2.0,115.5,3.0,2.0,451.7,3.0,2.0,76.3,3.0,2.0,1919.0
4.0,5.0,86.2,4.0,5.0,142.3,4.0,5.0,108.8,3.0,5.0,421.9,3.0,4.0,195.2,3.0,4.0,4109.0
4.0,6.0,486.6,4.0,6.0,834.6,4.0,6.0,566.8,3.0,6.0,1809.0,3.0,6.0,266.0,3.0,5.0,2112.0
5.0,2.0,40.0,5.0,1.0,55.2,5.0,1.0,57.0,5.0,1.0,520.0,4.0,1.0,390.1,4.0,1.0,5643.0
5.0,3.0,35.7,5.0,3.0,39.0,5.0,2.0,45.7,5.0,2.0,576.3,4.0,2.0,407.8,4.0,2.0,5041.0
5.0,4.0,95.5,5.0,4.0,107.2,5.0,4.0,92.0,5.0,3.0,440.6,4.0,3.0,353.3,4.0,3.0,5816.0
5.0,6.0,291.2,5.0,6.0,241.5,5.0,6.0,201.3,5.0,6.0,1384.0,4.0,6.0,919.9,4.0,5.0,5401.0
6.0,2.0,728.5,6.0,1.0,843.9,6.0,1.0,849.6,6.0,1.0,3231.0,6.0,1.0,384.6,5.0,1.0,2112.0
6.0,3.0,739.9,6.0,3.0,683.7,6.0,2.0,665.6,6.0,2.0,4201.0,6.0,2.0,360.4,5.0,2.0,1871.0
6.0,4.0,1149.0,6.0,4.0,1643.0,6.0,4.0,1290.0,6.0,3.0,3533.0,6.0,3.0,396.3,5.0,3.0,1588.0
6.0,5.0,964.5,6.0,5.0,820.1,6.0,5.0,647.4,6.0,5.0,3566.0,6.0,4.0,883.4,5.0,4.0,3533.0
