1,井川 大作,井川 大作.1,2,宮嵜　隆太郎,宮嵜　隆太郎.1,3,渡邊 哲也,渡邊 哲也.1,4,木山 誠一,木山 誠一.1,5,川原 正明,川原 正明.1,6,谷口 健一,谷口 健一.1
2.0,3.0,21.4,1.0,3.0,56.0,1.0,2.0,118.0,1.0,2.0,130.2,1.0,2.0,52.9,1.0,2.0,847.4
2.0,4.0,32.3,1.0,4.0,60.4,1.0,4.0,104.0,1.0,3.0,124.0,1.0,3.0,29.0,1.0,3.0,519.5
2.0,5.0,17.7,1.0,5.0,41.1,1.0,5.0,53.6,1.0,5.0,54.2,1.0,4.0,47.3,1.0,4.0,1059.0
2.0,6.0,99.7,1.0,6.0,133.8,1.0,6.0,158.7,1.0,6.0,125.8,1.0,6.0,49.3,1.0,5.0,691.8
3.0,2.0,24.3,3.0,1.0,125.4,2.0,1.0,169.2,2.0,1.0,184.4,2.0,1.0,87.0,2.0,1.0,1473.0
3.0,4.0,18.8,3.0,4.0,223.0,2.0,4.0,243.8,2.0,3.0,314.6,2.0,3.0,157.6,2.0,3.0,1595.0
3.0,5.0,13.4,3.0,5.0,144.4,2.0,5.0,181.2,2.0,5.0,145.6,2.0,4.0,133.3,2.0,4.0,880.4
3.0,6.0,78.0,3.0,6.0,321.3,2.0,6.0,357.7,2.0,6.0,316.0,2.0,6.0,150.1,2.0,5.0,1067.0
4.0,2.0,45.6,4.0,1.0,143.6,4.0,1.0,174.7,3.0,1.0,215.2,3.0,1.0,58.2,3.0,1.0,651.8
4.0,3.0,27.6,4.0,3.0,234.9,4.0,2.0,315.3,3.0,2.0,394.1,3.0,2.0,143.3,3.0,2.0,1490.0
4.0,5.0,20.2,4.0,5.0,137.1,4.0,5.0,117.2,3.0,5.0,147.8,3.0,4.0,104.5,3.0,4.0,1523.0
4.0,6.0,84.4,4.0,6.0,334.7,4.0,6.0,357.7,3.0,6.0,421.0,3.0,6.0,141.9,3.0,5.0,572.1
5.0,2.0,22.7,5.0,1.0,74.7,5.0,1.0,64.2,5.0,1.0,43.5,4.0,1.0,55.1,4.0,1.0,1473.0
5.0,3.0,16.3,5.0,3.0,125.7,5.0,2.0,182.2,5.0,2.0,92.3,4.0,2.0,106.0,4.0,2.0,1558.0
5.0,4.0,26.7,5.0,4.0,122.9,5.0,4.0,98.4,5.0,3.0,82.2,4.0,3.0,88.9,4.0,3.0,1506.0
5.0,6.0,40.7,5.0,6.0,176.7,5.0,6.0,138.6,5.0,6.0,51.1,4.0,6.0,62.3,4.0,5.0,745.0
6.0,2.0,268.5,6.0,1.0,511.6,6.0,1.0,423.7,6.0,1.0,283.0,6.0,1.0,139.6,5.0,1.0,681.3
6.0,3.0,269.0,6.0,3.0,910.0,6.0,2.0,688.2,6.0,2.0,438.8,6.0,2.0,211.2,5.0,2.0,863.6
6.0,4.0,270.6,6.0,4.0,674.5,6.0,4.0,616.3,6.0,3.0,517.5,6.0,3.0,195.9,5.0,3.0,688.2
6.0,5.0,160.8,6.0,5.0,509.7,6.0,5.0,389.6,6.0,5.0,174.5,6.0,4.0,144.7,5.0,4.0,627.7
