1,磯村 匠,磯村 匠.1,2,杉江 浩明,杉江 浩明.1,3,松尾 昂明,松尾 昂明.1,4,浜先 真範,浜先 真範.1,5,伊藤 啓三,伊藤 啓三.1,6,山本 兼士,山本 兼士.1
2.0,3.0,61.4,1.0,3.0,109.9,1.0,2.0,50.2,1.0,2.0,164.0,1.0,2.0,285.1,1.0,2.0,2280.0
2.0,4.0,76.5,1.0,4.0,173.0,1.0,4.0,12.7,1.0,3.0,64.3,1.0,3.0,141.5,1.0,3.0,1140.0
2.0,5.0,99.3,1.0,5.0,156.7,1.0,5.0,16.2,1.0,5.0,86.6,1.0,4.0,197.4,1.0,4.0,1571.0
2.0,6.0,259.6,1.0,6.0,376.4,1.0,6.0,68.7,1.0,6.0,185.2,1.0,6.0,331.4,1.0,5.0,1817.0
3.0,2.0,34.8,3.0,1.0,123.0,2.0,1.0,83.3,2.0,1.0,281.6,2.0,1.0,291.5,2.0,1.0,2705.0
3.0,4.0,16.6,3.0,4.0,118.3,2.0,4.0,42.9,2.0,3.0,211.1,2.0,3.0,184.6,2.0,3.0,1224.0
3.0,5.0,22.6,3.0,5.0,85.9,2.0,5.0,42.8,2.0,5.0,212.6,2.0,4.0,263.1,2.0,4.0,1971.0
3.0,6.0,76.8,3.0,6.0,215.4,2.0,6.0,112.8,2.0,6.0,456.1,2.0,6.0,403.8,2.0,5.0,1571.0
4.0,2.0,75.7,4.0,1.0,249.0,4.0,1.0,19.2,3.0,1.0,49.9,3.0,1.0,100.3,3.0,1.0,1097.0
4.0,3.0,32.2,4.0,3.0,189.1,4.0,2.0,40.0,3.0,2.0,113.1,3.0,2.0,131.4,3.0,2.0,1186.0
4.0,5.0,56.3,4.0,5.0,241.3,4.0,5.0,11.0,3.0,5.0,28.4,3.0,4.0,70.9,3.0,4.0,881.2
4.0,6.0,174.3,4.0,6.0,510.1,4.0,6.0,37.4,3.0,6.0,80.2,3.0,6.0,151.4,3.0,5.0,760.2
5.0,2.0,120.0,5.0,1.0,271.7,5.0,1.0,25.1,5.0,1.0,78.9,4.0,1.0,220.7,4.0,1.0,1762.0
5.0,3.0,58.1,5.0,3.0,154.0,5.0,2.0,34.9,5.0,2.0,133.5,4.0,2.0,329.5,4.0,2.0,2528.0
5.0,4.0,84.0,5.0,4.0,291.5,5.0,4.0,15.9,5.0,3.0,45.7,4.0,3.0,99.8,4.0,3.0,1002.0
5.0,6.0,216.6,5.0,6.0,337.1,5.0,6.0,36.9,5.0,6.0,98.9,4.0,6.0,263.1,4.0,5.0,1140.0
6.0,2.0,618.7,6.0,1.0,1077.0,6.0,1.0,189.7,6.0,1.0,467.1,6.0,1.0,696.5,5.0,1.0,1846.0
6.0,3.0,377.6,6.0,3.0,635.6,6.0,2.0,167.8,6.0,2.0,639.1,6.0,2.0,704.9,5.0,2.0,1571.0
6.0,4.0,469.0,6.0,4.0,1020.0,6.0,4.0,121.9,6.0,3.0,265.5,6.0,3.0,390.3,5.0,3.0,740.9
6.0,5.0,426.0,6.0,5.0,688.2,6.0,5.0,109.1,6.0,5.0,260.2,6.0,4.0,490.8,5.0,4.0,1067.0
