1,清水 敦揮,清水 敦揮.1,2,大澤 大夢,大澤 大夢.1,3,清水 攻二,清水 攻二.1,4,松尾 充,松尾 充.1,5,横川 聖志,横川 聖志.1,6,坂元 浩仁,坂元 浩仁.1
2.0,3.0,21.2,1.0,3.0,252.3,1.0,2.0,307.2,1.0,2.0,86.3,1.0,2.0,384.7,1.0,2.0,261.2
2.0,4.0,13.8,1.0,4.0,168.5,1.0,4.0,130.0,1.0,3.0,71.6,1.0,3.0,378.2,1.0,3.0,224.0
2.0,5.0,34.8,1.0,5.0,409.3,1.0,5.0,291.1,1.0,5.0,67.7,1.0,4.0,215.8,1.0,4.0,119.6
2.0,6.0,22.4,1.0,6.0,249.9,1.0,6.0,171.7,1.0,6.0,40.4,1.0,6.0,210.9,1.0,5.0,373.0
3.0,2.0,22.4,3.0,1.0,628.2,2.0,1.0,530.4,2.0,1.0,263.5,2.0,1.0,1027.0,2.0,1.0,740.1
3.0,4.0,8.9,3.0,4.0,1220.0,2.0,4.0,938.5,2.0,3.0,716.3,2.0,3.0,1939.0,2.0,3.0,1282.0
3.0,5.0,22.4,3.0,5.0,1854.0,2.0,5.0,1411.0,2.0,5.0,611.0,2.0,4.0,1531.0,2.0,4.0,931.6
3.0,6.0,13.5,3.0,6.0,1295.0,2.0,6.0,855.7,2.0,6.0,407.1,2.0,6.0,1350.0,2.0,5.0,1845.0
4.0,2.0,12.8,4.0,1.0,316.2,4.0,1.0,231.9,3.0,1.0,205.8,3.0,1.0,1080.0,3.0,1.0,579.2
4.0,3.0,9.3,4.0,3.0,1341.0,4.0,2.0,1041.0,3.0,2.0,731.5,3.0,2.0,1891.0,3.0,2.0,1550.0
4.0,5.0,18.1,4.0,5.0,1569.0,4.0,5.0,746.0,3.0,5.0,537.2,3.0,4.0,1881.0,3.0,4.0,725.9
4.0,6.0,7.9,4.0,6.0,813.4,4.0,6.0,343.2,3.0,6.0,258.5,3.0,6.0,1550.0,3.0,5.0,1703.0
5.0,2.0,61.1,5.0,1.0,1074.0,5.0,1.0,909.2,5.0,1.0,140.6,4.0,1.0,328.3,4.0,1.0,181.1
5.0,3.0,55.6,5.0,3.0,2334.0,5.0,2.0,1751.0,5.0,2.0,386.7,4.0,2.0,896.2,4.0,2.0,704.3
5.0,4.0,43.4,5.0,4.0,2022.0,5.0,4.0,1341.0,5.0,3.0,509.0,4.0,3.0,1181.0,4.0,3.0,554.5
5.0,6.0,43.8,5.0,6.0,1630.0,5.0,6.0,1036.0,5.0,6.0,142.2,4.0,6.0,352.8,4.0,5.0,535.7
6.0,2.0,36.8,6.0,1.0,784.7,6.0,1.0,389.1,6.0,1.0,74.7,6.0,1.0,429.8,5.0,1.0,703.0
6.0,3.0,29.8,6.0,3.0,2066.0,6.0,2.0,1295.0,6.0,2.0,267.4,6.0,2.0,1068.0,5.0,2.0,1616.0
6.0,4.0,18.1,6.0,4.0,1142.0,6.0,4.0,506.3,6.0,3.0,208.6,6.0,3.0,1056.0,5.0,3.0,1595.0
6.0,5.0,52.0,6.0,5.0,2078.0,6.0,5.0,1047.0,6.0,5.0,153.8,6.0,4.0,496.3,5.0,4.0,720.4
