1,河野 真也,河野 真也.1,2,竹田 広樹,竹田 広樹.1,3,楠原 正剛,楠原 正剛.1,4,永田 啓二,永田 啓二.1,5,上田 隆章,上田 隆章.1,6,松本 浩貴,松本 浩貴.1
2.0,3.0,28.5,1.0,3.0,149.6,1.0,2.0,100.7,1.0,2.0,20.6,1.0,2.0,561.1,1.0,2.0,1944.0
2.0,4.0,21.3,1.0,4.0,108.3,1.0,4.0,29.8,1.0,3.0,9.5,1.0,3.0,478.9,1.0,3.0,1911.0
2.0,5.0,84.4,1.0,5.0,374.0,1.0,5.0,139.7,1.0,5.0,17.9,1.0,4.0,340.2,1.0,4.0,1622.0
2.0,6.0,189.8,1.0,6.0,551.5,1.0,6.0,288.0,1.0,6.0,52.5,1.0,6.0,754.4,1.0,5.0,3222.0
3.0,2.0,29.9,3.0,1.0,221.1,2.0,1.0,245.1,2.0,1.0,47.7,2.0,1.0,1084.0,2.0,1.0,2014.0
3.0,4.0,9.1,3.0,4.0,241.2,2.0,4.0,205.8,2.0,3.0,73.4,2.0,3.0,1020.0,2.0,3.0,2255.0
3.0,5.0,47.3,3.0,5.0,584.3,2.0,5.0,431.3,2.0,5.0,84.4,2.0,4.0,870.9,2.0,4.0,1911.0
3.0,6.0,126.2,3.0,6.0,775.1,2.0,6.0,709.3,2.0,6.0,134.2,2.0,6.0,1436.0,2.0,5.0,2784.0
4.0,2.0,13.2,4.0,1.0,130.3,4.0,1.0,31.9,3.0,1.0,19.2,3.0,1.0,783.2,3.0,1.0,2929.0
4.0,3.0,6.2,4.0,3.0,201.5,4.0,2.0,106.5,3.0,2.0,58.3,3.0,2.0,844.8,3.0,2.0,2855.0
4.0,5.0,18.0,4.0,5.0,389.5,4.0,5.0,95.0,3.0,5.0,46.5,3.0,4.0,548.8,3.0,4.0,1864.0
4.0,6.0,54.8,4.0,6.0,566.7,4.0,6.0,180.7,3.0,6.0,113.4,3.0,6.0,1524.0,3.0,5.0,3697.0
5.0,2.0,165.8,5.0,1.0,909.5,5.0,1.0,404.2,5.0,1.0,31.6,4.0,1.0,281.6,4.0,1.0,1513.0
5.0,3.0,115.3,5.0,3.0,898.6,5.0,2.0,503.5,5.0,2.0,70.0,4.0,2.0,428.8,4.0,2.0,1735.0
5.0,4.0,70.3,5.0,4.0,744.4,5.0,4.0,295.2,5.0,3.0,54.8,4.0,3.0,365.5,4.0,3.0,1646.0
5.0,6.0,342.2,5.0,6.0,1392.0,5.0,6.0,791.4,5.0,6.0,74.9,4.0,6.0,539.6,4.0,5.0,1961.0
6.0,2.0,582.8,6.0,1.0,1445.0,6.0,1.0,1174.0,6.0,1.0,131.8,6.0,1.0,1577.0,5.0,1.0,2968.0
6.0,3.0,461.2,6.0,3.0,1895.0,6.0,2.0,1484.0,6.0,2.0,191.9,6.0,2.0,1911.0,5.0,2.0,2622.0
6.0,4.0,299.5,6.0,4.0,932.1,6.0,4.0,877.7,6.0,3.0,209.8,6.0,3.0,2148.0,5.0,3.0,3417.0
6.0,5.0,709.3,6.0,5.0,1819.0,6.0,5.0,1534.0,6.0,5.0,162.9,6.0,4.0,1427.0,5.0,4.0,2148.0
