1,石川 吉鎬,石川 吉鎬.1,2,待鳥 雄紀,待鳥 雄紀.1,3,黒野 元基,黒野 元基.1,4,赤峰 和也,赤峰 和也.1,5,伊達 正利,伊達 正利.1,6,立間 充宏,立間 充宏.1
2.0,3.0,5.5,1.0,3.0,13.2,1.0,2.0,19.5,1.0,2.0,539.5,1.0,2.0,561.3,1.0,2.0,131.5
2.0,4.0,23.1,1.0,4.0,54.4,1.0,4.0,57.0,1.0,3.0,538.3,1.0,3.0,598.2,1.0,3.0,194.2
2.0,5.0,29.3,1.0,5.0,65.8,1.0,5.0,89.6,1.0,5.0,1076.0,1.0,4.0,1181.0,1.0,4.0,614.4
2.0,6.0,11.7,1.0,6.0,22.8,1.0,6.0,35.3,1.0,6.0,721.9,1.0,6.0,660.8,1.0,5.0,624.4
3.0,2.0,6.9,3.0,1.0,30.2,2.0,1.0,33.5,2.0,1.0,678.7,2.0,1.0,796.7,2.0,1.0,215.8
3.0,4.0,24.8,3.0,4.0,110.6,2.0,4.0,107.3,2.0,3.0,768.5,2.0,3.0,1258.0,2.0,3.0,297.3
3.0,5.0,29.3,3.0,5.0,147.5,2.0,5.0,167.8,2.0,5.0,1591.0,2.0,4.0,2090.0,2.0,4.0,818.9
3.0,6.0,13.3,3.0,6.0,57.2,2.0,6.0,73.8,2.0,6.0,930.3,2.0,6.0,877.9,2.0,5.0,751.2
4.0,2.0,71.6,4.0,1.0,208.0,4.0,1.0,170.9,3.0,1.0,693.8,3.0,1.0,832.6,3.0,1.0,295.6
4.0,3.0,76.2,4.0,3.0,257.5,4.0,2.0,202.8,3.0,2.0,778.1,3.0,2.0,1314.0,3.0,2.0,339.6
4.0,5.0,205.0,4.0,5.0,573.5,4.0,5.0,485.9,3.0,5.0,1784.0,3.0,4.0,2181.0,3.0,4.0,909.9
4.0,6.0,114.9,4.0,6.0,284.8,4.0,6.0,272.8,3.0,6.0,1042.0,3.0,6.0,1242.0,3.0,5.0,995.1
5.0,2.0,104.4,5.0,1.0,315.1,5.0,1.0,333.9,5.0,1.0,1261.0,4.0,1.0,1850.0,4.0,1.0,1186.0
5.0,3.0,120.2,5.0,3.0,494.1,5.0,2.0,425.8,5.0,2.0,1431.0,4.0,2.0,2144.0,4.0,2.0,1264.0
5.0,4.0,292.1,5.0,4.0,851.0,5.0,4.0,680.6,5.0,3.0,1728.0,4.0,3.0,2436.0,4.0,3.0,1383.0
5.0,6.0,135.3,5.0,6.0,384.2,5.0,6.0,398.3,5.0,6.0,1368.0,4.0,6.0,2220.0,4.0,5.0,2260.0
6.0,2.0,37.4,6.0,1.0,88.1,6.0,1.0,115.6,6.0,1.0,920.0,6.0,1.0,691.9,5.0,1.0,898.5
6.0,3.0,42.8,6.0,3.0,129.0,6.0,2.0,139.2,6.0,2.0,1042.0,6.0,2.0,730.3,5.0,2.0,928.5
6.0,4.0,142.2,6.0,4.0,375.0,6.0,4.0,320.6,6.0,3.0,1252.0,6.0,3.0,923.4,5.0,3.0,1183.0
6.0,5.0,128.1,6.0,5.0,325.2,6.0,5.0,365.1,6.0,5.0,1740.0,6.0,4.0,1518.0,5.0,4.0,1734.0
