1,中岡 正彦,中岡 正彦.1,2,中田 元泰,中田 元泰.1,3,中村 有裕,中村 有裕.1,4,前原 大道,前原 大道.1,5,小野寺　智洋,小野寺　智洋.1,6,長尾　京志郎,長尾　京志郎.1
2.0,3.0,5.7,1.0,3.0,25.6,1.0,2.0,106.3,1.0,2.0,79.8,1.0,2.0,220.8,1.0,2.0,969.7
2.0,4.0,4.7,1.0,4.0,18.6,1.0,4.0,147.9,1.0,3.0,211.4,1.0,3.0,544.6,1.0,3.0,1882.0
2.0,5.0,12.2,1.0,5.0,35.1,1.0,5.0,204.5,1.0,5.0,122.0,1.0,4.0,340.5,1.0,4.0,1833.0
2.0,6.0,24.2,1.0,6.0,66.5,1.0,6.0,328.8,1.0,6.0,189.3,1.0,6.0,388.0,1.0,5.0,2142.0
3.0,2.0,13.1,3.0,1.0,112.0,2.0,1.0,191.9,2.0,1.0,120.8,2.0,1.0,322.9,2.0,1.0,1284.0
3.0,4.0,19.9,3.0,4.0,182.6,2.0,4.0,274.8,2.0,3.0,330.8,2.0,3.0,1004.0,2.0,3.0,2358.0
3.0,5.0,34.7,3.0,5.0,293.6,2.0,5.0,405.7,2.0,5.0,218.5,2.0,4.0,528.1,2.0,4.0,2372.0
3.0,6.0,60.9,3.0,6.0,407.6,2.0,6.0,565.1,2.0,6.0,275.7,2.0,6.0,641.0,2.0,5.0,2744.0
4.0,2.0,10.0,4.0,1.0,71.5,4.0,1.0,372.9,3.0,1.0,486.5,3.0,1.0,1026.0,3.0,1.0,3110.0
4.0,3.0,23.7,4.0,3.0,210.0,4.0,2.0,447.1,3.0,2.0,554.6,3.0,2.0,1560.0,3.0,2.0,4241.0
4.0,5.0,28.1,4.0,5.0,232.8,4.0,5.0,592.2,3.0,5.0,711.6,3.0,4.0,1633.0,3.0,4.0,4467.0
4.0,6.0,48.6,4.0,6.0,292.0,4.0,6.0,895.3,3.0,6.0,843.1,3.0,6.0,1809.0,3.0,5.0,4241.0
5.0,2.0,38.5,5.0,1.0,182.8,5.0,1.0,699.8,5.0,1.0,209.5,4.0,1.0,478.7,4.0,1.0,2514.0
5.0,3.0,74.2,5.0,3.0,518.3,5.0,2.0,867.5,5.0,2.0,274.9,4.0,2.0,611.2,4.0,2.0,2576.0
5.0,4.0,65.6,5.0,4.0,392.7,5.0,4.0,1004.0,5.0,3.0,611.2,4.0,3.0,1328.0,4.0,3.0,4515.0
5.0,6.0,90.9,5.0,6.0,524.2,5.0,6.0,1532.0,5.0,6.0,292.0,4.0,6.0,739.2,4.0,5.0,3499.0
6.0,2.0,113.8,6.0,1.0,425.8,6.0,1.0,1280.0,6.0,1.0,518.3,6.0,1.0,1044.0,5.0,1.0,3157.0
6.0,3.0,219.2,6.0,3.0,1060.0,6.0,2.0,1515.0,6.0,2.0,634.2,6.0,2.0,1257.0,5.0,2.0,3651.0
6.0,4.0,164.6,6.0,4.0,853.4,6.0,4.0,1771.0,6.0,3.0,1150.0,6.0,3.0,1990.0,5.0,3.0,4157.0
6.0,5.0,257.1,6.0,5.0,947.8,6.0,5.0,1943.0,6.0,5.0,588.0,6.0,4.0,1438.0,5.0,4.0,3852.0
