1,竹井 貴史,竹井 貴史.1,2,岩崎 正哉,岩崎 正哉.1,3,古賀 智之,古賀 智之.1,4,竹之内 極,竹之内 極.1,5,深川　麻奈美,深川　麻奈美.1,6,乙藤 智史,乙藤 智史.1
2.0,3.0,11.8,1.0,3.0,154.9,1.0,2.0,194.4,1.0,2.0,45.4,1.0,2.0,145.5,1.0,2.0,299.9
2.0,4.0,7.3,1.0,4.0,88.7,1.0,4.0,216.0,1.0,3.0,154.3,1.0,3.0,382.5,1.0,3.0,665.8
2.0,5.0,11.6,1.0,5.0,117.9,1.0,5.0,294.8,1.0,5.0,36.4,1.0,4.0,144.3,1.0,4.0,239.5
2.0,6.0,17.8,1.0,6.0,151.7,1.0,6.0,283.1,1.0,6.0,38.3,1.0,6.0,147.7,1.0,5.0,339.4
3.0,2.0,20.8,3.0,1.0,438.5,2.0,1.0,413.5,2.0,1.0,104.1,2.0,1.0,300.1,2.0,1.0,543.6
3.0,4.0,25.8,3.0,4.0,762.4,2.0,4.0,611.8,2.0,3.0,372.9,2.0,3.0,1002.0,2.0,3.0,1374.0
3.0,5.0,41.3,3.0,5.0,928.0,2.0,5.0,854.7,2.0,5.0,121.2,2.0,4.0,478.5,2.0,4.0,693.4
3.0,6.0,44.7,3.0,6.0,1011.0,2.0,6.0,858.6,2.0,6.0,139.5,2.0,6.0,441.0,2.0,5.0,890.6
4.0,2.0,10.8,4.0,1.0,213.4,4.0,1.0,447.8,3.0,1.0,419.5,3.0,1.0,945.5,3.0,1.0,1318.0
4.0,3.0,26.4,4.0,3.0,656.2,4.0,2.0,718.7,3.0,2.0,651.6,3.0,2.0,1282.0,3.0,2.0,1990.0
4.0,5.0,16.2,4.0,5.0,417.9,4.0,5.0,790.9,3.0,5.0,456.7,3.0,4.0,1282.0,3.0,4.0,1579.0
4.0,6.0,19.4,4.0,6.0,463.6,4.0,6.0,790.9,3.0,6.0,522.0,3.0,6.0,1470.0,3.0,5.0,2064.0
5.0,2.0,29.7,5.0,1.0,303.4,5.0,1.0,737.0,5.0,1.0,43.0,4.0,1.0,137.4,4.0,1.0,231.2
5.0,3.0,69.2,5.0,3.0,1064.0,5.0,2.0,1127.0,5.0,2.0,69.3,4.0,2.0,227.3,4.0,2.0,431.3
5.0,4.0,37.1,5.0,4.0,581.5,5.0,4.0,1163.0,5.0,3.0,201.3,4.0,3.0,583.9,4.0,3.0,839.0
5.0,6.0,50.7,5.0,6.0,607.8,5.0,6.0,1347.0,5.0,6.0,41.4,4.0,6.0,131.7,4.0,5.0,278.7
6.0,2.0,48.3,6.0,1.0,481.4,6.0,1.0,894.9,6.0,1.0,53.4,6.0,1.0,262.1,5.0,1.0,516.1
6.0,3.0,97.6,6.0,3.0,1413.0,6.0,2.0,1443.0,6.0,2.0,98.3,6.0,2.0,433.0,5.0,2.0,737.9
6.0,4.0,52.6,6.0,4.0,753.1,6.0,4.0,1506.0,6.0,3.0,259.6,6.0,3.0,939.1,5.0,3.0,1462.0
6.0,5.0,73.5,6.0,5.0,743.9,6.0,5.0,1733.0,6.0,5.0,58.2,6.0,4.0,239.5,5.0,4.0,387.9
