1,高橋 竜矢,高橋 竜矢.1,2,高野 哲史,高野 哲史.1,3,三馬 崇史,三馬 崇史.1,4,川原 正明,川原 正明.1,5,坂野　さくら,坂野　さくら.1,6,石田 貴洋,石田 貴洋.1
2.0,3.0,8.9,1.0,3.0,35.3,1.0,2.0,285.2,1.0,2.0,57.3,1.0,2.0,142.6,1.0,2.0,284.7
2.0,4.0,4.7,1.0,4.0,14.8,1.0,4.0,403.7,1.0,3.0,259.0,1.0,3.0,530.7,1.0,3.0,1056.0
2.0,5.0,12.0,1.0,5.0,33.7,1.0,5.0,629.1,1.0,5.0,98.8,1.0,4.0,237.7,1.0,4.0,570.8
2.0,6.0,10.7,1.0,6.0,21.7,1.0,6.0,392.3,1.0,6.0,74.6,1.0,6.0,196.1,1.0,5.0,914.6
3.0,2.0,26.7,3.0,1.0,165.4,2.0,1.0,375.6,2.0,1.0,86.6,2.0,1.0,193.1,2.0,1.0,315.7
3.0,4.0,42.9,3.0,4.0,250.1,2.0,4.0,550.4,2.0,3.0,371.9,2.0,3.0,958.6,2.0,3.0,1455.0
3.0,5.0,68.2,3.0,5.0,384.7,2.0,5.0,1011.0,2.0,5.0,166.5,2.0,4.0,386.0,2.0,4.0,585.8
3.0,6.0,72.5,3.0,6.0,300.5,2.0,6.0,749.8,2.0,6.0,121.2,2.0,6.0,350.0,2.0,5.0,1139.0
4.0,2.0,13.0,4.0,1.0,52.2,4.0,1.0,776.5,3.0,1.0,752.3,3.0,1.0,1339.0,3.0,1.0,1887.0
4.0,3.0,49.8,4.0,3.0,197.3,4.0,2.0,821.1,3.0,2.0,837.8,3.0,2.0,1922.0,3.0,2.0,2594.0
4.0,5.0,34.5,4.0,5.0,158.3,4.0,5.0,1625.0,3.0,5.0,1169.0,3.0,4.0,2295.0,3.0,4.0,2808.0
4.0,6.0,29.8,4.0,6.0,87.1,4.0,6.0,1116.0,3.0,6.0,939.1,3.0,6.0,2044.0,3.0,5.0,3344.0
5.0,2.0,36.6,5.0,1.0,155.1,5.0,1.0,1489.0,5.0,1.0,141.2,4.0,1.0,302.2,4.0,1.0,692.0
5.0,3.0,119.4,5.0,3.0,542.2,5.0,2.0,1909.0,5.0,2.0,166.2,4.0,2.0,371.4,4.0,2.0,647.4
5.0,4.0,67.6,5.0,4.0,282.5,5.0,4.0,2520.0,5.0,3.0,650.7,4.0,3.0,1201.0,4.0,3.0,2255.0
5.0,6.0,76.7,5.0,6.0,243.2,5.0,6.0,1934.0,5.0,6.0,172.0,4.0,6.0,384.4,4.0,5.0,1356.0
6.0,2.0,47.5,6.0,1.0,110.6,6.0,1.0,1080.0,6.0,1.0,163.3,6.0,1.0,392.8,5.0,1.0,1183.0
6.0,3.0,168.3,6.0,3.0,465.2,6.0,2.0,1449.0,6.0,2.0,174.2,6.0,2.0,500.6,5.0,2.0,1367.0
6.0,4.0,80.4,6.0,4.0,180.6,6.0,4.0,1869.0,6.0,3.0,690.7,6.0,3.0,1304.0,5.0,3.0,2849.0
6.0,5.0,124.3,6.0,5.0,345.4,6.0,5.0,2264.0,6.0,5.0,250.3,6.0,4.0,628.4,5.0,4.0,1548.0
