1,田山 和広,田山 和広.1,2,冨名腰　桃奈,冨名腰　桃奈.1,3,横井 光弘,横井 光弘.1,4,小野 信樹,小野 信樹.1,5,志道 吉和,志道 吉和.1,6,村田 敦,村田 敦.1
2.0,3.0,14.0,1.0,3.0,19.3,1.0,2.0,39.0,1.0,2.0,117.8,1.0,2.0,197.6,1.0,2.0,463.2
2.0,4.0,27.3,1.0,4.0,41.0,1.0,4.0,37.3,1.0,3.0,65.4,1.0,3.0,102.8,1.0,3.0,467.9
2.0,5.0,32.1,1.0,5.0,49.6,1.0,5.0,32.3,1.0,5.0,100.8,1.0,4.0,186.9,1.0,4.0,433.9
2.0,6.0,99.2,1.0,6.0,112.5,1.0,6.0,96.4,1.0,6.0,182.6,1.0,6.0,260.8,1.0,5.0,592.0
3.0,2.0,13.7,3.0,1.0,36.2,2.0,1.0,53.9,2.0,1.0,163.2,2.0,1.0,236.8,2.0,1.0,624.3
3.0,4.0,12.3,3.0,4.0,56.0,2.0,4.0,73.1,2.0,3.0,168.5,2.0,3.0,206.0,2.0,3.0,815.1
3.0,5.0,14.0,3.0,5.0,57.5,2.0,5.0,75.1,2.0,5.0,193.5,2.0,4.0,303.8,2.0,4.0,789.3
3.0,6.0,59.7,3.0,6.0,137.3,2.0,6.0,160.5,2.0,6.0,255.5,2.0,6.0,416.2,2.0,5.0,957.1
4.0,2.0,45.4,4.0,1.0,92.9,4.0,1.0,63.0,3.0,1.0,103.8,3.0,1.0,119.5,3.0,1.0,516.3
4.0,3.0,25.6,4.0,3.0,92.5,4.0,2.0,90.6,3.0,2.0,188.2,3.0,2.0,170.6,3.0,2.0,921.7
4.0,5.0,44.5,4.0,5.0,116.3,4.0,5.0,58.7,3.0,5.0,128.7,3.0,4.0,152.5,3.0,4.0,765.1
4.0,6.0,106.1,4.0,6.0,201.3,4.0,6.0,131.4,3.0,6.0,236.3,3.0,6.0,213.1,3.0,5.0,726.7
5.0,2.0,62.4,5.0,1.0,123.8,5.0,1.0,55.5,5.0,1.0,109.1,4.0,1.0,208.8,4.0,1.0,940.7
5.0,3.0,30.9,5.0,3.0,116.1,5.0,2.0,87.7,5.0,2.0,164.7,4.0,2.0,287.6,4.0,2.0,796.2
5.0,4.0,60.4,5.0,4.0,161.5,5.0,4.0,71.4,5.0,3.0,113.7,4.0,3.0,210.1,4.0,3.0,903.6
5.0,6.0,140.0,5.0,6.0,260.3,5.0,6.0,107.3,5.0,6.0,148.5,4.0,6.0,245.2,4.0,5.0,822.4
6.0,2.0,243.3,6.0,1.0,378.3,6.0,1.0,239.0,6.0,1.0,296.9,6.0,1.0,437.4,5.0,1.0,886.1
6.0,3.0,191.4,6.0,3.0,369.7,6.0,2.0,315.7,6.0,2.0,332.5,6.0,2.0,551.5,5.0,2.0,984.5
6.0,4.0,234.1,6.0,4.0,378.8,6.0,4.0,297.2,6.0,3.0,368.2,6.0,3.0,425.8,5.0,3.0,815.1
6.0,5.0,291.2,6.0,5.0,390.1,6.0,5.0,280.0,6.0,5.0,252.7,6.0,4.0,419.3,5.0,4.0,842.6
