1,菅 章哉,菅 章哉.1,2,河野 大,河野 大.1,3,中村 泰平,中村 泰平.1,4,永井 源,永井 源.1,5,木下 大將,木下 大將.1,6,岡本 猛,岡本 猛.1
2.0,3.0,10.4,1.0,3.0,77.7,1.0,2.0,82.6,1.0,2.0,60.8,1.0,2.0,179.1,1.0,2.0,1626.0
2.0,4.0,8.2,1.0,4.0,64.6,1.0,4.0,46.1,1.0,3.0,63.9,1.0,3.0,186.3,1.0,3.0,2403.0
2.0,5.0,19.6,1.0,5.0,108.5,1.0,5.0,69.1,1.0,5.0,48.6,1.0,4.0,153.7,1.0,4.0,1864.0
2.0,6.0,55.9,1.0,6.0,248.7,1.0,6.0,176.2,1.0,6.0,113.4,1.0,6.0,271.3,1.0,5.0,2264.0
3.0,2.0,13.5,3.0,1.0,213.7,2.0,1.0,214.2,2.0,1.0,153.7,2.0,1.0,392.8,2.0,1.0,2653.0
3.0,4.0,8.1,3.0,4.0,315.4,2.0,4.0,286.0,2.0,3.0,317.1,2.0,3.0,699.9,2.0,3.0,4459.0
3.0,5.0,16.7,3.0,5.0,467.6,2.0,5.0,425.3,2.0,5.0,266.5,2.0,4.0,628.6,2.0,4.0,3460.0
3.0,6.0,62.5,3.0,6.0,942.3,2.0,6.0,766.9,2.0,6.0,465.5,2.0,6.0,920.3,2.0,5.0,4753.0
4.0,2.0,10.0,4.0,1.0,179.0,4.0,1.0,120.7,3.0,1.0,146.6,3.0,1.0,464.1,3.0,1.0,3157.0
4.0,3.0,9.4,4.0,3.0,363.7,4.0,2.0,263.4,3.0,2.0,322.3,3.0,2.0,938.2,3.0,2.0,4650.0
4.0,5.0,13.6,4.0,5.0,450.0,4.0,5.0,207.5,3.0,5.0,236.1,3.0,4.0,635.1,3.0,4.0,3516.0
4.0,6.0,42.9,4.0,6.0,942.3,4.0,6.0,519.8,3.0,6.0,499.4,3.0,6.0,1395.0,3.0,5.0,4701.0
5.0,2.0,36.3,5.0,1.0,408.0,5.0,1.0,253.6,5.0,1.0,76.7,4.0,1.0,211.2,4.0,1.0,2514.0
5.0,3.0,35.9,5.0,3.0,656.3,5.0,2.0,475.8,5.0,2.0,162.0,4.0,2.0,445.9,4.0,2.0,3157.0
5.0,4.0,31.3,5.0,4.0,687.6,5.0,4.0,337.1,5.0,3.0,190.9,4.0,3.0,461.1,4.0,3.0,3634.0
5.0,6.0,92.7,5.0,6.0,1390.0,5.0,6.0,801.0,5.0,6.0,164.2,4.0,6.0,393.5,4.0,5.0,2338.0
6.0,2.0,217.3,6.0,1.0,1162.0,6.0,1.0,1057.0,6.0,1.0,402.3,6.0,1.0,768.2,5.0,1.0,3024.0
6.0,3.0,260.5,6.0,3.0,2241.0,6.0,2.0,1840.0,6.0,2.0,761.5,6.0,2.0,1368.0,5.0,2.0,4080.0
6.0,4.0,185.2,6.0,4.0,2011.0,6.0,4.0,1507.0,6.0,3.0,998.9,6.0,3.0,1481.0,5.0,3.0,4806.0
6.0,5.0,250.3,6.0,5.0,3089.0,6.0,5.0,1856.0,6.0,5.0,477.9,6.0,4.0,848.1,5.0,4.0,2350.0
