1,百武 翔,百武 翔.1,2,吉永 泰弘,吉永 泰弘.1,3,西川　新太郎,西川　新太郎.1,4,原田 秀弥,原田 秀弥.1,5,鈴木 博,鈴木 博.1,6,渡辺 史之,渡辺 史之.1
2.0,3.0,26.0,1.0,3.0,124.4,1.0,2.0,54.3,1.0,2.0,235.2,1.0,2.0,97.4,1.0,2.0,885.7
2.0,4.0,44.5,1.0,4.0,184.3,1.0,4.0,24.5,1.0,3.0,116.2,1.0,3.0,42.1,1.0,3.0,602.4
2.0,5.0,34.0,1.0,5.0,133.9,1.0,5.0,15.5,1.0,5.0,97.6,1.0,4.0,79.2,1.0,4.0,1120.0
2.0,6.0,156.9,1.0,6.0,460.4,1.0,6.0,88.1,1.0,6.0,328.4,1.0,6.0,146.4,1.0,5.0,663.8
3.0,2.0,19.3,3.0,1.0,167.2,2.0,1.0,102.4,2.0,1.0,362.3,2.0,1.0,197.6,2.0,1.0,1421.0
3.0,4.0,11.5,3.0,4.0,278.9,2.0,4.0,147.5,2.0,3.0,337.2,2.0,3.0,223.0,2.0,3.0,1672.0
3.0,5.0,8.5,3.0,5.0,198.3,2.0,5.0,94.4,2.0,5.0,333.6,2.0,4.0,365.6,2.0,4.0,1672.0
3.0,6.0,61.9,3.0,6.0,766.3,2.0,6.0,328.0,2.0,6.0,608.3,2.0,6.0,559.3,2.0,5.0,1727.0
4.0,2.0,50.2,4.0,1.0,342.8,4.0,1.0,36.3,3.0,1.0,100.5,3.0,1.0,49.8,3.0,1.0,702.6
4.0,3.0,25.1,4.0,3.0,401.3,4.0,2.0,118.5,3.0,2.0,251.9,3.0,2.0,139.3,3.0,2.0,1467.0
4.0,5.0,27.1,4.0,5.0,392.3,4.0,5.0,27.6,3.0,5.0,76.5,3.0,4.0,80.2,3.0,4.0,1074.0
4.0,6.0,135.3,4.0,6.0,977.1,4.0,6.0,98.2,3.0,6.0,216.2,3.0,6.0,159.2,3.0,5.0,712.2
5.0,2.0,35.8,5.0,1.0,261.2,5.0,1.0,20.6,5.0,1.0,89.7,4.0,1.0,101.4,4.0,1.0,1434.0
5.0,3.0,15.7,5.0,3.0,311.1,5.0,2.0,70.0,5.0,2.0,243.7,4.0,2.0,242.7,4.0,2.0,1563.0
5.0,4.0,28.6,5.0,4.0,458.4,5.0,4.0,30.7,5.0,3.0,89.5,4.0,3.0,99.7,4.0,3.0,1467.0
5.0,6.0,76.5,5.0,6.0,866.1,5.0,6.0,76.8,5.0,6.0,152.3,4.0,6.0,194.6,4.0,5.0,1031.0
6.0,2.0,378.5,6.0,1.0,1265.0,6.0,1.0,227.7,6.0,1.0,722.1,6.0,1.0,339.1,5.0,1.0,805.8
6.0,3.0,231.7,6.0,3.0,1672.0,6.0,2.0,412.4,6.0,2.0,959.1,6.0,2.0,707.4,5.0,2.0,1737.0
6.0,4.0,398.8,6.0,4.0,1421.0,6.0,4.0,314.5,6.0,3.0,783.6,6.0,3.0,374.9,5.0,3.0,842.7
6.0,5.0,232.6,6.0,5.0,1330.0,6.0,5.0,201.4,6.0,5.0,503.4,6.0,4.0,457.7,5.0,4.0,1059.0
