1,山口 広樹,山口 広樹.1,2,桑原 啓,桑原 啓.1,3,原田 雄次,原田 雄次.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,土井 歩夢,土井 歩夢.1,6,渡辺 空依,渡辺 空依.1
2.0,3.0,8.6,1.0,3.0,47.0,1.0,2.0,39.1,1.0,2.0,112.2,1.0,2.0,88.9,1.0,2.0,397.2
2.0,4.0,37.1,1.0,4.0,127.2,1.0,4.0,84.4,1.0,3.0,182.4,1.0,3.0,76.6,1.0,3.0,505.2
2.0,5.0,12.9,1.0,5.0,77.1,1.0,5.0,30.1,1.0,5.0,88.5,1.0,4.0,132.4,1.0,4.0,920.0
2.0,6.0,41.4,1.0,6.0,133.8,1.0,6.0,85.2,1.0,6.0,154.4,1.0,6.0,107.1,1.0,5.0,615.5
3.0,2.0,8.5,3.0,1.0,80.5,2.0,1.0,81.9,2.0,1.0,195.1,2.0,1.0,151.4,2.0,1.0,514.1
3.0,4.0,23.1,3.0,4.0,378.3,2.0,4.0,257.0,2.0,3.0,539.5,2.0,3.0,233.7,2.0,3.0,1165.0
3.0,5.0,7.6,3.0,5.0,158.6,2.0,5.0,102.8,2.0,5.0,236.8,2.0,4.0,388.4,2.0,4.0,1231.0
3.0,6.0,22.9,3.0,6.0,373.5,2.0,6.0,251.8,2.0,6.0,351.0,2.0,6.0,305.6,2.0,5.0,1165.0
4.0,2.0,50.2,4.0,1.0,242.1,4.0,1.0,248.3,3.0,1.0,362.6,3.0,1.0,137.8,3.0,1.0,760.0
4.0,3.0,50.9,4.0,3.0,462.4,4.0,2.0,402.7,3.0,2.0,747.0,3.0,2.0,221.2,3.0,2.0,1079.0
4.0,5.0,46.9,4.0,5.0,400.9,4.0,5.0,248.3,3.0,5.0,371.9,3.0,4.0,399.1,3.0,4.0,1456.0
4.0,6.0,99.5,4.0,6.0,563.9,4.0,6.0,520.2,3.0,6.0,642.6,3.0,6.0,245.5,3.0,5.0,1028.0
5.0,2.0,19.0,5.0,1.0,205.1,5.0,1.0,80.2,5.0,1.0,98.0,4.0,1.0,146.6,4.0,1.0,960.5
5.0,3.0,16.4,5.0,3.0,239.4,5.0,2.0,139.4,5.0,2.0,174.1,4.0,2.0,242.1,4.0,2.0,1387.0
5.0,4.0,53.8,5.0,4.0,542.8,5.0,4.0,230.6,5.0,3.0,269.7,4.0,3.0,337.4,4.0,3.0,1213.0
5.0,6.0,43.5,5.0,6.0,482.9,5.0,6.0,173.4,5.0,6.0,101.5,4.0,6.0,173.0,4.0,5.0,699.2
6.0,2.0,108.3,6.0,1.0,356.7,6.0,1.0,368.8,6.0,1.0,259.3,6.0,1.0,233.7,5.0,1.0,657.1
6.0,3.0,100.5,6.0,3.0,560.2,6.0,2.0,493.8,6.0,2.0,523.3,6.0,2.0,412.2,5.0,2.0,982.0
6.0,4.0,175.1,6.0,4.0,993.2,6.0,4.0,809.3,6.0,3.0,693.6,6.0,3.0,414.2,5.0,3.0,1053.0
6.0,5.0,115.9,6.0,5.0,682.8,6.0,5.0,434.8,6.0,5.0,228.8,6.0,4.0,320.1,5.0,4.0,657.1
