1,藤原 碧生,藤原 碧生.1,2,坂井 滉哉,坂井 滉哉.1,3,眞崎 武蔵,眞崎 武蔵.1,4,西丸　侑太朗,西丸　侑太朗.1,5,西川 拓利,西川 拓利.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,17.9,1.0,3.0,153.0,1.0,2.0,206.1,1.0,2.0,62.7,1.0,2.0,247.7,1.0,2.0,159.2
2.0,4.0,9.7,1.0,4.0,109.0,1.0,4.0,123.4,1.0,3.0,83.2,1.0,3.0,467.2,1.0,3.0,207.7
2.0,5.0,28.2,1.0,5.0,194.4,1.0,5.0,296.3,1.0,5.0,60.4,1.0,4.0,272.6,1.0,4.0,117.4
2.0,6.0,22.4,1.0,6.0,172.1,1.0,6.0,195.6,1.0,6.0,41.0,1.0,6.0,265.8,1.0,5.0,230.1
3.0,2.0,19.3,3.0,1.0,360.0,2.0,1.0,438.0,2.0,1.0,165.9,2.0,1.0,462.9,2.0,1.0,327.0
3.0,4.0,11.8,3.0,4.0,569.0,2.0,4.0,582.0,2.0,3.0,471.5,2.0,3.0,1234.0,2.0,3.0,940.1
3.0,5.0,37.5,3.0,5.0,865.3,2.0,5.0,961.9,2.0,5.0,331.1,2.0,4.0,789.1,2.0,4.0,574.0
3.0,6.0,23.6,3.0,6.0,815.9,2.0,6.0,928.7,2.0,6.0,247.6,2.0,6.0,639.9,2.0,5.0,739.3
4.0,2.0,8.8,4.0,1.0,246.0,4.0,1.0,249.6,3.0,1.0,220.7,3.0,1.0,919.3,3.0,1.0,518.6
4.0,3.0,11.0,4.0,3.0,588.0,4.0,2.0,503.7,3.0,2.0,538.8,3.0,2.0,1575.0,3.0,2.0,1269.0
4.0,5.0,16.6,4.0,5.0,542.6,4.0,5.0,658.3,3.0,5.0,559.9,3.0,4.0,1608.0,3.0,4.0,917.5
4.0,6.0,9.7,4.0,6.0,396.9,4.0,6.0,435.5,3.0,6.0,356.4,3.0,6.0,1445.0,3.0,5.0,1528.0
5.0,2.0,46.1,5.0,1.0,401.8,5.0,1.0,852.4,5.0,1.0,105.9,4.0,1.0,360.6,4.0,1.0,196.1
5.0,3.0,65.1,5.0,3.0,1024.0,5.0,2.0,1328.0,5.0,2.0,239.6,4.0,2.0,689.1,4.0,2.0,497.1
5.0,4.0,39.6,5.0,4.0,698.6,5.0,4.0,1241.0,5.0,3.0,407.2,4.0,3.0,1174.0,4.0,3.0,718.4
5.0,6.0,48.6,5.0,6.0,570.4,5.0,6.0,1347.0,5.0,6.0,135.7,4.0,6.0,461.5,4.0,5.0,466.7
6.0,2.0,35.5,6.0,1.0,397.3,6.0,1.0,552.5,6.0,1.0,79.7,6.0,1.0,398.0,5.0,1.0,418.0
6.0,3.0,46.8,6.0,3.0,1033.0,6.0,2.0,1316.0,6.0,2.0,195.3,6.0,2.0,595.7,5.0,2.0,716.1
6.0,4.0,26.1,6.0,4.0,562.0,6.0,4.0,873.6,6.0,3.0,304.0,6.0,3.0,1165.0,5.0,3.0,1202.0
6.0,5.0,60.2,6.0,5.0,697.5,6.0,5.0,1679.0,6.0,5.0,150.0,6.0,4.0,576.1,5.0,4.0,610.0
