1,溝口　海義也,溝口　海義也.1,2,横田 茂,横田 茂.1,3,出畑 孝典,出畑 孝典.1,4,大熊 辰弥,大熊 辰弥.1,5,植田 太一,植田 太一.1,6,伊達 正利,伊達 正利.1
2.0,3.0,14.8,1.0,3.0,128.1,1.0,2.0,73.7,1.0,2.0,1450.0,1.0,2.0,23.4,1.0,2.0,937.5
2.0,4.0,83.2,1.0,4.0,539.0,1.0,4.0,203.1,1.0,3.0,1165.0,1.0,3.0,14.0,1.0,3.0,1002.0
2.0,5.0,14.4,1.0,5.0,127.1,1.0,5.0,31.2,1.0,5.0,901.8,1.0,4.0,135.1,1.0,4.0,2383.0
2.0,6.0,93.9,1.0,6.0,545.2,1.0,6.0,206.0,1.0,6.0,2237.0,1.0,6.0,32.1,1.0,5.0,662.5
3.0,2.0,10.9,3.0,1.0,243.6,2.0,1.0,197.5,2.0,1.0,1731.0,2.0,1.0,53.6,2.0,1.0,1441.0
3.0,4.0,44.7,3.0,4.0,1054.0,2.0,4.0,570.1,2.0,3.0,2348.0,2.0,3.0,71.5,2.0,3.0,1292.0
3.0,5.0,5.2,3.0,5.0,280.8,2.0,5.0,162.5,2.0,5.0,2036.0,2.0,4.0,407.2,2.0,4.0,3271.0
3.0,6.0,50.4,3.0,6.0,1070.0,2.0,6.0,419.0,2.0,6.0,2259.0,2.0,6.0,105.4,2.0,5.0,1700.0
4.0,2.0,190.8,4.0,1.0,1399.0,4.0,1.0,579.9,3.0,1.0,1464.0,3.0,1.0,29.5,3.0,1.0,1613.0
4.0,3.0,142.2,4.0,3.0,1803.0,4.0,2.0,908.7,3.0,2.0,2408.0,3.0,2.0,66.7,3.0,2.0,2127.0
4.0,5.0,131.3,4.0,5.0,2237.0,4.0,5.0,540.3,3.0,5.0,1897.0,3.0,4.0,270.7,3.0,4.0,3364.0
4.0,6.0,353.4,4.0,6.0,2790.0,4.0,6.0,1137.0,3.0,6.0,2983.0,3.0,6.0,82.4,3.0,5.0,1545.0
5.0,2.0,10.4,5.0,1.0,195.9,5.0,1.0,47.9,5.0,1.0,1235.0,4.0,1.0,446.2,4.0,1.0,4054.0
5.0,3.0,6.0,5.0,3.0,288.0,5.0,2.0,105.6,5.0,2.0,3141.0,4.0,2.0,941.2,4.0,2.0,4605.0
5.0,4.0,63.2,5.0,4.0,1371.0,5.0,4.0,305.6,5.0,3.0,1831.0,4.0,3.0,711.2,4.0,3.0,4312.0
5.0,6.0,27.7,5.0,6.0,862.5,5.0,6.0,162.0,5.0,6.0,2550.0,4.0,6.0,670.0,4.0,5.0,3294.0
6.0,2.0,215.8,6.0,1.0,1248.0,6.0,1.0,666.2,6.0,1.0,3825.0,6.0,1.0,59.9,5.0,1.0,590.0
6.0,3.0,179.7,6.0,3.0,1890.0,6.0,2.0,1118.0,6.0,2.0,4392.0,6.0,2.0,97.6,5.0,2.0,1068.0
6.0,4.0,445.0,6.0,4.0,3141.0,6.0,4.0,2010.0,6.0,3.0,4650.0,6.0,3.0,92.4,5.0,3.0,990.3
6.0,5.0,148.7,6.0,5.0,1776.0,6.0,5.0,599.7,6.0,5.0,3205.0,6.0,4.0,364.0,5.0,4.0,2127.0
