1,本橋 克洋,本橋 克洋.1,2,大場 敏,大場 敏.1,3,庄司　樹良々,庄司　樹良々.1,4,山本 隆幸,山本 隆幸.1,5,渡邉　真奈美,渡邉　真奈美.1,6,来田 衣織,来田 衣織.1
2.0,3.0,12.8,1.0,3.0,23.8,1.0,2.0,61.6,1.0,2.0,36.0,1.0,2.0,217.6,1.0,2.0,1202.0
2.0,4.0,8.2,1.0,4.0,14.2,1.0,4.0,51.9,1.0,3.0,74.6,1.0,3.0,270.7,1.0,3.0,2334.0
2.0,5.0,18.7,1.0,5.0,30.0,1.0,5.0,73.4,1.0,5.0,62.3,1.0,4.0,256.3,1.0,4.0,1884.0
2.0,6.0,92.2,1.0,6.0,130.1,1.0,6.0,270.7,1.0,6.0,205.4,1.0,6.0,446.1,1.0,5.0,2316.0
3.0,2.0,18.5,3.0,1.0,58.1,2.0,1.0,93.8,2.0,1.0,51.7,2.0,1.0,327.8,2.0,1.0,1646.0
3.0,4.0,15.8,3.0,4.0,58.1,2.0,4.0,81.0,2.0,3.0,104.7,2.0,3.0,591.2,2.0,3.0,2767.0
3.0,5.0,26.1,3.0,5.0,93.4,2.0,5.0,127.9,2.0,5.0,88.0,2.0,4.0,418.1,2.0,4.0,1672.0
3.0,6.0,102.3,3.0,6.0,362.8,2.0,6.0,476.7,2.0,6.0,260.4,2.0,6.0,843.0,2.0,5.0,2057.0
4.0,2.0,11.9,4.0,1.0,29.2,4.0,1.0,105.0,3.0,1.0,151.4,3.0,1.0,523.0,3.0,1.0,2334.0
4.0,3.0,20.8,4.0,3.0,53.5,4.0,2.0,106.8,3.0,2.0,160.0,3.0,2.0,709.2,3.0,2.0,2316.0
4.0,5.0,23.3,4.0,5.0,55.0,4.0,5.0,117.8,3.0,5.0,169.7,3.0,4.0,732.4,3.0,4.0,2522.0
4.0,6.0,99.7,4.0,6.0,177.9,4.0,6.0,325.1,3.0,6.0,493.3,3.0,6.0,1221.0,3.0,5.0,2650.0
5.0,2.0,55.4,5.0,1.0,125.0,5.0,1.0,194.5,5.0,1.0,103.7,4.0,1.0,324.4,4.0,1.0,2234.0
5.0,3.0,66.3,5.0,3.0,207.9,5.0,2.0,249.8,5.0,2.0,115.7,4.0,2.0,380.9,4.0,2.0,1787.0
5.0,4.0,62.2,5.0,4.0,158.2,5.0,4.0,205.3,5.0,3.0,180.1,4.0,3.0,568.6,4.0,3.0,2650.0
5.0,6.0,198.3,5.0,6.0,395.4,5.0,6.0,550.6,5.0,6.0,189.7,4.0,6.0,575.9,4.0,5.0,2030.0
6.0,2.0,326.8,6.0,1.0,547.7,6.0,1.0,863.9,6.0,1.0,483.4,6.0,1.0,1117.0,5.0,1.0,2387.0
6.0,3.0,475.3,6.0,3.0,922.6,6.0,2.0,1085.0,6.0,2.0,413.7,6.0,2.0,1396.0,5.0,2.0,2502.0
6.0,4.0,414.2,6.0,4.0,595.7,6.0,4.0,1018.0,6.0,3.0,812.3,6.0,3.0,1690.0,5.0,3.0,2563.0
6.0,5.0,420.9,6.0,5.0,595.7,6.0,5.0,768.4,6.0,5.0,401.4,6.0,4.0,1101.0,5.0,4.0,1850.0
