1,間野 兼礼,間野 兼礼.1,2,柴田 朋哉,柴田 朋哉.1,3,百武 翔,百武 翔.1,4,金子 貴志,金子 貴志.1,5,柘植 政浩,柘植 政浩.1,6,竹田 和哉,竹田 和哉.1
2.0,3.0,15.4,1.0,3.0,53.4,1.0,2.0,55.6,1.0,2.0,335.1,1.0,2.0,176.2,1.0,2.0,337.3
2.0,4.0,34.9,1.0,4.0,87.3,1.0,4.0,61.6,1.0,3.0,219.3,1.0,3.0,123.9,1.0,3.0,191.4
2.0,5.0,28.3,1.0,5.0,65.0,1.0,5.0,34.3,1.0,5.0,348.8,1.0,4.0,325.5,1.0,4.0,549.5
2.0,6.0,23.7,1.0,6.0,75.7,1.0,6.0,35.6,1.0,6.0,245.1,1.0,6.0,123.1,1.0,5.0,224.1
3.0,2.0,12.6,3.0,1.0,92.5,2.0,1.0,90.9,2.0,1.0,348.8,2.0,1.0,249.3,2.0,1.0,402.4
3.0,4.0,17.3,3.0,4.0,207.7,2.0,4.0,210.3,2.0,3.0,604.8,2.0,3.0,216.5,2.0,3.0,324.5
3.0,5.0,11.4,3.0,5.0,109.4,2.0,5.0,86.1,2.0,5.0,381.4,2.0,4.0,516.2,2.0,4.0,730.1
3.0,6.0,12.2,3.0,6.0,84.6,2.0,6.0,66.0,2.0,6.0,335.1,2.0,6.0,231.8,2.0,5.0,410.5
4.0,2.0,59.3,4.0,1.0,193.6,4.0,1.0,145.6,3.0,1.0,254.2,3.0,1.0,156.3,3.0,1.0,225.1
4.0,3.0,41.0,4.0,3.0,314.5,4.0,2.0,283.1,3.0,2.0,460.4,3.0,2.0,183.1,3.0,2.0,267.6
4.0,5.0,79.2,4.0,5.0,413.8,4.0,5.0,190.7,3.0,5.0,431.3,3.0,4.0,438.7,3.0,4.0,571.0
4.0,6.0,58.5,4.0,6.0,331.8,4.0,6.0,141.3,3.0,6.0,280.8,3.0,6.0,120.4,3.0,5.0,170.6
5.0,2.0,52.5,5.0,1.0,160.9,5.0,1.0,70.0,5.0,1.0,317.4,4.0,1.0,424.1,4.0,1.0,746.1
5.0,3.0,34.6,5.0,3.0,162.7,5.0,2.0,92.7,5.0,2.0,365.0,4.0,2.0,538.0,4.0,2.0,859.0
5.0,4.0,88.4,5.0,4.0,424.1,5.0,4.0,178.4,5.0,3.0,436.8,4.0,3.0,594.3,4.0,3.0,881.2
5.0,6.0,45.0,5.0,6.0,173.5,5.0,6.0,50.1,5.0,6.0,271.1,4.0,6.0,332.9,4.0,5.0,719.8
6.0,2.0,49.9,6.0,1.0,216.5,6.0,1.0,63.2,6.0,1.0,290.4,6.0,1.0,149.0,5.0,1.0,209.9
6.0,3.0,35.6,6.0,3.0,208.6,6.0,2.0,79.1,6.0,2.0,241.6,6.0,2.0,179.6,5.0,2.0,273.3
6.0,4.0,73.8,6.0,4.0,466.7,6.0,4.0,180.9,6.0,3.0,350.0,6.0,3.0,136.6,5.0,3.0,171.8
6.0,5.0,53.0,6.0,5.0,211.6,6.0,5.0,54.0,6.0,5.0,283.9,6.0,4.0,274.0,5.0,4.0,427.7
