1,中本 大樹,中本 大樹.1,2,梅木 敬太,梅木 敬太.1,3,大橋　栄里佳,大橋　栄里佳.1,4,近藤 稔也,近藤 稔也.1,5,沢田 昭宏,沢田 昭宏.1,6,浦野 海,浦野 海.1
2.0,3.0,12.6,1.0,3.0,23.1,1.0,2.0,40.5,1.0,2.0,116.8,1.0,2.0,238.0,1.0,2.0,242.7
2.0,4.0,20.2,1.0,4.0,33.2,1.0,4.0,57.0,1.0,3.0,140.1,1.0,3.0,292.4,1.0,3.0,349.4
2.0,5.0,34.8,1.0,5.0,50.3,1.0,5.0,83.8,1.0,5.0,151.5,1.0,4.0,275.6,1.0,4.0,372.6
2.0,6.0,36.6,1.0,6.0,45.6,1.0,6.0,90.1,1.0,6.0,169.7,1.0,6.0,242.1,1.0,5.0,464.6
3.0,2.0,14.1,3.0,1.0,37.1,2.0,1.0,62.5,2.0,1.0,137.4,2.0,1.0,300.6,2.0,1.0,267.1
3.0,4.0,17.9,3.0,4.0,42.3,2.0,4.0,66.0,2.0,3.0,156.8,2.0,3.0,316.3,2.0,3.0,262.2
3.0,5.0,34.9,3.0,5.0,51.7,2.0,5.0,84.1,2.0,5.0,171.4,2.0,4.0,344.5,2.0,4.0,332.2
3.0,6.0,43.2,3.0,6.0,46.0,2.0,6.0,77.3,2.0,6.0,142.6,2.0,6.0,213.9,2.0,5.0,259.7
4.0,2.0,30.8,4.0,1.0,75.1,4.0,1.0,96.5,3.0,1.0,201.0,3.0,1.0,451.2,3.0,1.0,461.0
4.0,3.0,37.2,4.0,3.0,71.7,4.0,2.0,89.5,3.0,2.0,181.8,3.0,2.0,415.3,3.0,2.0,354.8
4.0,5.0,61.3,4.0,5.0,79.4,4.0,5.0,127.5,3.0,5.0,257.9,3.0,4.0,478.8,3.0,4.0,487.5
4.0,6.0,71.8,4.0,6.0,66.0,4.0,6.0,128.1,3.0,6.0,272.8,3.0,6.0,373.1,3.0,5.0,452.6
5.0,2.0,65.4,5.0,1.0,86.2,5.0,1.0,180.1,5.0,1.0,197.5,4.0,1.0,332.2,4.0,1.0,486.7
5.0,3.0,83.2,5.0,3.0,74.1,5.0,2.0,151.1,5.0,2.0,190.1,4.0,2.0,356.5,4.0,2.0,450.5
5.0,4.0,112.2,5.0,4.0,91.8,5.0,4.0,191.8,5.0,3.0,286.2,4.0,3.0,504.0,4.0,3.0,553.7
5.0,6.0,106.7,5.0,6.0,48.1,5.0,6.0,156.0,5.0,6.0,169.4,4.0,6.0,296.1,4.0,5.0,493.9
6.0,2.0,86.9,6.0,1.0,82.7,6.0,1.0,198.2,6.0,1.0,286.2,6.0,1.0,322.8,5.0,1.0,504.8
6.0,3.0,112.6,6.0,3.0,73.4,6.0,2.0,154.8,6.0,2.0,232.1,6.0,2.0,257.0,5.0,2.0,343.3
6.0,4.0,130.0,6.0,4.0,83.4,6.0,4.0,224.4,6.0,3.0,364.8,6.0,3.0,331.1,5.0,3.0,413.5
6.0,5.0,134.3,6.0,5.0,57.7,6.0,5.0,205.3,6.0,5.0,236.5,6.0,4.0,305.9,5.0,4.0,456.1
