1,渡辺 空依,渡辺 空依.1,2,渥美 卓郎,渥美 卓郎.1,3,宮地 秀祈,宮地 秀祈.1,4,石田 勇斗,石田 勇斗.1,5,大塚 浩二,大塚 浩二.1,6,香月 大輝,香月 大輝.1
2.0,3.0,8.9,1.0,3.0,38.8,1.0,2.0,35.9,1.0,2.0,84.1,1.0,2.0,154.0,1.0,2.0,1124.0
2.0,4.0,15.3,1.0,4.0,60.0,1.0,4.0,33.5,1.0,3.0,77.9,1.0,3.0,135.1,1.0,3.0,1056.0
2.0,5.0,20.3,1.0,5.0,67.0,1.0,5.0,31.4,1.0,5.0,68.5,1.0,4.0,162.8,1.0,4.0,1375.0
2.0,6.0,103.6,1.0,6.0,287.6,1.0,6.0,174.9,1.0,6.0,238.0,1.0,6.0,492.1,1.0,5.0,1249.0
3.0,2.0,10.1,3.0,1.0,70.4,2.0,1.0,74.2,2.0,1.0,155.1,2.0,1.0,221.6,2.0,1.0,1431.0
3.0,4.0,9.3,3.0,4.0,123.6,2.0,4.0,114.3,2.0,3.0,192.8,2.0,3.0,223.3,2.0,3.0,1574.0
3.0,5.0,12.0,3.0,5.0,101.7,2.0,5.0,88.3,2.0,5.0,166.4,2.0,4.0,272.4,2.0,4.0,1306.0
3.0,6.0,80.3,3.0,6.0,395.6,2.0,6.0,403.7,2.0,6.0,484.5,2.0,6.0,762.6,2.0,5.0,2032.0
4.0,2.0,26.2,4.0,1.0,141.8,4.0,1.0,55.8,3.0,1.0,112.2,3.0,1.0,160.4,3.0,1.0,1328.0
4.0,3.0,20.8,4.0,3.0,179.7,4.0,2.0,108.1,3.0,2.0,174.2,3.0,2.0,203.9,3.0,2.0,1566.0
4.0,5.0,30.4,4.0,5.0,166.6,4.0,5.0,60.0,3.0,5.0,112.3,3.0,4.0,178.2,3.0,4.0,1105.0
4.0,6.0,138.9,4.0,6.0,532.9,4.0,6.0,255.6,3.0,6.0,365.8,3.0,6.0,563.4,3.0,5.0,1485.0
5.0,2.0,45.0,5.0,1.0,174.0,5.0,1.0,71.5,5.0,1.0,84.2,4.0,1.0,176.4,4.0,1.0,1559.0
5.0,3.0,32.8,5.0,3.0,177.7,5.0,2.0,100.1,5.0,2.0,109.0,4.0,2.0,192.6,4.0,2.0,1657.0
5.0,4.0,51.9,5.0,4.0,219.1,5.0,4.0,90.8,5.0,3.0,112.7,4.0,3.0,166.4,4.0,3.0,1478.0
5.0,6.0,181.1,5.0,6.0,766.3,5.0,6.0,333.6,5.0,6.0,191.1,4.0,6.0,344.5,4.0,5.0,1345.0
6.0,2.0,434.4,6.0,1.0,1056.0,6.0,1.0,615.1,6.0,1.0,571.6,6.0,1.0,934.6,5.0,1.0,1721.0
6.0,3.0,315.2,6.0,3.0,1056.0,6.0,2.0,842.1,6.0,2.0,671.5,6.0,2.0,1184.0,5.0,2.0,2187.0
6.0,4.0,459.7,6.0,4.0,960.2,6.0,4.0,758.9,6.0,3.0,593.1,6.0,3.0,870.0,5.0,3.0,1623.0
6.0,5.0,503.1,6.0,5.0,1464.0,6.0,5.0,695.2,6.0,5.0,457.7,6.0,4.0,724.0,5.0,4.0,1485.0
