1,白井 友晴,白井 友晴.1,2,佐々木　裕美,佐々木　裕美.1,3,松尾 祭,松尾 祭.1,4,長畑 友輔,長畑 友輔.1,5,高濱 芳久,高濱 芳久.1,6,小川　日紀太,小川　日紀太.1
2.0,3.0,9.8,1.0,3.0,23.8,1.0,2.0,22.6,1.0,2.0,145.6,1.0,2.0,191.1,1.0,2.0,627.5
2.0,4.0,19.1,1.0,4.0,38.6,1.0,4.0,23.0,1.0,3.0,84.2,1.0,3.0,114.9,1.0,3.0,614.9
2.0,5.0,29.6,1.0,5.0,55.1,1.0,5.0,32.0,1.0,5.0,105.9,1.0,4.0,162.9,1.0,4.0,809.4
2.0,6.0,59.1,1.0,6.0,91.1,1.0,6.0,76.6,1.0,6.0,164.6,1.0,6.0,251.4,1.0,5.0,983.1
3.0,2.0,9.0,3.0,1.0,43.0,2.0,1.0,38.5,2.0,1.0,185.8,2.0,1.0,268.0,2.0,1.0,751.0
3.0,4.0,9.0,3.0,4.0,92.8,2.0,4.0,75.9,2.0,3.0,301.2,2.0,3.0,430.9,2.0,3.0,1080.0
3.0,5.0,13.3,3.0,5.0,108.8,2.0,5.0,111.7,2.0,5.0,353.2,2.0,4.0,601.2,2.0,4.0,1405.0
3.0,6.0,43.0,3.0,6.0,189.0,2.0,6.0,182.5,2.0,6.0,511.8,2.0,6.0,692.0,2.0,5.0,1459.0
4.0,2.0,37.9,4.0,1.0,130.0,4.0,1.0,61.2,3.0,1.0,121.0,3.0,1.0,164.7,3.0,1.0,856.3
4.0,3.0,25.7,4.0,3.0,173.5,4.0,2.0,100.8,3.0,2.0,308.9,3.0,2.0,454.9,3.0,2.0,1174.0
4.0,5.0,43.8,4.0,5.0,274.4,4.0,5.0,112.9,3.0,5.0,202.0,3.0,4.0,333.4,3.0,4.0,1276.0
4.0,6.0,83.8,4.0,6.0,368.2,4.0,6.0,177.4,3.0,6.0,322.1,3.0,6.0,499.0,3.0,5.0,1568.0
5.0,2.0,61.4,5.0,1.0,203.7,5.0,1.0,92.1,5.0,1.0,130.4,4.0,1.0,214.0,4.0,1.0,1013.0
5.0,3.0,41.8,5.0,3.0,275.8,5.0,2.0,185.5,5.0,2.0,322.8,4.0,2.0,524.7,4.0,2.0,1709.0
5.0,4.0,66.0,5.0,4.0,398.3,5.0,4.0,173.5,5.0,3.0,204.7,4.0,3.0,323.5,4.0,3.0,1371.0
5.0,6.0,121.5,5.0,6.0,462.7,5.0,6.0,227.0,5.0,6.0,227.0,4.0,6.0,372.7,4.0,5.0,1431.0
6.0,2.0,188.6,6.0,1.0,434.6,6.0,1.0,341.1,6.0,1.0,339.3,6.0,1.0,535.2,5.0,1.0,1258.0
6.0,3.0,148.2,6.0,3.0,513.0,6.0,2.0,476.7,6.0,2.0,633.6,6.0,2.0,978.9,5.0,2.0,1869.0
6.0,4.0,213.9,6.0,4.0,809.4,6.0,4.0,524.7,6.0,3.0,518.2,6.0,3.0,784.4,5.0,3.0,1696.0
6.0,5.0,225.0,6.0,5.0,751.0,6.0,5.0,481.7,6.0,5.0,446.9,6.0,4.0,741.3,5.0,4.0,1497.0
