1,藤丸 光一,藤丸 光一.1,2,峰重 力也,峰重 力也.1,3,近藤 友宝,近藤 友宝.1,4,村田 友也,村田 友也.1,5,熊本 英一,熊本 英一.1,6,香月 大輝,香月 大輝.1
2.0,3.0,5.1,1.0,3.0,12.8,1.0,2.0,28.1,1.0,2.0,131.3,1.0,2.0,216.1,1.0,2.0,405.9
2.0,4.0,12.6,1.0,4.0,30.2,1.0,4.0,63.1,1.0,3.0,204.8,1.0,3.0,225.6,1.0,3.0,853.5
2.0,5.0,13.4,1.0,5.0,31.9,1.0,5.0,42.0,1.0,5.0,171.5,1.0,4.0,403.4,1.0,4.0,993.6
2.0,6.0,74.0,1.0,6.0,143.4,1.0,6.0,228.7,1.0,6.0,424.0,1.0,6.0,482.4,1.0,5.0,1024.0
3.0,2.0,8.8,3.0,1.0,25.9,2.0,1.0,43.6,2.0,1.0,172.0,2.0,1.0,331.2,2.0,1.0,545.6
3.0,4.0,20.7,3.0,4.0,50.4,2.0,4.0,75.6,2.0,3.0,295.8,2.0,3.0,393.9,2.0,3.0,1585.0
3.0,5.0,17.6,3.0,5.0,63.1,2.0,5.0,84.5,2.0,5.0,239.4,2.0,4.0,512.1,2.0,4.0,1447.0
3.0,6.0,91.6,3.0,6.0,235.2,2.0,6.0,421.3,2.0,6.0,315.5,2.0,6.0,1008.0,2.0,5.0,1513.0
4.0,2.0,29.9,4.0,1.0,64.6,4.0,1.0,136.7,3.0,1.0,258.0,3.0,1.0,253.1,3.0,1.0,756.5
4.0,3.0,42.6,4.0,3.0,76.7,4.0,2.0,160.8,3.0,2.0,341.4,3.0,2.0,426.7,3.0,2.0,832.1
4.0,5.0,66.3,4.0,5.0,125.3,4.0,5.0,194.0,3.0,5.0,348.5,3.0,4.0,426.7,3.0,4.0,715.8
4.0,6.0,176.1,4.0,6.0,343.1,4.0,6.0,951.0,3.0,6.0,864.5,3.0,6.0,774.1,3.0,5.0,1128.0
5.0,2.0,39.5,5.0,1.0,128.5,5.0,1.0,131.5,5.0,1.0,175.6,4.0,1.0,337.9,4.0,1.0,1280.0
5.0,3.0,40.6,5.0,3.0,160.4,5.0,2.0,221.9,5.0,2.0,246.5,4.0,2.0,482.4,4.0,2.0,864.5
5.0,4.0,112.8,5.0,4.0,202.3,5.0,4.0,285.7,5.0,3.0,452.8,4.0,3.0,875.9,4.0,3.0,1447.0
5.0,6.0,312.5,5.0,6.0,583.9,5.0,6.0,993.6,5.0,6.0,410.9,4.0,6.0,1024.0,4.0,5.0,1902.0
6.0,2.0,275.0,6.0,1.0,485.9,6.0,1.0,1109.0,6.0,1.0,554.7,6.0,1.0,1008.0,5.0,1.0,1623.0
6.0,3.0,283.2,6.0,3.0,811.8,6.0,2.0,1109.0,6.0,2.0,589.1,6.0,2.0,1073.0,5.0,2.0,1305.0
6.0,4.0,408.4,6.0,4.0,564.1,6.0,4.0,1416.0,6.0,3.0,1109.0,6.0,3.0,1386.0,5.0,3.0,1958.0
6.0,5.0,512.1,6.0,5.0,640.1,6.0,5.0,1447.0,6.0,5.0,715.8,6.0,4.0,1707.0,5.0,4.0,1849.0
