1,佐藤 航,佐藤 航.1,2,塩田 北斗,塩田 北斗.1,3,麻生 慎介,麻生 慎介.1,4,星野 太郎,星野 太郎.1,5,常住 蓮,常住 蓮.1,6,乙津 康志,乙津 康志.1
2.0,3.0,4.7,1.0,3.0,14.3,1.0,2.0,35.6,1.0,2.0,389.4,1.0,2.0,94.2,1.0,2.0,1668.0
2.0,4.0,13.4,1.0,4.0,38.8,1.0,4.0,74.7,1.0,3.0,439.2,1.0,3.0,113.5,1.0,3.0,2700.0
2.0,5.0,9.9,1.0,5.0,29.5,1.0,5.0,53.9,1.0,5.0,560.8,1.0,4.0,297.7,1.0,4.0,1959.0
2.0,6.0,72.9,1.0,6.0,147.5,1.0,6.0,246.3,1.0,6.0,911.3,1.0,6.0,277.7,1.0,5.0,2008.0
3.0,2.0,7.3,3.0,1.0,31.8,2.0,1.0,59.6,2.0,1.0,524.1,2.0,1.0,177.8,2.0,1.0,2176.0
3.0,4.0,17.1,3.0,4.0,74.2,2.0,4.0,115.8,2.0,3.0,603.5,2.0,3.0,219.7,2.0,3.0,2951.0
3.0,5.0,13.1,3.0,5.0,57.5,2.0,5.0,86.9,2.0,5.0,653.2,2.0,4.0,534.5,2.0,4.0,3591.0
3.0,6.0,93.9,3.0,6.0,289.4,2.0,6.0,369.1,2.0,6.0,1342.0,2.0,6.0,520.0,2.0,5.0,3102.0
4.0,2.0,38.9,4.0,1.0,164.6,4.0,1.0,261.7,3.0,1.0,749.3,3.0,1.0,263.1,3.0,1.0,3627.0
4.0,3.0,46.4,4.0,3.0,188.5,4.0,2.0,293.1,3.0,2.0,622.0,3.0,2.0,273.2,3.0,2.0,3240.0
4.0,5.0,77.3,4.0,5.0,231.1,4.0,5.0,346.0,3.0,5.0,1081.0,3.0,4.0,773.1,3.0,4.0,2814.0
4.0,6.0,171.5,4.0,6.0,617.8,4.0,6.0,886.9,3.0,6.0,1638.0,3.0,6.0,827.5,3.0,5.0,4190.0
5.0,2.0,22.2,5.0,1.0,107.6,5.0,1.0,160.5,5.0,1.0,870.0,4.0,1.0,823.8,4.0,1.0,4214.0
5.0,3.0,25.0,5.0,3.0,125.2,5.0,2.0,185.6,5.0,2.0,829.4,4.0,2.0,468.2,4.0,2.0,4190.0
5.0,4.0,77.9,5.0,4.0,234.4,5.0,4.0,356.6,5.0,3.0,1215.0,4.0,3.0,1139.0,4.0,3.0,4005.0
5.0,6.0,124.4,5.0,6.0,444.8,5.0,6.0,705.7,5.0,6.0,1653.0,4.0,6.0,1440.0,4.0,5.0,5360.0
6.0,2.0,328.4,6.0,1.0,877.3,6.0,1.0,1235.0,6.0,1.0,2222.0,6.0,1.0,825.6,5.0,1.0,2531.0
6.0,3.0,376.7,6.0,3.0,1084.0,6.0,2.0,1229.0,6.0,2.0,2077.0,6.0,2.0,972.1,5.0,2.0,3556.0
6.0,4.0,488.6,6.0,4.0,1352.0,6.0,4.0,1761.0,6.0,3.0,2438.0,6.0,3.0,1259.0,5.0,3.0,4528.0
6.0,5.0,368.5,6.0,5.0,1058.0,6.0,5.0,1469.0,6.0,5.0,2540.0,6.0,4.0,1735.0,5.0,4.0,4472.0
