1,杉山 正樹,杉山 正樹.1,2,若林 義人,若林 義人.1,3,牧 宏次,牧 宏次.1,4,浦田 信義,浦田 信義.1,5,山田 丈,山田 丈.1,6,赤坂 俊輔,赤坂 俊輔.1
2.0,3.0,7.1,1.0,3.0,21.8,1.0,2.0,158.9,1.0,2.0,548.3,1.0,2.0,45.7,1.0,2.0,92.1
2.0,4.0,22.2,1.0,4.0,52.2,1.0,4.0,399.4,1.0,3.0,876.6,1.0,3.0,89.2,1.0,3.0,262.6
2.0,5.0,10.3,1.0,5.0,24.9,1.0,5.0,220.1,1.0,5.0,661.3,1.0,4.0,164.6,1.0,4.0,424.6
2.0,6.0,5.9,1.0,6.0,16.7,1.0,6.0,179.5,1.0,6.0,586.7,1.0,6.0,74.2,1.0,5.0,172.2
3.0,2.0,20.6,3.0,1.0,83.1,2.0,1.0,208.3,2.0,1.0,627.6,2.0,1.0,64.9,2.0,1.0,126.7
3.0,4.0,63.2,3.0,4.0,272.1,2.0,4.0,566.0,2.0,3.0,1413.0,2.0,3.0,151.4,2.0,3.0,406.4
3.0,5.0,46.6,3.0,5.0,160.7,2.0,5.0,413.2,2.0,5.0,1164.0,2.0,4.0,223.8,2.0,4.0,697.6
3.0,6.0,31.3,3.0,6.0,113.9,2.0,6.0,324.8,2.0,6.0,720.8,2.0,6.0,109.4,2.0,5.0,277.8
4.0,2.0,80.0,4.0,1.0,256.1,4.0,1.0,880.7,3.0,1.0,1408.0,3.0,1.0,217.9,3.0,1.0,584.8
4.0,3.0,127.0,4.0,3.0,403.3,4.0,2.0,1121.0,3.0,2.0,1984.0,3.0,2.0,311.9,3.0,2.0,733.6
4.0,5.0,129.0,4.0,5.0,464.7,4.0,5.0,1424.0,3.0,5.0,2412.0,3.0,4.0,608.9,3.0,4.0,1342.0
4.0,6.0,98.3,4.0,6.0,287.1,4.0,6.0,1377.0,3.0,6.0,1294.0,3.0,6.0,425.1,3.0,5.0,1072.0
5.0,2.0,27.1,5.0,1.0,73.0,5.0,1.0,358.3,5.0,1.0,754.7,4.0,1.0,380.4,4.0,1.0,1091.0
5.0,3.0,60.1,5.0,3.0,172.3,5.0,2.0,638.4,5.0,2.0,1121.0,4.0,2.0,476.8,4.0,2.0,1217.0
5.0,4.0,125.1,5.0,4.0,358.3,5.0,4.0,1251.0,5.0,3.0,2158.0,4.0,3.0,842.5,4.0,3.0,1984.0
5.0,6.0,41.6,5.0,6.0,112.9,5.0,6.0,816.4,5.0,6.0,941.4,4.0,6.0,634.1,4.0,5.0,1346.0
6.0,2.0,16.9,6.0,1.0,56.1,6.0,1.0,448.4,6.0,1.0,757.8,6.0,1.0,154.6,5.0,1.0,291.2
6.0,3.0,44.2,6.0,3.0,131.3,6.0,2.0,595.2,6.0,2.0,876.6,6.0,2.0,185.3,5.0,2.0,369.0
6.0,4.0,84.0,6.0,4.0,246.1,6.0,4.0,1242.0,6.0,3.0,1242.0,6.0,3.0,391.7,5.0,3.0,848.3
6.0,5.0,40.1,6.0,5.0,120.2,6.0,5.0,802.2,6.0,5.0,963.5,6.0,4.0,468.3,5.0,4.0,1039.0
