1,柴田 大輔,柴田 大輔.1,2,屋良 龍紀,屋良 龍紀.1,3,鳥飼 眞,鳥飼 眞.1,4,東 健介,東 健介.1,5,吉永 泰弘,吉永 泰弘.1,6,古川 誠之,古川 誠之.1
2.0,3.0,40.2,1.0,3.0,118.9,1.0,2.0,62.0,1.0,2.0,247.8,1.0,2.0,571.7,1.0,2.0,186.0
2.0,4.0,65.7,1.0,4.0,204.6,1.0,4.0,19.7,1.0,3.0,96.0,1.0,3.0,269.8,1.0,3.0,59.4
2.0,5.0,120.0,1.0,5.0,270.3,1.0,5.0,31.9,1.0,5.0,159.3,1.0,4.0,512.9,1.0,4.0,154.8
2.0,6.0,66.6,1.0,6.0,132.3,1.0,6.0,13.3,1.0,6.0,91.6,1.0,6.0,304.0,1.0,5.0,202.6
3.0,2.0,26.0,3.0,1.0,155.8,2.0,1.0,126.8,2.0,1.0,456.5,2.0,1.0,720.5,2.0,1.0,268.6
3.0,4.0,10.9,3.0,4.0,266.9,2.0,4.0,171.6,2.0,3.0,496.6,2.0,3.0,890.3,2.0,3.0,316.3
3.0,5.0,22.0,3.0,5.0,350.1,2.0,5.0,220.2,2.0,5.0,608.0,2.0,4.0,1103.0,2.0,4.0,449.9
3.0,6.0,9.0,3.0,6.0,176.0,2.0,6.0,118.1,2.0,6.0,351.1,2.0,6.0,884.0,2.0,5.0,712.2
4.0,2.0,66.5,4.0,1.0,390.7,4.0,1.0,40.7,3.0,1.0,99.7,3.0,1.0,273.9,3.0,1.0,52.4
4.0,3.0,25.7,4.0,3.0,388.3,4.0,2.0,143.7,3.0,2.0,282.6,3.0,2.0,623.2,3.0,2.0,236.9
4.0,5.0,67.8,4.0,5.0,681.1,4.0,5.0,59.8,3.0,5.0,118.4,3.0,4.0,334.1,3.0,4.0,119.7
4.0,6.0,34.2,4.0,6.0,356.1,4.0,6.0,29.6,3.0,6.0,70.2,3.0,6.0,222.9,3.0,5.0,159.1
5.0,2.0,163.7,5.0,1.0,551.5,5.0,1.0,87.4,5.0,1.0,245.8,4.0,1.0,593.5,4.0,1.0,261.8
5.0,3.0,76.7,5.0,3.0,521.5,5.0,2.0,232.9,5.0,2.0,403.3,4.0,2.0,779.0,4.0,2.0,688.6
5.0,4.0,147.3,5.0,4.0,937.2,5.0,4.0,99.2,5.0,3.0,195.0,4.0,3.0,418.2,4.0,3.0,206.0
5.0,6.0,95.3,5.0,6.0,639.2,5.0,6.0,63.3,5.0,6.0,140.0,4.0,6.0,332.3,4.0,5.0,295.3
6.0,2.0,78.7,6.0,1.0,313.1,6.0,1.0,24.6,6.0,1.0,125.1,6.0,1.0,310.0,5.0,1.0,362.3
6.0,3.0,25.2,6.0,3.0,315.5,6.0,2.0,99.4,6.0,2.0,252.3,6.0,2.0,750.8,5.0,2.0,903.2
6.0,4.0,53.7,6.0,4.0,500.5,6.0,4.0,36.8,6.0,3.0,99.2,6.0,3.0,263.5,5.0,3.0,280.1
6.0,5.0,80.4,6.0,5.0,614.0,6.0,5.0,52.2,6.0,5.0,136.0,6.0,4.0,338.7,5.0,4.0,349.1
