1,阪本 勇介,阪本 勇介.1,2,高田 明,高田 明.1,3,檀 将太,檀 将太.1,4,中嶋　誠一郎,中嶋　誠一郎.1,5,坂井 滉哉,坂井 滉哉.1,6,佐藤　謙史朗,佐藤　謙史朗.1
2.0,3.0,32.7,1.0,3.0,40.0,1.0,2.0,150.4,1.0,2.0,60.1,1.0,2.0,1260.0,1.0,2.0,36.8
2.0,4.0,11.7,1.0,4.0,14.1,1.0,4.0,202.8,1.0,3.0,232.7,1.0,3.0,1858.0,1.0,3.0,96.7
2.0,5.0,182.5,1.0,5.0,194.6,1.0,5.0,519.3,1.0,5.0,421.1,1.0,4.0,1324.0,1.0,4.0,64.7
2.0,6.0,15.4,1.0,6.0,17.7,1.0,6.0,160.3,1.0,6.0,66.0,1.0,6.0,1065.0,1.0,5.0,288.9
3.0,2.0,51.9,3.0,1.0,69.4,2.0,1.0,138.9,2.0,1.0,55.3,2.0,1.0,1441.0,2.0,1.0,36.2
3.0,4.0,77.6,3.0,4.0,53.9,2.0,4.0,124.4,2.0,3.0,139.3,2.0,3.0,1832.0,2.0,3.0,61.6
3.0,5.0,256.6,3.0,5.0,285.5,2.0,5.0,487.7,2.0,5.0,311.9,2.0,4.0,1311.0,2.0,4.0,38.5
3.0,6.0,79.1,3.0,6.0,44.8,2.0,6.0,94.9,2.0,6.0,40.9,2.0,6.0,1170.0,2.0,5.0,228.6
4.0,2.0,24.1,4.0,1.0,19.9,4.0,1.0,255.1,3.0,1.0,230.7,3.0,1.0,1782.0,3.0,1.0,156.6
4.0,3.0,84.1,4.0,3.0,51.3,4.0,2.0,174.5,3.0,2.0,195.0,3.0,2.0,1941.0,3.0,2.0,99.7
4.0,5.0,285.8,4.0,5.0,190.1,4.0,5.0,537.1,3.0,5.0,596.8,3.0,4.0,1742.0,3.0,4.0,168.4
4.0,6.0,31.4,4.0,6.0,17.7,4.0,6.0,158.9,3.0,6.0,159.5,3.0,6.0,1415.0,3.0,5.0,512.5
5.0,2.0,597.7,5.0,1.0,531.3,5.0,1.0,980.3,5.0,1.0,652.4,4.0,1.0,1371.0,4.0,1.0,93.3
5.0,3.0,618.4,5.0,3.0,634.5,5.0,2.0,973.0,5.0,2.0,634.5,4.0,2.0,1356.0,4.0,2.0,57.4
5.0,4.0,630.4,5.0,4.0,454.9,5.0,4.0,790.5,5.0,3.0,891.1,4.0,3.0,1774.0,4.0,3.0,163.1
5.0,6.0,505.9,5.0,6.0,334.8,5.0,6.0,670.3,5.0,6.0,380.7,4.0,6.0,678.4,4.0,5.0,362.4
6.0,2.0,29.9,6.0,1.0,26.9,6.0,1.0,155.5,6.0,1.0,71.9,6.0,1.0,1260.0,5.0,1.0,582.6
6.0,3.0,86.0,6.0,3.0,44.2,6.0,2.0,110.5,6.0,2.0,50.5,6.0,2.0,1289.0,5.0,2.0,561.7
6.0,4.0,44.4,6.0,4.0,23.5,6.0,4.0,140.7,6.0,3.0,147.8,6.0,3.0,1519.0,5.0,3.0,728.8
6.0,5.0,262.2,6.0,5.0,181.1,6.0,5.0,410.1,6.0,5.0,270.8,6.0,4.0,909.8,5.0,4.0,516.6
