1,坂口 周,坂口 周.1,2,渡邉　真奈美,渡邉　真奈美.1,3,山本 隆幸,山本 隆幸.1,4,黒野 元基,黒野 元基.1,5,田路 朋史,田路 朋史.1,6,森定 晃史,森定 晃史.1
2.0,3.0,16.0,1.0,3.0,70.1,1.0,2.0,64.1,1.0,2.0,100.7,1.0,2.0,158.3,1.0,2.0,644.6
2.0,4.0,19.6,1.0,4.0,77.0,1.0,4.0,31.5,1.0,3.0,51.8,1.0,3.0,154.8,1.0,3.0,535.9
2.0,5.0,38.9,1.0,5.0,111.2,1.0,5.0,60.1,1.0,5.0,78.0,1.0,4.0,167.4,1.0,4.0,383.3
2.0,6.0,52.4,1.0,6.0,157.7,1.0,6.0,68.8,1.0,6.0,66.6,1.0,6.0,150.1,1.0,5.0,758.2
3.0,2.0,13.9,3.0,1.0,114.8,2.0,1.0,156.4,2.0,1.0,234.5,2.0,1.0,314.0,2.0,1.0,1187.0
3.0,4.0,7.2,3.0,4.0,105.9,2.0,4.0,130.5,2.0,3.0,234.0,2.0,3.0,469.5,2.0,3.0,1233.0
3.0,5.0,20.0,3.0,5.0,155.3,2.0,5.0,188.7,2.0,5.0,362.4,2.0,4.0,553.3,2.0,4.0,1138.0
3.0,6.0,21.4,3.0,6.0,212.9,2.0,6.0,230.2,2.0,6.0,310.3,2.0,6.0,461.3,2.0,5.0,1579.0
4.0,2.0,17.9,4.0,1.0,147.0,4.0,1.0,56.2,3.0,1.0,84.4,3.0,1.0,339.3,3.0,1.0,822.6
4.0,3.0,10.5,4.0,3.0,138.0,4.0,2.0,123.5,3.0,2.0,174.8,3.0,2.0,538.9,3.0,2.0,1274.0
4.0,5.0,26.8,4.0,5.0,238.8,4.0,5.0,116.1,3.0,5.0,172.1,3.0,4.0,449.4,3.0,4.0,569.0
4.0,6.0,22.7,4.0,6.0,284.7,4.0,6.0,88.1,3.0,6.0,123.0,3.0,6.0,506.8,3.0,5.0,1428.0
5.0,2.0,53.1,5.0,1.0,306.4,5.0,1.0,208.8,5.0,1.0,119.0,4.0,1.0,232.5,4.0,1.0,570.2
5.0,3.0,43.6,5.0,3.0,361.6,5.0,2.0,331.2,5.0,2.0,240.6,4.0,2.0,437.6,4.0,2.0,1049.0
5.0,4.0,52.3,5.0,4.0,451.8,5.0,4.0,238.0,5.0,3.0,207.4,4.0,3.0,397.2,4.0,3.0,572.4
5.0,6.0,74.0,5.0,6.0,559.8,5.0,6.0,330.2,5.0,6.0,113.9,4.0,6.0,223.0,4.0,5.0,946.6
6.0,2.0,138.9,6.0,1.0,560.6,6.0,1.0,305.2,6.0,1.0,142.0,6.0,1.0,266.2,5.0,1.0,916.1
6.0,3.0,93.2,6.0,3.0,769.7,6.0,2.0,570.6,6.0,2.0,301.4,6.0,2.0,390.1,5.0,2.0,1227.0
6.0,4.0,86.6,6.0,4.0,650.7,6.0,4.0,240.4,6.0,3.0,193.5,6.0,3.0,477.1,5.0,3.0,1141.0
6.0,5.0,154.1,6.0,5.0,957.3,6.0,5.0,504.8,6.0,5.0,187.2,6.0,4.0,339.7,5.0,4.0,821.7
