1,亀山 雅幸,亀山 雅幸.1,2,高橋 勲,高橋 勲.1,3,天野 誠,天野 誠.1,4,奈須 啓太,奈須 啓太.1,5,東 健介,東 健介.1,6,柴田 光,柴田 光.1
2.0,3.0,57.2,1.0,3.0,201.4,1.0,2.0,634.4,1.0,2.0,24.0,1.0,2.0,426.8,1.0,2.0,53.9
2.0,4.0,11.1,1.0,4.0,44.7,1.0,4.0,647.4,1.0,3.0,139.3,1.0,3.0,910.7,1.0,3.0,217.7
2.0,5.0,87.3,1.0,5.0,199.6,1.0,5.0,1131.0,1.0,5.0,45.1,1.0,4.0,322.3,1.0,4.0,35.9
2.0,6.0,13.9,1.0,6.0,56.9,1.0,6.0,608.5,1.0,6.0,15.1,1.0,6.0,410.5,1.0,5.0,147.0
3.0,2.0,112.2,3.0,1.0,510.3,2.0,1.0,866.7,2.0,1.0,47.7,2.0,1.0,627.7,2.0,1.0,116.9
3.0,4.0,92.6,3.0,4.0,660.1,2.0,4.0,1183.0,2.0,3.0,300.0,2.0,3.0,1452.0,2.0,3.0,720.3
3.0,5.0,265.8,3.0,5.0,1158.0,2.0,5.0,1892.0,2.0,5.0,108.8,2.0,4.0,623.4,2.0,4.0,122.7
3.0,6.0,99.4,3.0,6.0,783.3,2.0,6.0,1377.0,2.0,6.0,42.4,2.0,6.0,755.7,2.0,5.0,433.3
4.0,2.0,9.4,4.0,1.0,68.8,4.0,1.0,975.2,3.0,1.0,458.8,3.0,1.0,1575.0,3.0,1.0,721.3
4.0,3.0,58.5,4.0,3.0,438.3,4.0,2.0,1165.0,3.0,2.0,637.4,3.0,2.0,1932.0,3.0,2.0,1224.0
4.0,5.0,48.4,4.0,5.0,244.9,4.0,5.0,2012.0,3.0,5.0,641.2,3.0,4.0,1885.0,3.0,4.0,824.1
4.0,6.0,8.7,4.0,6.0,65.2,4.0,6.0,1119.0,3.0,6.0,430.2,3.0,6.0,2220.0,3.0,5.0,1553.0
5.0,2.0,190.8,5.0,1.0,579.6,5.0,1.0,2229.0,5.0,1.0,77.1,4.0,1.0,332.1,4.0,1.0,45.0
5.0,3.0,382.4,5.0,3.0,1505.0,5.0,2.0,2843.0,5.0,2.0,102.5,4.0,2.0,437.2,4.0,2.0,71.2
5.0,4.0,155.2,5.0,4.0,574.7,5.0,4.0,2798.0,5.0,3.0,324.4,4.0,3.0,1051.0,4.0,3.0,356.1
5.0,6.0,185.3,5.0,6.0,582.8,5.0,6.0,2595.0,5.0,6.0,67.0,4.0,6.0,310.6,4.0,5.0,130.6
6.0,2.0,16.3,6.0,1.0,118.2,6.0,1.0,1061.0,6.0,1.0,18.7,6.0,1.0,653.7,5.0,1.0,440.4
6.0,3.0,62.4,6.0,3.0,712.6,6.0,2.0,1990.0,6.0,2.0,28.9,6.0,2.0,835.7,5.0,2.0,609.2
6.0,4.0,13.3,6.0,4.0,95.8,6.0,4.0,1429.0,6.0,3.0,173.0,6.0,3.0,1803.0,5.0,3.0,1388.0
6.0,5.0,73.9,6.0,5.0,348.9,6.0,5.0,2487.0,6.0,5.0,38.0,6.0,4.0,466.0,5.0,4.0,340.7
