1,上村 純一,上村 純一.1,2,中嶋　誠一郎,中嶋　誠一郎.1,3,品川 賢次,品川 賢次.1,4,藤田 竜弘,藤田 竜弘.1,5,阪本 勇介,阪本 勇介.1,6,中村 辰也,中村 辰也.1
2.0,3.0,13.2,1.0,3.0,183.9,1.0,2.0,185.4,1.0,2.0,89.0,1.0,2.0,328.7,1.0,2.0,346.9
2.0,4.0,11.2,1.0,4.0,131.8,1.0,4.0,99.6,1.0,3.0,126.5,1.0,3.0,293.6,1.0,3.0,489.1
2.0,5.0,28.1,1.0,5.0,268.2,1.0,5.0,142.7,1.0,5.0,89.8,1.0,4.0,234.7,1.0,4.0,217.2
2.0,6.0,20.5,1.0,6.0,185.3,1.0,6.0,117.1,1.0,6.0,54.1,1.0,6.0,203.7,1.0,5.0,503.7
3.0,2.0,13.4,3.0,1.0,574.6,2.0,1.0,573.2,2.0,1.0,260.7,2.0,1.0,836.7,2.0,1.0,683.7
3.0,4.0,9.8,3.0,4.0,988.5,2.0,4.0,802.9,2.0,3.0,676.4,2.0,3.0,1661.0,2.0,3.0,1570.0
3.0,5.0,16.6,3.0,5.0,1374.0,2.0,5.0,1165.0,2.0,5.0,559.5,2.0,4.0,1291.0,2.0,4.0,832.0
3.0,6.0,14.6,3.0,6.0,1119.0,2.0,6.0,876.9,2.0,6.0,305.4,2.0,6.0,1145.0,2.0,5.0,1776.0
4.0,2.0,12.6,4.0,1.0,346.1,4.0,1.0,208.5,3.0,1.0,283.6,3.0,1.0,662.4,3.0,1.0,1080.0
4.0,3.0,12.5,4.0,3.0,952.7,4.0,2.0,571.0,3.0,2.0,688.4,3.0,2.0,1673.0,3.0,2.0,1654.0
4.0,5.0,20.0,4.0,5.0,1136.0,4.0,5.0,379.9,3.0,5.0,491.2,3.0,4.0,1085.0,3.0,4.0,929.9
4.0,6.0,10.8,4.0,6.0,461.8,4.0,6.0,269.8,3.0,6.0,346.1,3.0,6.0,893.6,3.0,5.0,1494.0
5.0,2.0,47.5,5.0,1.0,1056.0,5.0,1.0,396.6,5.0,1.0,127.6,4.0,1.0,302.5,4.0,1.0,300.7
5.0,3.0,35.8,5.0,3.0,1673.0,5.0,2.0,1039.0,5.0,2.0,366.4,4.0,2.0,790.8,4.0,2.0,690.6
5.0,4.0,41.0,5.0,4.0,1604.0,5.0,4.0,616.7,5.0,3.0,406.5,4.0,3.0,818.3,4.0,3.0,772.3
5.0,6.0,41.5,5.0,6.0,1522.0,5.0,6.0,571.7,5.0,6.0,119.2,4.0,6.0,290.6,4.0,5.0,556.0
6.0,2.0,48.0,6.0,1.0,641.0,6.0,1.0,317.6,6.0,1.0,95.5,6.0,1.0,365.2,5.0,1.0,736.7
6.0,3.0,43.9,6.0,3.0,1499.0,6.0,2.0,923.1,6.0,2.0,244.5,6.0,2.0,910.0,5.0,2.0,1486.0
6.0,4.0,32.3,6.0,4.0,736.7,6.0,4.0,379.7,6.0,3.0,329.5,6.0,3.0,783.2,5.0,3.0,1260.0
6.0,5.0,60.2,6.0,5.0,1648.0,6.0,5.0,674.4,6.0,5.0,155.5,6.0,4.0,415.2,5.0,4.0,662.9
