1,尾崎 雄二,尾崎 雄二.1,2,山本 光雄,山本 光雄.1,3,町田 洸希,町田 洸希.1,4,鈴木 雅希,鈴木 雅希.1,5,中 亮太,中 亮太.1,6,山田 晃大,山田 晃大.1
2.0,3.0,30.9,1.0,3.0,91.0,1.0,2.0,129.5,1.0,2.0,114.2,1.0,2.0,94.1,1.0,2.0,404.5
2.0,4.0,31.9,1.0,4.0,92.6,1.0,4.0,64.6,1.0,3.0,91.7,1.0,3.0,88.9,1.0,3.0,531.2
2.0,5.0,33.3,1.0,5.0,101.8,1.0,5.0,56.6,1.0,5.0,56.2,1.0,4.0,73.6,1.0,4.0,386.5
2.0,6.0,63.7,1.0,6.0,155.7,1.0,6.0,93.5,1.0,6.0,83.3,1.0,6.0,63.7,1.0,5.0,235.4
3.0,2.0,32.9,3.0,1.0,212.4,2.0,1.0,228.7,2.0,1.0,167.1,2.0,1.0,189.7,2.0,1.0,638.1
3.0,4.0,17.6,3.0,4.0,290.4,2.0,4.0,223.4,2.0,3.0,229.4,2.0,3.0,276.7,2.0,3.0,918.2
3.0,5.0,16.5,3.0,5.0,314.4,2.0,5.0,216.8,2.0,5.0,150.7,2.0,4.0,211.9,2.0,4.0,671.9
3.0,6.0,39.0,3.0,6.0,416.4,2.0,6.0,338.5,2.0,6.0,182.7,2.0,6.0,204.6,2.0,5.0,630.2
4.0,2.0,36.0,4.0,1.0,182.6,4.0,1.0,75.4,3.0,1.0,118.0,3.0,1.0,132.8,3.0,1.0,664.6
4.0,3.0,24.8,4.0,3.0,268.6,4.0,2.0,160.4,3.0,2.0,204.5,3.0,2.0,266.0,3.0,2.0,996.4
4.0,5.0,18.0,4.0,5.0,229.7,4.0,5.0,43.2,3.0,5.0,68.3,3.0,4.0,133.4,3.0,4.0,534.0
4.0,6.0,36.8,4.0,6.0,297.8,4.0,6.0,62.1,3.0,6.0,87.9,3.0,6.0,132.8,3.0,5.0,450.2
5.0,2.0,33.1,5.0,1.0,197.7,5.0,1.0,76.6,5.0,1.0,50.6,4.0,1.0,76.6,4.0,1.0,425.1
5.0,3.0,27.5,5.0,3.0,295.5,5.0,2.0,169.8,5.0,2.0,103.9,4.0,2.0,145.4,4.0,2.0,578.1
5.0,4.0,27.0,5.0,4.0,275.4,5.0,4.0,60.4,5.0,3.0,75.6,4.0,3.0,120.2,4.0,3.0,500.6
5.0,6.0,29.0,5.0,6.0,314.3,5.0,6.0,66.0,5.0,6.0,36.2,4.0,6.0,59.5,4.0,5.0,223.7
6.0,2.0,126.4,6.0,1.0,508.1,6.0,1.0,241.1,6.0,1.0,133.6,6.0,1.0,100.7,5.0,1.0,237.4
6.0,3.0,108.6,6.0,3.0,700.5,6.0,2.0,389.7,6.0,2.0,214.6,6.0,2.0,189.2,5.0,2.0,478.2
6.0,4.0,97.9,6.0,4.0,560.5,6.0,4.0,160.1,6.0,3.0,169.2,6.0,3.0,159.9,5.0,3.0,352.3
6.0,5.0,71.8,6.0,5.0,535.9,6.0,5.0,141.4,6.0,5.0,77.4,6.0,4.0,95.8,5.0,4.0,203.2
