1,浦野 海,浦野 海.1,2,森 智也,森 智也.1,3,中本 大樹,中本 大樹.1,4,加藤 奈月,加藤 奈月.1,5,土性 雅也,土性 雅也.1,6,大塚 雅治,大塚 雅治.1
2.0,3.0,8.4,1.0,3.0,36.5,1.0,2.0,31.7,1.0,2.0,411.1,1.0,2.0,154.8,1.0,2.0,252.0
2.0,4.0,21.4,1.0,4.0,85.0,1.0,4.0,75.1,1.0,3.0,493.2,1.0,3.0,163.2,1.0,3.0,319.7
2.0,5.0,12.1,1.0,5.0,46.8,1.0,5.0,33.0,1.0,5.0,463.5,1.0,4.0,413.1,1.0,4.0,778.6
2.0,6.0,15.8,1.0,6.0,55.4,1.0,6.0,37.7,1.0,6.0,443.6,1.0,6.0,165.7,1.0,5.0,343.6
3.0,2.0,9.7,3.0,1.0,67.4,2.0,1.0,56.5,2.0,1.0,645.1,2.0,1.0,251.6,2.0,1.0,373.9
3.0,4.0,31.5,3.0,4.0,155.0,2.0,4.0,133.7,2.0,3.0,725.7,2.0,3.0,269.0,2.0,3.0,455.2
3.0,5.0,14.6,3.0,5.0,83.2,2.0,5.0,64.5,2.0,5.0,771.4,2.0,4.0,669.9,2.0,4.0,1110.0
3.0,6.0,19.3,3.0,6.0,86.6,2.0,6.0,59.3,2.0,6.0,950.9,2.0,6.0,283.3,2.0,5.0,485.2
4.0,2.0,64.3,4.0,1.0,243.1,4.0,1.0,179.1,3.0,1.0,722.5,3.0,1.0,238.6,3.0,1.0,412.1
4.0,3.0,81.2,4.0,3.0,278.1,4.0,2.0,198.1,3.0,2.0,660.5,3.0,2.0,278.1,3.0,2.0,422.6
4.0,5.0,96.0,4.0,5.0,315.1,4.0,5.0,173.4,3.0,5.0,713.2,3.0,4.0,643.8,3.0,4.0,976.2
4.0,6.0,109.4,4.0,6.0,353.1,4.0,6.0,161.8,3.0,6.0,769.6,3.0,6.0,263.4,3.0,5.0,478.2
5.0,2.0,28.9,5.0,1.0,140.3,5.0,1.0,64.0,5.0,1.0,538.1,4.0,1.0,728.9,4.0,1.0,1190.0
5.0,3.0,35.9,5.0,3.0,154.2,5.0,2.0,79.5,5.0,2.0,623.2,4.0,2.0,892.0,4.0,2.0,1350.0
5.0,4.0,106.4,5.0,4.0,330.6,5.0,4.0,149.3,5.0,3.0,799.3,4.0,3.0,911.6,4.0,3.0,1287.0
5.0,6.0,43.0,5.0,6.0,178.8,5.0,6.0,58.5,5.0,6.0,592.0,4.0,6.0,780.5,4.0,5.0,1234.0
6.0,2.0,49.4,6.0,1.0,169.2,6.0,1.0,91.1,6.0,1.0,855.1,6.0,1.0,285.7,5.0,1.0,495.4
6.0,3.0,65.8,6.0,3.0,206.7,6.0,2.0,106.2,6.0,2.0,1077.0,6.0,2.0,338.7,5.0,2.0,559.9
6.0,4.0,174.7,6.0,4.0,594.1,6.0,4.0,212.5,6.0,3.0,1221.0,6.0,3.0,344.3,5.0,3.0,589.9
6.0,5.0,78.4,6.0,5.0,262.6,6.0,5.0,104.9,6.0,5.0,962.0,6.0,4.0,711.7,5.0,4.0,1088.0
