1,間嶋 仁志,間嶋 仁志.1,2,渡邉 睦広,渡邉 睦広.1,3,柴田 光,柴田 光.1,4,表 健太,表 健太.1,5,津留　浩一郎,津留　浩一郎.1,6,東 健介,東 健介.1
2.0,3.0,5.9,1.0,3.0,25.1,1.0,2.0,10.4,1.0,2.0,315.0,1.0,2.0,192.0,1.0,2.0,1665.0
2.0,4.0,32.5,1.0,4.0,135.3,1.0,4.0,34.5,1.0,3.0,239.8,1.0,3.0,137.4,1.0,3.0,1857.0
2.0,5.0,20.3,1.0,5.0,76.6,1.0,5.0,18.3,1.0,5.0,228.1,1.0,4.0,332.5,1.0,4.0,2516.0
2.0,6.0,67.6,1.0,6.0,250.7,1.0,6.0,77.6,1.0,6.0,548.3,1.0,6.0,367.2,1.0,5.0,2217.0
3.0,2.0,4.6,3.0,1.0,42.8,2.0,1.0,24.0,2.0,1.0,470.5,2.0,1.0,297.4,2.0,1.0,2150.0
3.0,4.0,17.4,3.0,4.0,191.7,2.0,4.0,109.9,2.0,3.0,534.3,2.0,3.0,315.6,2.0,3.0,2589.0
3.0,5.0,10.5,3.0,5.0,115.8,2.0,5.0,61.1,2.0,5.0,535.1,2.0,4.0,823.2,2.0,4.0,3815.0
3.0,6.0,45.5,3.0,6.0,320.7,2.0,6.0,189.8,2.0,6.0,907.4,2.0,6.0,611.7,2.0,5.0,2729.0
4.0,2.0,100.1,4.0,1.0,416.9,4.0,1.0,93.1,3.0,1.0,318.4,3.0,1.0,192.9,3.0,1.0,2381.0
4.0,3.0,76.0,4.0,3.0,414.9,4.0,2.0,137.3,3.0,2.0,471.1,3.0,2.0,276.3,3.0,2.0,2838.0
4.0,5.0,124.4,4.0,5.0,629.0,4.0,5.0,104.8,3.0,5.0,320.7,3.0,4.0,436.4,3.0,4.0,3583.0
4.0,6.0,249.1,4.0,6.0,1065.0,4.0,6.0,247.4,3.0,6.0,823.2,3.0,6.0,525.6,3.0,5.0,2750.0
5.0,2.0,52.7,5.0,1.0,285.6,5.0,1.0,58.0,5.0,1.0,268.9,4.0,1.0,421.3,4.0,1.0,3548.0
5.0,3.0,41.8,5.0,3.0,303.7,5.0,2.0,85.0,5.0,2.0,440.7,4.0,2.0,576.9,4.0,2.0,2687.0
5.0,4.0,135.1,5.0,4.0,804.5,5.0,4.0,129.2,5.0,3.0,303.7,4.0,3.0,459.5,4.0,3.0,4031.0
5.0,6.0,210.0,5.0,6.0,951.2,5.0,6.0,191.1,5.0,6.0,334.4,4.0,6.0,589.3,4.0,5.0,1960.0
6.0,2.0,329.1,6.0,1.0,1144.0,6.0,1.0,370.3,6.0,1.0,1016.0,6.0,1.0,602.3,5.0,1.0,2303.0
6.0,3.0,292.7,6.0,3.0,1174.0,6.0,2.0,491.4,6.0,2.0,1101.0,6.0,2.0,706.7,5.0,2.0,2481.0
6.0,4.0,514.9,6.0,4.0,1627.0,6.0,4.0,645.0,6.0,3.0,1108.0,6.0,3.0,722.6,5.0,3.0,1971.0
6.0,5.0,397.3,6.0,5.0,1576.0,6.0,5.0,419.3,6.0,5.0,591.3,6.0,4.0,840.7,5.0,4.0,1982.0
