1,松下 哲也,松下 哲也.1,2,岡崎 恭裕,岡崎 恭裕.1,3,渡辺 崇,渡辺 崇.1,4,田中 京介,田中 京介.1,5,村本 大成,村本 大成.1,6,宮脇 遼太,宮脇 遼太.1
2.0,3.0,8.9,1.0,3.0,9.1,1.0,2.0,67.2,1.0,2.0,90.3,1.0,2.0,245.1,1.0,2.0,450.5
2.0,4.0,10.4,1.0,4.0,9.0,1.0,4.0,98.2,1.0,3.0,205.9,1.0,3.0,449.2,1.0,3.0,902.3
2.0,5.0,36.3,1.0,5.0,35.2,1.0,5.0,175.6,1.0,5.0,246.8,1.0,4.0,527.3,1.0,4.0,818.2
2.0,6.0,29.2,1.0,6.0,24.7,1.0,6.0,189.0,1.0,6.0,213.0,1.0,6.0,476.3,1.0,5.0,1131.0
3.0,2.0,20.3,3.0,1.0,22.3,2.0,1.0,62.9,2.0,1.0,82.0,2.0,1.0,260.2,2.0,1.0,409.6
3.0,4.0,38.9,3.0,4.0,23.4,2.0,4.0,65.5,2.0,3.0,116.4,2.0,3.0,353.0,2.0,3.0,438.3
3.0,5.0,82.7,3.0,5.0,69.3,2.0,5.0,148.7,2.0,5.0,191.7,2.0,4.0,408.6,2.0,4.0,477.7
3.0,6.0,83.6,3.0,6.0,49.9,2.0,6.0,119.0,2.0,6.0,151.0,2.0,6.0,369.5,2.0,5.0,712.3
4.0,2.0,26.8,4.0,1.0,22.4,4.0,1.0,151.6,3.0,1.0,315.9,3.0,1.0,796.1,3.0,1.0,1364.0
4.0,3.0,55.3,4.0,3.0,32.1,4.0,2.0,109.8,3.0,2.0,203.4,3.0,2.0,547.7,3.0,2.0,766.1
4.0,5.0,126.4,4.0,5.0,68.9,4.0,5.0,327.4,3.0,5.0,555.2,3.0,4.0,1108.0,3.0,4.0,1584.0
4.0,6.0,114.5,4.0,6.0,44.0,4.0,6.0,270.4,3.0,6.0,443.1,3.0,6.0,1027.0,3.0,5.0,1592.0
5.0,2.0,126.1,5.0,1.0,122.9,5.0,1.0,372.5,5.0,1.0,349.6,4.0,1.0,762.5,4.0,1.0,909.9
5.0,3.0,213.5,5.0,3.0,168.3,5.0,2.0,318.7,5.0,2.0,288.7,4.0,2.0,554.3,4.0,2.0,630.7
5.0,4.0,295.3,5.0,4.0,170.7,5.0,4.0,585.3,5.0,3.0,610.6,4.0,3.0,1079.0,4.0,3.0,1283.0
5.0,6.0,279.0,5.0,6.0,181.3,5.0,6.0,557.1,5.0,6.0,416.4,4.0,6.0,812.1,4.0,5.0,1370.0
6.0,2.0,139.5,6.0,1.0,95.1,6.0,1.0,423.5,6.0,1.0,397.6,6.0,1.0,660.2,5.0,1.0,1172.0
6.0,3.0,266.9,6.0,3.0,129.5,6.0,2.0,299.9,6.0,2.0,284.2,6.0,2.0,470.1,5.0,2.0,904.8
6.0,4.0,265.8,6.0,4.0,123.7,6.0,4.0,453.6,6.0,3.0,568.8,6.0,3.0,866.2,5.0,3.0,1624.0
6.0,5.0,360.1,6.0,5.0,213.8,6.0,5.0,610.6,6.0,5.0,546.8,6.0,4.0,804.0,5.0,4.0,1394.0
