1,青木　幸太郎,青木　幸太郎.1,2,嘉手苅　徹哉,嘉手苅　徹哉.1,3,篠崎 元志,篠崎 元志.1,4,小川　日紀太,小川　日紀太.1,5,志道 吉和,志道 吉和.1,6,小林 文彦,小林 文彦.1
2.0,3.0,57.2,1.0,3.0,305.6,1.0,2.0,46.1,1.0,2.0,371.9,1.0,2.0,1715.0,1.0,2.0,659.6
2.0,4.0,136.5,1.0,4.0,569.4,1.0,4.0,10.6,1.0,3.0,98.2,1.0,3.0,457.0,1.0,3.0,119.2
2.0,5.0,293.5,1.0,5.0,1041.0,1.0,5.0,23.3,1.0,5.0,234.2,1.0,4.0,971.9,1.0,4.0,291.5
2.0,6.0,164.2,1.0,6.0,671.8,1.0,6.0,8.0,1.0,6.0,120.5,1.0,6.0,708.8,1.0,5.0,512.1
3.0,2.0,18.4,3.0,1.0,394.3,2.0,1.0,184.3,2.0,1.0,704.2,2.0,1.0,2683.0,2.0,1.0,1253.0
3.0,4.0,6.2,3.0,4.0,841.0,2.0,4.0,278.5,2.0,3.0,828.3,2.0,3.0,2242.0,2.0,3.0,1107.0
3.0,5.0,16.1,3.0,5.0,1271.0,2.0,5.0,475.3,2.0,5.0,1388.0,2.0,4.0,2603.0,2.0,4.0,1221.0
3.0,6.0,5.1,3.0,6.0,767.3,2.0,6.0,223.2,2.0,6.0,664.6,2.0,6.0,2915.0,2.0,5.0,2123.0
4.0,2.0,118.7,4.0,1.0,1000.0,4.0,1.0,28.4,3.0,1.0,111.3,3.0,1.0,500.9,3.0,1.0,123.3
4.0,3.0,25.7,4.0,3.0,1141.0,4.0,2.0,173.0,3.0,2.0,503.8,3.0,2.0,1792.0,3.0,2.0,644.1
4.0,5.0,112.6,4.0,5.0,1935.0,4.0,5.0,81.0,3.0,5.0,277.1,3.0,4.0,881.7,3.0,4.0,235.6
4.0,6.0,45.6,4.0,6.0,1290.0,4.0,6.0,32.1,3.0,6.0,118.2,3.0,6.0,637.5,3.0,5.0,448.5
5.0,2.0,401.9,5.0,1.0,2338.0,5.0,1.0,95.5,5.0,1.0,297.1,4.0,1.0,899.9,4.0,1.0,417.3
5.0,3.0,89.3,5.0,3.0,1735.0,5.0,2.0,428.7,5.0,2.0,819.0,4.0,2.0,1988.0,4.0,2.0,954.9
5.0,4.0,241.7,5.0,4.0,2587.0,5.0,4.0,155.3,5.0,3.0,318.7,4.0,3.0,841.0,4.0,3.0,363.5
5.0,6.0,188.5,5.0,6.0,2587.0,5.0,6.0,96.4,5.0,6.0,224.9,4.0,6.0,669.7,4.0,5.0,651.8
6.0,2.0,181.2,6.0,1.0,1354.0,6.0,1.0,24.3,6.0,1.0,161.9,6.0,1.0,1021.0,5.0,1.0,920.7
6.0,3.0,27.3,6.0,3.0,1420.0,6.0,2.0,157.7,6.0,2.0,494.1,6.0,2.0,2499.0,5.0,2.0,1918.0
6.0,4.0,66.0,6.0,4.0,1397.0,6.0,4.0,42.4,6.0,3.0,158.1,6.0,3.0,805.4,5.0,3.0,755.3
6.0,5.0,146.5,6.0,5.0,2877.0,6.0,5.0,81.0,6.0,5.0,249.2,6.0,4.0,833.0,5.0,4.0,790.8
