1,永田 義紘,永田 義紘.1,2,田中 駿兵,田中 駿兵.1,3,水原 慎,水原 慎.1,4,峰重 力也,峰重 力也.1,5,伊藤 誠二,伊藤 誠二.1,6,山口 隆史,山口 隆史.1
2.0,3.0,25.9,1.0,3.0,107.8,1.0,2.0,168.5,1.0,2.0,93.3,1.0,2.0,141.3,1.0,2.0,515.3
2.0,4.0,34.9,1.0,4.0,151.5,1.0,4.0,132.9,1.0,3.0,85.8,1.0,3.0,96.9,1.0,3.0,462.4
2.0,5.0,34.7,1.0,5.0,125.3,1.0,5.0,95.3,1.0,5.0,30.4,1.0,4.0,40.4,1.0,4.0,350.2
2.0,6.0,39.4,1.0,6.0,151.5,1.0,6.0,121.5,1.0,6.0,60.9,1.0,6.0,59.5,1.0,5.0,251.8
3.0,2.0,30.9,3.0,1.0,302.5,2.0,1.0,313.0,2.0,1.0,140.0,2.0,1.0,329.4,2.0,1.0,848.8
3.0,4.0,21.2,3.0,4.0,557.1,2.0,4.0,522.8,2.0,3.0,236.9,2.0,3.0,550.7,2.0,3.0,1759.0
3.0,5.0,17.0,3.0,5.0,499.3,2.0,5.0,477.8,2.0,5.0,112.9,2.0,4.0,280.7,2.0,4.0,1387.0
3.0,6.0,24.8,3.0,6.0,552.8,2.0,6.0,624.6,2.0,6.0,191.8,2.0,6.0,376.7,2.0,5.0,1002.0
4.0,2.0,31.4,4.0,1.0,265.2,4.0,1.0,220.9,3.0,1.0,208.2,3.0,1.0,204.6,3.0,1.0,710.8
4.0,3.0,22.6,4.0,3.0,557.1,4.0,2.0,532.4,3.0,2.0,288.5,3.0,2.0,624.6,3.0,2.0,1738.0
4.0,5.0,11.5,4.0,5.0,298.1,4.0,5.0,203.8,3.0,5.0,195.7,3.0,4.0,305.7,3.0,4.0,1136.0
4.0,6.0,25.9,4.0,6.0,473.1,4.0,6.0,358.9,3.0,6.0,217.3,3.0,6.0,292.1,3.0,5.0,1009.0
5.0,2.0,37.4,5.0,1.0,242.1,5.0,1.0,182.6,5.0,1.0,24.8,4.0,1.0,39.8,4.0,1.0,417.0
5.0,3.0,25.6,5.0,3.0,508.0,5.0,2.0,479.3,5.0,2.0,67.6,4.0,2.0,104.1,4.0,2.0,1154.0
5.0,4.0,14.9,5.0,4.0,341.9,5.0,4.0,238.1,5.0,3.0,88.0,4.0,3.0,150.4,4.0,3.0,1053.0
5.0,6.0,24.8,5.0,6.0,434.6,5.0,6.0,306.3,5.0,6.0,27.6,4.0,6.0,42.4,4.0,5.0,277.4
6.0,2.0,99.5,6.0,1.0,548.6,6.0,1.0,453.7,6.0,1.0,97.3,6.0,1.0,97.6,5.0,1.0,278.0
6.0,3.0,70.4,6.0,3.0,838.9,6.0,2.0,896.2,6.0,2.0,257.2,6.0,2.0,350.2,5.0,2.0,864.0
6.0,4.0,67.3,6.0,4.0,890.7,6.0,4.0,755.4,6.0,3.0,240.8,6.0,3.0,282.3,5.0,3.0,806.1
6.0,5.0,59.8,6.0,5.0,784.2,6.0,5.0,577.1,6.0,5.0,73.6,6.0,4.0,98.2,5.0,4.0,270.2
