1,岡 祐臣,岡 祐臣.1,2,西野 翔太,西野 翔太.1,3,渋谷 明憲,渋谷 明憲.1,4,向井田　直弥,向井田　直弥.1,5,増田 進,増田 進.1,6,中北 将史,中北 将史.1
2.0,3.0,4.2,1.0,3.0,18.5,1.0,2.0,59.0,1.0,2.0,55.7,1.0,2.0,606.2,1.0,2.0,385.1
2.0,4.0,7.4,1.0,4.0,22.9,1.0,4.0,93.6,1.0,3.0,88.1,1.0,3.0,938.8,1.0,3.0,640.7
2.0,5.0,34.1,1.0,5.0,83.3,1.0,5.0,213.4,1.0,5.0,152.4,1.0,4.0,883.6,1.0,4.0,596.4
2.0,6.0,23.6,1.0,6.0,55.5,1.0,6.0,204.0,1.0,6.0,103.7,1.0,6.0,1084.0,1.0,5.0,1718.0
3.0,2.0,7.1,3.0,1.0,59.0,2.0,1.0,96.6,2.0,1.0,87.5,2.0,1.0,883.6,2.0,1.0,515.3
3.0,4.0,12.3,3.0,4.0,105.3,2.0,4.0,161.1,2.0,3.0,151.3,2.0,3.0,1826.0,2.0,3.0,1108.0
3.0,5.0,41.6,3.0,5.0,275.5,2.0,5.0,435.6,2.0,5.0,246.7,2.0,4.0,1388.0,2.0,4.0,638.7
3.0,6.0,34.7,3.0,6.0,230.9,2.0,6.0,336.0,2.0,6.0,153.2,2.0,6.0,2027.0,2.0,5.0,2017.0
4.0,2.0,16.7,4.0,1.0,74.9,4.0,1.0,212.7,3.0,1.0,196.8,3.0,1.0,1370.0,3.0,1.0,994.0
4.0,3.0,23.0,4.0,3.0,133.2,4.0,2.0,244.7,3.0,2.0,230.8,3.0,2.0,2240.0,3.0,2.0,1491.0
4.0,5.0,80.3,4.0,5.0,321.3,4.0,5.0,604.4,3.0,5.0,613.5,3.0,4.0,3049.0,3.0,4.0,1536.0
4.0,6.0,52.7,4.0,6.0,159.3,4.0,6.0,509.5,3.0,6.0,396.0,3.0,6.0,3496.0,3.0,5.0,3004.0
5.0,2.0,135.9,5.0,1.0,383.3,5.0,1.0,778.4,5.0,1.0,242.8,4.0,1.0,1081.0,4.0,1.0,756.6
5.0,3.0,169.4,5.0,3.0,646.8,5.0,2.0,1111.0,5.0,2.0,282.8,4.0,2.0,1374.0,4.0,2.0,653.1
5.0,4.0,191.1,5.0,4.0,721.6,5.0,4.0,1374.0,5.0,3.0,512.1,4.0,3.0,2876.0,4.0,3.0,1615.0
5.0,6.0,255.7,5.0,6.0,925.9,5.0,6.0,1675.0,5.0,6.0,334.9,4.0,6.0,1474.0,4.0,5.0,1940.0
6.0,2.0,103.7,6.0,1.0,265.7,6.0,1.0,729.4,6.0,1.0,200.6,6.0,1.0,2358.0,5.0,1.0,2703.0
6.0,3.0,143.4,6.0,3.0,619.2,6.0,2.0,1072.0,6.0,2.0,210.8,6.0,2.0,2668.0,5.0,2.0,3408.0
6.0,4.0,147.9,6.0,4.0,356.7,6.0,4.0,1158.0,6.0,3.0,472.1,6.0,3.0,3720.0,5.0,3.0,3270.0
6.0,5.0,376.9,6.0,5.0,1026.0,6.0,5.0,1771.0,6.0,5.0,494.0,6.0,4.0,2007.0,5.0,4.0,2385.0
