1,三好 勇人,三好 勇人.1,2,和合 俊介,和合 俊介.1,3,石丸 海渡,石丸 海渡.1,4,中田 元泰,中田 元泰.1,5,西尾 亮輔,西尾 亮輔.1,6,古澤 信二,古澤 信二.1
2.0,3.0,25.3,1.0,3.0,144.0,1.0,2.0,41.8,1.0,2.0,70.4,1.0,2.0,1103.0,1.0,2.0,3009.0
2.0,4.0,26.7,1.0,4.0,123.6,1.0,4.0,8.2,1.0,3.0,21.7,1.0,3.0,524.3,1.0,3.0,2344.0
2.0,5.0,121.3,1.0,5.0,479.9,1.0,5.0,35.2,1.0,5.0,71.6,1.0,4.0,506.8,1.0,4.0,2048.0
2.0,6.0,217.4,1.0,6.0,660.7,1.0,6.0,100.6,1.0,6.0,153.8,1.0,6.0,1504.0,1.0,5.0,3694.0
3.0,2.0,14.2,3.0,1.0,229.7,2.0,1.0,137.7,2.0,1.0,176.1,2.0,1.0,2278.0,2.0,1.0,4514.0
3.0,4.0,4.8,3.0,4.0,224.5,2.0,4.0,100.0,2.0,3.0,164.4,2.0,3.0,2462.0,2.0,3.0,5187.0
3.0,5.0,21.3,3.0,5.0,778.9,2.0,5.0,337.2,2.0,5.0,432.2,2.0,4.0,1889.0,2.0,4.0,3638.0
3.0,6.0,78.8,3.0,6.0,1055.0,2.0,6.0,512.1,2.0,6.0,566.9,2.0,6.0,3086.0,2.0,5.0,5669.0
4.0,2.0,19.0,4.0,1.0,219.2,4.0,1.0,13.0,3.0,1.0,24.3,3.0,1.0,877.0,3.0,1.0,2902.0
4.0,3.0,7.4,4.0,3.0,262.4,4.0,2.0,43.8,3.0,2.0,76.1,3.0,2.0,1861.0,3.0,2.0,5187.0
4.0,5.0,32.6,4.0,5.0,679.1,4.0,5.0,32.7,3.0,5.0,57.1,3.0,4.0,593.2,3.0,4.0,1283.0
4.0,6.0,79.7,4.0,6.0,920.0,4.0,6.0,77.1,3.0,6.0,124.6,3.0,6.0,1729.0,3.0,5.0,3869.0
5.0,2.0,232.6,5.0,1.0,1098.0,5.0,1.0,172.5,5.0,1.0,169.5,4.0,1.0,628.3,4.0,1.0,2278.0
5.0,3.0,112.8,5.0,3.0,1543.0,5.0,2.0,440.0,5.0,2.0,394.5,4.0,2.0,1212.0,4.0,2.0,2513.0
5.0,4.0,100.4,5.0,4.0,1385.0,5.0,4.0,122.5,5.0,3.0,150.2,4.0,3.0,565.6,4.0,3.0,1459.0
5.0,6.0,461.7,5.0,6.0,2278.0,5.0,6.0,469.7,5.0,6.0,347.3,4.0,6.0,1118.0,4.0,5.0,1950.0
6.0,2.0,646.7,6.0,1.0,1362.0,6.0,1.0,636.5,6.0,1.0,429.2,6.0,1.0,2367.0,5.0,1.0,3869.0
6.0,3.0,478.9,6.0,3.0,2390.0,6.0,2.0,1083.0,6.0,2.0,794.1,6.0,2.0,3339.0,5.0,2.0,4600.0
6.0,4.0,414.6,6.0,4.0,1919.0,6.0,4.0,407.0,6.0,3.0,416.7,6.0,3.0,2367.0,5.0,3.0,3809.0
6.0,5.0,809.9,6.0,5.0,3125.0,6.0,5.0,783.9,6.0,5.0,614.1,6.0,4.0,1693.0,5.0,4.0,2438.0
