1,後藤 隼之,後藤 隼之.1,2,山崎 鉄平,山崎 鉄平.1,3,西川 真人,西川 真人.1,4,新井 英孝,新井 英孝.1,5,小玉 啓太,小玉 啓太.1,6,梶原 正,梶原 正.1
2.0,3.0,12.3,1.0,3.0,28.4,1.0,2.0,71.0,1.0,2.0,25.9,1.0,2.0,215.1,1.0,2.0,294.6
2.0,4.0,10.5,1.0,4.0,21.8,1.0,4.0,62.7,1.0,3.0,37.3,1.0,3.0,294.6,1.0,3.0,680.0
2.0,5.0,50.2,1.0,5.0,95.5,1.0,5.0,178.9,1.0,5.0,54.5,1.0,4.0,193.8,1.0,4.0,294.6
2.0,6.0,30.0,1.0,6.0,55.7,1.0,6.0,134.7,1.0,6.0,33.0,1.0,6.0,220.4,1.0,5.0,930.6
3.0,2.0,17.2,3.0,1.0,84.6,2.0,1.0,125.2,2.0,1.0,51.5,2.0,1.0,301.7,2.0,1.0,368.3
3.0,4.0,17.6,3.0,4.0,125.5,2.0,4.0,128.8,2.0,3.0,100.2,2.0,3.0,875.3,2.0,3.0,1091.0
3.0,5.0,64.7,3.0,5.0,387.7,2.0,5.0,322.6,2.0,5.0,96.3,2.0,4.0,477.8,2.0,4.0,439.8
3.0,6.0,46.5,3.0,6.0,215.1,2.0,6.0,270.3,2.0,6.0,61.3,2.0,6.0,696.1,2.0,5.0,1473.0
4.0,2.0,12.3,4.0,1.0,46.9,4.0,1.0,103.2,3.0,1.0,103.4,3.0,1.0,613.9,3.0,1.0,1119.0
4.0,3.0,19.5,4.0,3.0,106.6,4.0,2.0,151.9,3.0,2.0,146.8,3.0,2.0,950.6,3.0,2.0,1319.0
4.0,5.0,50.0,4.0,5.0,193.0,4.0,5.0,257.7,3.0,5.0,244.8,3.0,4.0,834.0,3.0,4.0,920.9
4.0,6.0,31.3,4.0,6.0,111.7,4.0,6.0,164.6,3.0,6.0,136.4,3.0,6.0,866.7,3.0,5.0,1637.0
5.0,2.0,114.8,5.0,1.0,288.9,5.0,1.0,377.8,5.0,1.0,57.7,4.0,1.0,190.5,4.0,1.0,319.1
5.0,3.0,117.5,5.0,3.0,517.0,5.0,2.0,446.5,5.0,2.0,85.0,4.0,2.0,284.2,4.0,2.0,371.4
5.0,4.0,109.1,5.0,4.0,322.6,5.0,4.0,376.2,5.0,3.0,164.9,4.0,3.0,477.8,4.0,3.0,742.9
5.0,6.0,128.4,5.0,6.0,627.0,5.0,6.0,609.7,5.0,6.0,55.7,4.0,6.0,221.5,4.0,5.0,511.0
6.0,2.0,89.1,6.0,1.0,208.5,6.0,1.0,310.2,6.0,1.0,63.8,6.0,1.0,493.8,5.0,1.0,1052.0
6.0,3.0,138.5,6.0,3.0,374.6,6.0,2.0,429.1,6.0,2.0,77.5,6.0,2.0,696.1,5.0,2.0,1473.0
6.0,4.0,90.9,6.0,4.0,245.5,6.0,4.0,303.8,6.0,3.0,138.1,6.0,3.0,811.0,5.0,3.0,1425.0
6.0,5.0,168.0,6.0,5.0,742.9,6.0,5.0,597.3,6.0,5.0,89.3,6.0,4.0,384.3,5.0,4.0,589.3
