1,林 祐介,林 祐介.1,2,澤崎 雄哉,澤崎 雄哉.1,3,谷川 将太,谷川 将太.1,4,上田 健太,上田 健太.1,5,倉尾 大介,倉尾 大介.1,6,小宮 涼雅,小宮 涼雅.1
2.0,3.0,21.6,1.0,3.0,90.8,1.0,2.0,93.3,1.0,2.0,28.3,1.0,2.0,242.3,1.0,2.0,1313.0
2.0,4.0,13.8,1.0,4.0,58.0,1.0,4.0,35.2,1.0,3.0,24.0,1.0,3.0,272.9,1.0,3.0,1484.0
2.0,5.0,38.1,1.0,5.0,133.0,1.0,5.0,58.7,1.0,5.0,21.7,1.0,4.0,154.1,1.0,4.0,1022.0
2.0,6.0,122.9,1.0,6.0,296.0,1.0,6.0,156.6,1.0,6.0,60.2,1.0,6.0,369.1,1.0,5.0,1917.0
3.0,2.0,19.9,3.0,1.0,254.6,2.0,1.0,241.2,2.0,1.0,64.3,2.0,1.0,476.2,2.0,1.0,1629.0
3.0,4.0,9.3,3.0,4.0,225.2,2.0,4.0,205.3,2.0,3.0,95.3,2.0,3.0,863.2,2.0,3.0,2124.0
3.0,5.0,28.1,3.0,5.0,437.7,2.0,5.0,371.6,2.0,5.0,70.4,2.0,4.0,415.1,2.0,4.0,1820.0
3.0,6.0,78.6,3.0,6.0,576.2,2.0,6.0,648.7,2.0,6.0,151.5,2.0,6.0,849.7,2.0,5.0,2742.0
4.0,2.0,12.9,4.0,1.0,106.7,4.0,1.0,49.4,3.0,1.0,55.1,3.0,1.0,428.2,3.0,1.0,2305.0
4.0,3.0,11.2,4.0,3.0,158.2,4.0,2.0,110.7,3.0,2.0,92.5,3.0,2.0,681.4,3.0,2.0,2083.0
4.0,5.0,17.4,4.0,5.0,192.9,4.0,5.0,63.5,3.0,5.0,58.8,3.0,4.0,317.7,3.0,4.0,1297.0
4.0,6.0,61.3,4.0,6.0,327.8,4.0,6.0,128.5,3.0,6.0,106.2,3.0,6.0,729.5,3.0,5.0,2490.0
5.0,2.0,60.1,5.0,1.0,371.0,5.0,1.0,162.1,5.0,1.0,31.6,4.0,1.0,145.5,4.0,1.0,1072.0
5.0,3.0,68.7,5.0,3.0,571.7,5.0,2.0,287.0,5.0,2.0,42.9,4.0,2.0,191.5,4.0,2.0,1435.0
5.0,4.0,44.1,5.0,4.0,405.0,5.0,4.0,134.6,5.0,3.0,51.4,4.0,3.0,223.8,4.0,3.0,1425.0
5.0,6.0,195.7,5.0,6.0,768.3,5.0,6.0,314.0,5.0,6.0,51.2,4.0,6.0,234.5,4.0,5.0,1354.0
6.0,2.0,402.7,6.0,1.0,1504.0,6.0,1.0,891.7,6.0,1.0,179.0,6.0,1.0,708.1,5.0,1.0,1884.0
6.0,3.0,386.9,6.0,3.0,1679.0,6.0,2.0,1111.0,6.0,2.0,241.2,6.0,2.0,989.4,5.0,2.0,2355.0
6.0,4.0,285.8,6.0,4.0,1238.0,6.0,4.0,579.3,6.0,3.0,294.8,6.0,3.0,1164.0,5.0,3.0,2549.0
6.0,5.0,455.2,6.0,5.0,1407.0,6.0,5.0,1003.0,6.0,5.0,151.7,6.0,4.0,644.8,5.0,4.0,1525.0
