1,大森 翼,大森 翼.1,2,仲本 舜,仲本 舜.1,3,眞崎 武蔵,眞崎 武蔵.1,4,大澤 風葵,大澤 風葵.1,5,高橋 竜矢,高橋 竜矢.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,110.3,1.0,3.0,183.3,1.0,2.0,403.7,1.0,2.0,40.6,1.0,2.0,104.6,1.0,2.0,1589.0
2.0,4.0,45.7,1.0,4.0,65.8,1.0,4.0,287.1,1.0,3.0,98.1,1.0,3.0,265.5,1.0,3.0,1791.0
2.0,5.0,59.7,1.0,5.0,84.2,1.0,5.0,355.4,1.0,5.0,23.3,1.0,4.0,72.4,1.0,4.0,1169.0
2.0,6.0,220.4,1.0,6.0,297.3,1.0,6.0,928.7,1.0,6.0,61.2,1.0,6.0,193.0,1.0,5.0,1484.0
3.0,2.0,175.3,3.0,1.0,348.8,2.0,1.0,461.5,2.0,1.0,45.5,2.0,1.0,110.6,2.0,1.0,1805.0
3.0,4.0,121.3,3.0,4.0,203.3,2.0,4.0,293.8,2.0,3.0,101.7,2.0,3.0,252.4,2.0,3.0,2070.0
3.0,5.0,148.7,3.0,5.0,257.6,2.0,5.0,401.5,2.0,5.0,18.6,2.0,4.0,49.3,2.0,4.0,675.7
3.0,6.0,332.3,3.0,6.0,543.8,2.0,6.0,803.1,2.0,6.0,55.8,2.0,6.0,133.9,2.0,5.0,1074.0
4.0,2.0,34.5,4.0,1.0,61.9,4.0,1.0,362.8,3.0,1.0,187.1,3.0,1.0,418.7,3.0,1.0,2089.0
4.0,3.0,91.1,4.0,3.0,122.7,4.0,2.0,280.3,3.0,2.0,137.4,3.0,2.0,385.8,3.0,2.0,1763.0
4.0,5.0,27.2,4.0,5.0,25.6,4.0,5.0,138.4,3.0,5.0,56.7,3.0,4.0,228.2,3.0,4.0,1040.0
4.0,6.0,104.8,4.0,6.0,93.9,4.0,6.0,384.4,3.0,6.0,152.7,3.0,6.0,489.5,3.0,5.0,1763.0
5.0,2.0,66.7,5.0,1.0,96.0,5.0,1.0,479.1,5.0,1.0,11.9,4.0,1.0,33.8,4.0,1.0,989.8
5.0,3.0,147.0,5.0,3.0,194.2,5.0,2.0,429.8,5.0,2.0,8.9,4.0,2.0,22.7,4.0,2.0,581.6
5.0,4.0,50.3,5.0,4.0,37.1,5.0,4.0,189.9,5.0,3.0,31.2,4.0,3.0,73.6,4.0,3.0,1030.0
5.0,6.0,164.7,5.0,6.0,136.7,5.0,6.0,643.0,5.0,6.0,8.7,4.0,6.0,26.3,4.0,5.0,239.3
6.0,2.0,560.0,6.0,1.0,811.8,6.0,1.0,1419.0,6.0,1.0,110.9,6.0,1.0,303.3,5.0,1.0,1246.0
6.0,3.0,598.6,6.0,3.0,820.7,6.0,2.0,1437.0,6.0,2.0,82.0,6.0,2.0,245.3,5.0,2.0,928.7
6.0,4.0,387.1,6.0,4.0,307.9,6.0,4.0,752.3,6.0,3.0,160.6,6.0,3.0,411.1,5.0,3.0,1600.0
6.0,5.0,477.1,6.0,5.0,365.7,6.0,5.0,1021.0,6.0,5.0,33.7,6.0,4.0,111.0,5.0,4.0,254.7
