1,竹下 大樹,竹下 大樹.1,2,富田 恕生,富田 恕生.1,3,岡村 慶太,岡村 慶太.1,4,小川 晃司,小川 晃司.1,5,宮地 秀祈,宮地 秀祈.1,6,山田 丈,山田 丈.1
2.0,3.0,12.2,1.0,3.0,88.0,1.0,2.0,24.3,1.0,2.0,596.0,1.0,2.0,1098.0,1.0,2.0,187.7
2.0,4.0,43.9,1.0,4.0,242.4,1.0,4.0,19.3,1.0,3.0,293.3,1.0,3.0,441.4,1.0,3.0,80.4
2.0,5.0,104.3,1.0,5.0,423.0,1.0,5.0,40.5,1.0,5.0,934.5,1.0,4.0,1077.0,1.0,4.0,163.8
2.0,6.0,34.6,1.0,6.0,158.0,1.0,6.0,10.4,1.0,6.0,417.9,1.0,6.0,698.3,1.0,5.0,466.1
3.0,2.0,7.2,3.0,1.0,123.0,2.0,1.0,68.5,2.0,1.0,797.0,2.0,1.0,1706.0,2.0,1.0,392.6
3.0,4.0,10.5,3.0,4.0,295.3,2.0,4.0,141.3,2.0,3.0,908.7,2.0,3.0,1853.0,2.0,3.0,410.2
3.0,5.0,26.0,3.0,5.0,613.8,2.0,5.0,308.5,2.0,5.0,1782.0,2.0,4.0,2089.0,2.0,4.0,612.4
3.0,6.0,6.0,3.0,6.0,222.4,2.0,6.0,98.8,2.0,6.0,917.6,2.0,6.0,2170.0,2.0,5.0,1585.0
4.0,2.0,99.5,4.0,1.0,610.4,4.0,1.0,67.3,3.0,1.0,291.5,3.0,1.0,420.4,3.0,1.0,90.1
4.0,3.0,44.1,4.0,3.0,700.0,4.0,2.0,183.2,3.0,2.0,695.6,3.0,2.0,1197.0,3.0,2.0,244.7
4.0,5.0,233.5,4.0,5.0,1426.0,4.0,5.0,200.9,3.0,5.0,849.2,3.0,4.0,851.8,3.0,4.0,148.3
4.0,6.0,78.9,4.0,6.0,757.0,4.0,6.0,65.3,3.0,6.0,312.0,3.0,6.0,510.0,3.0,5.0,418.8
5.0,2.0,218.1,5.0,1.0,1192.0,5.0,1.0,117.8,5.0,1.0,1711.0,4.0,1.0,1701.0,4.0,1.0,265.4
5.0,3.0,105.5,5.0,3.0,1309.0,5.0,2.0,268.7,5.0,2.0,2089.0,4.0,2.0,2066.0,4.0,2.0,477.6
5.0,4.0,244.3,5.0,4.0,1665.0,5.0,4.0,182.6,5.0,3.0,1319.0,4.0,3.0,1419.0,4.0,3.0,228.4
5.0,6.0,184.5,5.0,6.0,1835.0,5.0,6.0,114.8,5.0,6.0,1091.0,4.0,6.0,1107.0,4.0,5.0,662.6
6.0,2.0,44.1,6.0,1.0,349.5,6.0,1.0,30.0,6.0,1.0,480.5,6.0,1.0,854.4,5.0,1.0,958.6
6.0,3.0,19.0,6.0,3.0,370.2,6.0,2.0,79.7,6.0,2.0,880.0,6.0,2.0,1598.0,5.0,2.0,1743.0
6.0,4.0,46.5,6.0,4.0,545.4,6.0,4.0,42.5,6.0,3.0,382.9,6.0,3.0,684.5,5.0,3.0,762.2
6.0,5.0,144.8,6.0,5.0,1401.0,6.0,5.0,96.8,6.0,5.0,835.2,6.0,4.0,847.9,5.0,4.0,922.2
