1,重冨 勇哉,重冨 勇哉.1,2,山口 晃朋,山口 晃朋.1,3,藤原 孝斗,藤原 孝斗.1,4,品川　二千翔,品川　二千翔.1,5,富永　夏哉人,富永　夏哉人.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,15.5,1.0,3.0,26.7,1.0,2.0,59.4,1.0,2.0,102.7,1.0,2.0,198.8,1.0,2.0,384.4
2.0,4.0,21.4,1.0,4.0,34.9,1.0,4.0,47.2,1.0,3.0,102.1,1.0,3.0,181.4,1.0,3.0,355.2
2.0,5.0,35.9,1.0,5.0,45.7,1.0,5.0,63.3,1.0,5.0,132.0,1.0,4.0,296.2,1.0,4.0,316.2
2.0,6.0,33.7,1.0,6.0,56.9,1.0,6.0,82.5,1.0,6.0,86.0,1.0,6.0,244.9,1.0,5.0,499.7
3.0,2.0,14.8,3.0,1.0,54.8,2.0,1.0,83.5,2.0,1.0,141.4,2.0,1.0,287.7,2.0,1.0,499.7
3.0,4.0,13.9,3.0,4.0,56.3,2.0,4.0,71.6,2.0,3.0,149.7,2.0,3.0,217.9,2.0,3.0,576.6
3.0,5.0,24.7,3.0,5.0,64.4,2.0,5.0,81.3,2.0,5.0,178.4,2.0,4.0,324.4,2.0,4.0,442.2
3.0,6.0,29.3,3.0,6.0,88.1,2.0,6.0,109.9,2.0,6.0,135.5,2.0,6.0,289.4,2.0,5.0,547.1
4.0,2.0,28.9,4.0,1.0,81.6,4.0,1.0,72.3,3.0,1.0,132.6,3.0,1.0,312.3,3.0,1.0,440.9
4.0,3.0,25.8,4.0,3.0,88.2,4.0,2.0,81.7,3.0,2.0,152.6,3.0,2.0,233.8,3.0,2.0,559.3
4.0,5.0,57.7,4.0,5.0,111.6,4.0,5.0,90.6,3.0,5.0,176.9,3.0,4.0,403.0,3.0,4.0,362.9
4.0,6.0,34.2,4.0,6.0,94.2,4.0,6.0,84.9,3.0,6.0,109.3,3.0,6.0,351.9,3.0,5.0,574.3
5.0,2.0,66.0,5.0,1.0,125.0,5.0,1.0,116.9,5.0,1.0,172.7,4.0,1.0,328.0,4.0,1.0,378.5
5.0,3.0,67.4,5.0,3.0,120.4,5.0,2.0,120.3,5.0,2.0,174.1,4.0,2.0,302.8,4.0,2.0,429.5
5.0,4.0,103.1,5.0,4.0,170.7,5.0,4.0,133.6,5.0,3.0,228.8,4.0,3.0,410.7,4.0,3.0,376.6
5.0,6.0,106.3,5.0,6.0,146.4,5.0,6.0,137.7,5.0,6.0,128.0,4.0,6.0,260.2,4.0,5.0,482.0
6.0,2.0,76.8,6.0,1.0,200.1,6.0,1.0,207.0,6.0,1.0,135.1,6.0,1.0,344.6,5.0,1.0,599.6
6.0,3.0,59.7,6.0,3.0,187.6,6.0,2.0,230.9,6.0,2.0,170.5,6.0,2.0,356.9,5.0,2.0,581.0
6.0,4.0,65.1,6.0,4.0,179.3,6.0,4.0,168.8,6.0,3.0,144.2,6.0,3.0,472.9,5.0,3.0,654.6
6.0,5.0,133.8,6.0,5.0,244.1,6.0,5.0,259.8,6.0,5.0,143.0,6.0,4.0,372.9,5.0,4.0,592.5
