1,大町 利克,大町 利克.1,2,黒田 剛,黒田 剛.1,3,照屋 厚仁,照屋 厚仁.1,4,廣中 良一,廣中 良一.1,5,平石 和男,平石 和男.1,6,重成 一人,重成 一人.1
2.0,3.0,85.5,1.0,3.0,190.2,1.0,2.0,89.0,1.0,2.0,314.1,1.0,2.0,482.5,1.0,2.0,276.7
2.0,4.0,125.8,1.0,4.0,263.1,1.0,4.0,42.0,1.0,3.0,188.8,1.0,3.0,116.4,1.0,3.0,61.9
2.0,5.0,143.1,1.0,5.0,247.3,1.0,5.0,22.2,1.0,5.0,177.1,1.0,4.0,354.2,1.0,4.0,234.6
2.0,6.0,129.4,1.0,6.0,205.5,1.0,6.0,17.1,1.0,6.0,142.2,1.0,6.0,105.5,1.0,5.0,94.1
3.0,2.0,68.6,3.0,1.0,211.7,2.0,1.0,194.3,2.0,1.0,537.2,2.0,1.0,779.7,2.0,1.0,497.5
3.0,4.0,40.6,3.0,4.0,241.7,2.0,4.0,180.1,2.0,3.0,568.3,2.0,3.0,636.1,2.0,3.0,318.0
3.0,5.0,22.0,3.0,5.0,198.8,2.0,5.0,141.1,2.0,5.0,493.7,2.0,4.0,999.0,2.0,4.0,515.6
3.0,6.0,16.6,3.0,6.0,141.4,2.0,6.0,97.3,2.0,6.0,365.3,2.0,6.0,450.2,2.0,5.0,459.9
4.0,2.0,153.1,4.0,1.0,387.5,4.0,1.0,70.1,3.0,1.0,210.6,3.0,1.0,126.2,3.0,1.0,61.2
4.0,3.0,77.4,4.0,3.0,380.5,4.0,2.0,154.6,3.0,2.0,403.3,3.0,2.0,445.5,3.0,2.0,213.4
4.0,5.0,99.7,4.0,5.0,480.7,4.0,5.0,40.0,3.0,5.0,107.3,3.0,4.0,194.9,3.0,4.0,85.6
4.0,6.0,76.3,4.0,6.0,322.1,4.0,6.0,29.8,3.0,6.0,83.9,3.0,6.0,54.0,3.0,5.0,34.6
5.0,2.0,211.3,5.0,1.0,495.6,5.0,1.0,33.6,5.0,1.0,229.1,4.0,1.0,404.6,4.0,1.0,284.8
5.0,3.0,54.2,5.0,3.0,405.9,5.0,2.0,124.3,5.0,2.0,447.1,4.0,2.0,775.0,4.0,2.0,519.8
5.0,4.0,142.8,5.0,4.0,666.0,5.0,4.0,44.8,5.0,3.0,163.9,4.0,3.0,264.7,4.0,3.0,132.5
5.0,6.0,48.9,5.0,6.0,274.4,5.0,6.0,15.5,5.0,6.0,99.9,4.0,6.0,176.1,4.0,5.0,159.8
6.0,2.0,175.4,6.0,1.0,355.2,6.0,1.0,23.2,6.0,1.0,173.7,6.0,1.0,118.5,5.0,1.0,97.6
6.0,3.0,33.2,6.0,3.0,240.8,6.0,2.0,62.5,6.0,2.0,282.2,6.0,2.0,314.9,5.0,2.0,363.2
6.0,4.0,88.2,6.0,4.0,413.8,6.0,4.0,27.2,6.0,3.0,104.2,6.0,3.0,61.1,5.0,3.0,44.8
6.0,5.0,52.8,6.0,5.0,265.8,6.0,5.0,13.9,6.0,5.0,100.1,6.0,4.0,153.3,5.0,4.0,160.6
