1,塩田 雄一,塩田 雄一.1,2,外崎 悟,外崎 悟.1,3,中村 日向,中村 日向.1,4,川添 英正,川添 英正.1,5,村田 修次,村田 修次.1,6,木山 誠一,木山 誠一.1
2.0,3.0,20.4,1.0,3.0,28.4,1.0,2.0,15.1,1.0,2.0,523.7,1.0,2.0,220.5,1.0,2.0,673.3
2.0,4.0,66.4,1.0,4.0,86.2,1.0,4.0,23.1,1.0,3.0,332.0,1.0,3.0,110.4,1.0,3.0,461.7
2.0,5.0,62.8,1.0,5.0,71.1,1.0,5.0,13.9,1.0,5.0,437.5,1.0,4.0,388.5,1.0,4.0,1000.0
2.0,6.0,117.0,1.0,6.0,158.9,1.0,6.0,31.0,1.0,6.0,559.7,1.0,6.0,381.5,1.0,5.0,781.7
3.0,2.0,14.3,3.0,1.0,38.7,2.0,1.0,27.1,2.0,1.0,635.4,2.0,1.0,330.8,2.0,1.0,851.6
3.0,4.0,26.9,3.0,4.0,68.7,2.0,4.0,37.7,2.0,3.0,470.6,2.0,3.0,160.5,2.0,3.0,522.2
3.0,5.0,18.3,3.0,5.0,54.6,2.0,5.0,29.1,2.0,5.0,639.2,2.0,4.0,486.8,2.0,4.0,1180.0
3.0,6.0,41.1,3.0,6.0,111.4,2.0,6.0,61.9,2.0,6.0,721.7,2.0,6.0,475.2,2.0,5.0,794.4
4.0,2.0,117.5,4.0,1.0,257.0,4.0,1.0,43.6,3.0,1.0,236.5,3.0,1.0,101.3,3.0,1.0,351.5
4.0,3.0,88.0,4.0,3.0,189.2,4.0,2.0,50.9,3.0,2.0,303.0,3.0,2.0,118.4,3.0,2.0,396.7
4.0,5.0,152.2,4.0,5.0,274.9,4.0,5.0,29.4,3.0,5.0,166.8,3.0,4.0,182.8,3.0,4.0,357.1
4.0,6.0,222.6,4.0,6.0,476.4,4.0,6.0,37.9,3.0,6.0,189.4,3.0,6.0,164.6,3.0,5.0,251.8
5.0,2.0,99.2,5.0,1.0,184.5,5.0,1.0,24.2,5.0,1.0,488.5,4.0,1.0,703.0,4.0,1.0,1238.0
5.0,3.0,59.6,5.0,3.0,111.3,5.0,2.0,30.2,5.0,2.0,626.1,4.0,2.0,734.7,4.0,2.0,1345.0
5.0,4.0,183.3,5.0,4.0,292.2,5.0,4.0,33.2,5.0,3.0,290.2,4.0,3.0,341.8,4.0,3.0,602.0
5.0,6.0,193.1,5.0,6.0,338.6,5.0,6.0,32.3,5.0,6.0,421.8,4.0,6.0,670.8,4.0,5.0,977.6
6.0,2.0,223.4,6.0,1.0,435.9,6.0,1.0,68.1,6.0,1.0,625.6,6.0,1.0,634.8,5.0,1.0,892.0
6.0,3.0,154.8,6.0,3.0,289.0,6.0,2.0,80.3,6.0,2.0,703.7,6.0,2.0,629.9,5.0,2.0,833.2
6.0,4.0,324.0,6.0,4.0,607.0,6.0,4.0,60.4,6.0,3.0,377.7,6.0,3.0,294.9,5.0,3.0,375.6
6.0,5.0,257.7,6.0,5.0,440.3,6.0,5.0,45.6,6.0,5.0,492.1,6.0,4.0,685.9,5.0,4.0,889.8
