1,谷村 啓司,谷村 啓司.1,2,山崎 善庸,山崎 善庸.1,3,野相 弘司,野相 弘司.1,4,三嶌　こころ,三嶌　こころ.1,5,森安 弘雅,森安 弘雅.1,6,鈴木 賢一,鈴木 賢一.1
2.0,3.0,12.3,1.0,3.0,34.9,1.0,2.0,42.4,1.0,2.0,335.2,1.0,2.0,56.6,1.0,2.0,251.2
2.0,4.0,44.2,1.0,4.0,105.2,1.0,4.0,107.2,1.0,3.0,314.2,1.0,3.0,56.9,1.0,3.0,284.0
2.0,5.0,16.4,1.0,5.0,38.1,1.0,5.0,30.7,1.0,5.0,211.9,1.0,4.0,128.8,1.0,4.0,835.6
2.0,6.0,39.7,1.0,6.0,64.9,1.0,6.0,60.4,1.0,6.0,326.6,1.0,6.0,56.1,1.0,5.0,272.6
3.0,2.0,14.2,3.0,1.0,65.7,2.0,1.0,61.6,2.0,1.0,512.5,2.0,1.0,73.8,2.0,1.0,279.2
3.0,4.0,47.2,3.0,4.0,268.8,2.0,4.0,165.2,2.0,3.0,626.7,2.0,3.0,120.2,2.0,3.0,403.2
3.0,5.0,12.3,3.0,5.0,59.2,2.0,5.0,51.1,2.0,5.0,448.7,2.0,4.0,257.4,2.0,4.0,1098.0
3.0,6.0,32.5,3.0,6.0,116.4,2.0,6.0,106.5,2.0,6.0,703.1,2.0,6.0,117.7,2.0,5.0,400.4
4.0,2.0,99.6,4.0,1.0,359.2,4.0,1.0,257.4,3.0,1.0,488.6,3.0,1.0,70.7,3.0,1.0,404.6
4.0,3.0,99.8,4.0,3.0,514.8,4.0,2.0,328.5,3.0,2.0,711.8,3.0,2.0,107.2,3.0,2.0,480.5
4.0,5.0,88.0,4.0,5.0,459.4,4.0,5.0,193.1,3.0,5.0,394.9,3.0,4.0,290.4,3.0,4.0,985.6
4.0,6.0,140.1,4.0,6.0,725.2,4.0,6.0,284.0,3.0,6.0,707.4,3.0,6.0,77.1,3.0,5.0,232.5
5.0,2.0,21.8,5.0,1.0,80.4,5.0,1.0,45.6,5.0,1.0,213.1,4.0,1.0,237.2,4.0,1.0,867.0
5.0,3.0,20.1,5.0,3.0,106.1,5.0,2.0,55.0,5.0,2.0,303.4,4.0,2.0,312.5,4.0,2.0,1201.0
5.0,4.0,71.8,5.0,4.0,228.8,5.0,4.0,136.7,5.0,3.0,343.2,4.0,3.0,353.7,4.0,3.0,1141.0
5.0,6.0,32.1,5.0,6.0,108.2,5.0,6.0,44.8,5.0,6.0,234.3,4.0,6.0,234.8,4.0,5.0,651.5
6.0,2.0,82.5,6.0,1.0,204.8,6.0,1.0,130.4,6.0,1.0,497.0,6.0,1.0,76.9,5.0,1.0,252.8
6.0,3.0,70.6,6.0,3.0,201.6,6.0,2.0,170.0,6.0,2.0,559.8,6.0,2.0,105.6,5.0,2.0,317.6
6.0,4.0,201.9,6.0,4.0,610.1,6.0,4.0,353.7,6.0,3.0,729.8,6.0,3.0,78.4,5.0,3.0,219.2
6.0,5.0,79.3,6.0,5.0,297.2,6.0,5.0,91.4,6.0,5.0,408.9,6.0,4.0,252.3,5.0,4.0,588.3
