1,三浦 永理,三浦 永理.1,2,林 祐介,林 祐介.1,3,嶋 義信,嶋 義信.1,4,福田 理,福田 理.1,5,八木 治樹,八木 治樹.1,6,宮本 夏樹,宮本 夏樹.1
2.0,3.0,4.1,1.0,3.0,17.8,1.0,2.0,48.9,1.0,2.0,180.4,1.0,2.0,228.8,1.0,2.0,845.3
2.0,4.0,9.5,1.0,4.0,37.7,1.0,4.0,81.6,1.0,3.0,271.5,1.0,3.0,310.3,1.0,3.0,1266.0
2.0,5.0,10.7,1.0,5.0,37.5,1.0,5.0,63.1,1.0,5.0,199.8,1.0,4.0,417.0,1.0,4.0,1668.0
2.0,6.0,29.0,1.0,6.0,73.6,1.0,6.0,144.0,1.0,6.0,287.9,1.0,6.0,375.3,1.0,5.0,1313.0
3.0,2.0,6.3,3.0,1.0,65.3,2.0,1.0,85.3,2.0,1.0,291.6,2.0,1.0,336.5,2.0,1.0,1163.0
3.0,4.0,16.0,3.0,4.0,173.0,2.0,4.0,237.9,2.0,3.0,528.1,2.0,3.0,614.6,2.0,3.0,2220.0
3.0,5.0,15.0,3.0,5.0,157.4,2.0,5.0,189.1,2.0,5.0,452.4,2.0,4.0,838.6,2.0,4.0,2741.0
3.0,6.0,39.2,3.0,6.0,304.9,2.0,6.0,414.3,2.0,6.0,643.5,2.0,6.0,628.1,2.0,5.0,2102.0
4.0,2.0,35.3,4.0,1.0,212.1,4.0,1.0,259.7,3.0,1.0,613.4,3.0,1.0,502.9,3.0,1.0,2034.0
4.0,3.0,46.9,4.0,3.0,311.8,4.0,2.0,364.1,3.0,2.0,691.5,3.0,2.0,754.3,3.0,2.0,2627.0
4.0,5.0,59.9,4.0,5.0,424.3,4.0,5.0,396.1,3.0,5.0,885.7,3.0,4.0,1389.0,3.0,4.0,3003.0
4.0,6.0,103.0,4.0,6.0,618.2,4.0,6.0,699.1,3.0,6.0,1065.0,3.0,6.0,982.3,3.0,5.0,3122.0
5.0,2.0,36.9,5.0,1.0,204.0,5.0,1.0,198.4,5.0,1.0,236.2,4.0,1.0,511.0,4.0,1.0,2353.0
5.0,3.0,47.3,5.0,3.0,334.3,5.0,2.0,286.1,5.0,2.0,324.4,4.0,2.0,642.2,4.0,2.0,3031.0
5.0,4.0,93.4,5.0,4.0,517.7,5.0,4.0,543.6,5.0,3.0,563.0,4.0,3.0,1058.0,4.0,3.0,3427.0
5.0,6.0,104.0,5.0,6.0,487.3,5.0,6.0,581.7,5.0,6.0,270.6,4.0,6.0,499.7,4.0,5.0,1899.0
6.0,2.0,132.7,6.0,1.0,474.8,6.0,1.0,769.0,6.0,1.0,556.1,6.0,1.0,615.8,5.0,1.0,1568.0
6.0,3.0,173.8,6.0,3.0,829.8,6.0,2.0,976.2,6.0,2.0,778.5,6.0,2.0,748.9,5.0,2.0,2174.0
6.0,4.0,302.6,6.0,4.0,1256.0,6.0,4.0,1395.0,6.0,3.0,1261.0,6.0,3.0,1072.0,5.0,3.0,2672.0
6.0,5.0,234.2,6.0,5.0,906.1,6.0,5.0,932.9,6.0,5.0,531.7,6.0,4.0,802.3,5.0,4.0,1732.0
