1,井上 未都,井上 未都.1,2,田中 博子,田中 博子.1,3,植木 美帆,植木 美帆.1,4,北村 寧々,北村 寧々.1,5,鈴木　祐美子,鈴木　祐美子.1,6,真子　奈津実,真子　奈津実.1
2.0,3.0,86.6,1.0,3.0,358.1,1.0,2.0,275.7,1.0,2.0,81.9,1.0,2.0,109.9,1.0,2.0,293.4
2.0,4.0,52.3,1.0,4.0,245.6,1.0,4.0,158.0,1.0,3.0,111.9,1.0,3.0,153.7,1.0,3.0,351.2
2.0,5.0,66.7,1.0,5.0,339.5,1.0,5.0,186.7,1.0,5.0,17.8,1.0,4.0,29.6,1.0,4.0,95.3
2.0,6.0,72.0,1.0,6.0,415.2,1.0,6.0,208.1,1.0,6.0,23.8,1.0,6.0,36.9,1.0,5.0,110.6
3.0,2.0,93.3,3.0,1.0,454.4,2.0,1.0,366.0,2.0,1.0,214.7,2.0,1.0,286.2,2.0,1.0,523.1
3.0,4.0,47.8,3.0,4.0,773.0,2.0,4.0,528.7,2.0,3.0,548.8,2.0,3.0,757.7,2.0,3.0,967.3
3.0,5.0,59.3,3.0,5.0,961.9,2.0,5.0,665.9,2.0,5.0,270.1,2.0,4.0,370.7,2.0,4.0,536.9
3.0,6.0,67.6,3.0,6.0,1109.0,2.0,6.0,832.4,2.0,6.0,257.8,2.0,6.0,311.7,2.0,5.0,691.2
4.0,2.0,36.5,4.0,1.0,369.5,4.0,1.0,198.4,3.0,1.0,212.0,3.0,1.0,284.3,3.0,1.0,580.0
4.0,3.0,42.9,4.0,3.0,890.2,4.0,2.0,477.0,3.0,2.0,567.7,3.0,2.0,644.9,3.0,2.0,1082.0
4.0,5.0,11.5,4.0,5.0,571.4,4.0,5.0,214.4,3.0,5.0,252.4,3.0,4.0,333.9,3.0,4.0,608.6
4.0,6.0,14.5,4.0,6.0,493.3,4.0,6.0,257.8,3.0,6.0,261.5,3.0,6.0,348.0,3.0,5.0,630.8
5.0,2.0,54.1,5.0,1.0,405.5,5.0,1.0,298.8,5.0,1.0,17.7,4.0,1.0,28.6,4.0,1.0,94.9
5.0,3.0,61.9,5.0,3.0,727.5,5.0,2.0,636.6,5.0,2.0,95.7,4.0,2.0,135.8,4.0,2.0,330.4
5.0,4.0,17.2,5.0,4.0,482.3,5.0,4.0,294.2,5.0,3.0,114.4,4.0,3.0,185.1,4.0,3.0,419.2
5.0,6.0,22.3,5.0,6.0,561.2,5.0,6.0,355.9,5.0,6.0,16.5,4.0,6.0,28.4,4.0,5.0,76.0
6.0,2.0,79.5,6.0,1.0,694.0,6.0,1.0,432.8,6.0,1.0,37.5,6.0,1.0,46.6,5.0,1.0,108.4
6.0,3.0,91.8,6.0,3.0,1442.0,6.0,2.0,961.9,6.0,2.0,147.7,6.0,2.0,160.6,5.0,2.0,370.7
6.0,4.0,33.0,6.0,4.0,638.9,6.0,4.0,420.2,6.0,3.0,197.4,6.0,3.0,188.4,5.0,3.0,368.4
6.0,5.0,36.7,6.0,5.0,1006.0,6.0,5.0,448.0,6.0,5.0,30.1,6.0,4.0,41.4,5.0,4.0,83.7
