1,池永 太,池永 太.1,2,柴田 朋哉,柴田 朋哉.1,3,上野 俊樹,上野 俊樹.1,4,田中 宏樹,田中 宏樹.1,5,小林 遼太,小林 遼太.1,6,山田 丈,山田 丈.1
2.0,3.0,13.0,1.0,3.0,117.7,1.0,2.0,326.9,1.0,2.0,28.9,1.0,2.0,185.3,1.0,2.0,357.1
2.0,4.0,6.8,1.0,4.0,66.1,1.0,4.0,369.3,1.0,3.0,86.6,1.0,3.0,535.8,1.0,3.0,830.0
2.0,5.0,21.7,1.0,5.0,138.6,1.0,5.0,527.3,1.0,5.0,35.2,1.0,4.0,195.1,1.0,4.0,283.8
2.0,6.0,16.4,1.0,6.0,120.0,1.0,6.0,658.0,1.0,6.0,32.9,1.0,6.0,171.3,1.0,5.0,428.4
3.0,2.0,25.0,3.0,1.0,331.5,2.0,1.0,501.9,2.0,1.0,60.6,2.0,1.0,392.2,2.0,1.0,658.0
3.0,4.0,24.9,3.0,4.0,608.2,2.0,4.0,828.9,2.0,3.0,220.1,2.0,3.0,1275.0,2.0,3.0,1640.0
3.0,5.0,54.4,3.0,5.0,1003.0,2.0,5.0,1275.0,2.0,5.0,100.0,2.0,4.0,653.9,2.0,4.0,642.0
3.0,6.0,53.1,3.0,6.0,1072.0,2.0,6.0,1599.0,2.0,6.0,81.5,2.0,6.0,439.7,2.0,5.0,1106.0
4.0,2.0,8.0,4.0,1.0,106.3,4.0,1.0,607.6,3.0,1.0,279.1,3.0,1.0,1398.0,3.0,1.0,2035.0
4.0,3.0,20.3,4.0,3.0,379.9,4.0,2.0,893.0,3.0,2.0,434.6,3.0,2.0,1990.0,3.0,2.0,2509.0
4.0,5.0,20.0,4.0,5.0,321.8,4.0,5.0,1298.0,3.0,5.0,530.4,3.0,4.0,1754.0,3.0,4.0,2212.0
4.0,6.0,15.4,4.0,6.0,211.8,4.0,6.0,1209.0,3.0,6.0,478.8,3.0,6.0,1941.0,3.0,5.0,2581.0
5.0,2.0,42.4,5.0,1.0,376.8,5.0,1.0,1204.0,5.0,1.0,44.4,4.0,1.0,176.0,4.0,1.0,269.5
5.0,3.0,82.8,5.0,3.0,1275.0,5.0,2.0,1693.0,5.0,2.0,80.8,4.0,2.0,287.7,4.0,2.0,454.2
5.0,4.0,48.9,5.0,4.0,789.7,5.0,4.0,1711.0,5.0,3.0,260.8,4.0,3.0,835.4,4.0,3.0,1184.0
5.0,6.0,51.8,5.0,6.0,574.6,5.0,6.0,1814.0,5.0,6.0,52.1,4.0,6.0,176.9,4.0,5.0,396.8
6.0,2.0,40.2,6.0,1.0,423.0,6.0,1.0,1666.0,6.0,1.0,49.1,6.0,1.0,339.1,5.0,1.0,620.7
6.0,3.0,86.8,6.0,3.0,1348.0,6.0,2.0,2369.0,6.0,2.0,80.4,6.0,2.0,530.0,5.0,2.0,1015.0
6.0,4.0,44.8,6.0,4.0,515.8,6.0,4.0,2123.0,6.0,3.0,288.7,6.0,3.0,1214.0,5.0,3.0,1856.0
6.0,5.0,72.6,6.0,5.0,920.2,6.0,5.0,2860.0,6.0,5.0,67.8,6.0,4.0,424.7,5.0,4.0,649.9
