1,尾崎 雄二,尾崎 雄二.1,2,北中 元樹,北中 元樹.1,3,眞田 英二,眞田 英二.1,4,上田 洋平,上田 洋平.1,5,前田 聖文,前田 聖文.1,6,森岡 まき,森岡 まき.1
2.0,3.0,23.0,1.0,3.0,65.5,1.0,2.0,108.4,1.0,2.0,127.3,1.0,2.0,37.2,1.0,2.0,1160.0
2.0,4.0,28.4,1.0,4.0,66.2,1.0,4.0,77.3,1.0,3.0,149.9,1.0,3.0,31.1,1.0,3.0,1100.0
2.0,5.0,19.8,1.0,5.0,48.8,1.0,5.0,50.5,1.0,5.0,62.7,1.0,4.0,37.4,1.0,4.0,802.7
2.0,6.0,82.0,1.0,6.0,262.9,1.0,6.0,222.4,1.0,6.0,166.0,1.0,6.0,51.3,1.0,5.0,437.5
3.0,2.0,26.7,3.0,1.0,104.5,2.0,1.0,123.9,2.0,1.0,168.9,2.0,1.0,70.5,2.0,1.0,1721.0
3.0,4.0,28.4,3.0,4.0,118.6,2.0,4.0,119.8,2.0,3.0,240.9,2.0,3.0,73.3,2.0,3.0,2885.0
3.0,5.0,15.7,3.0,5.0,83.2,2.0,5.0,89.0,2.0,5.0,119.1,2.0,4.0,61.2,2.0,4.0,2372.0
3.0,6.0,73.1,3.0,6.0,603.1,2.0,6.0,454.2,2.0,6.0,347.7,2.0,6.0,163.4,2.0,5.0,1301.0
4.0,2.0,38.8,4.0,1.0,122.5,4.0,1.0,155.3,3.0,1.0,230.5,3.0,1.0,72.0,3.0,1.0,1617.0
4.0,3.0,37.3,4.0,3.0,158.6,4.0,2.0,194.1,3.0,2.0,359.4,3.0,2.0,94.5,3.0,2.0,3336.0
4.0,5.0,23.1,4.0,5.0,103.8,4.0,5.0,105.3,3.0,5.0,167.0,3.0,4.0,64.7,3.0,4.0,2093.0
4.0,6.0,76.1,4.0,6.0,593.1,4.0,6.0,417.0,3.0,6.0,547.4,3.0,6.0,168.1,3.0,5.0,1547.0
5.0,2.0,21.5,5.0,1.0,84.3,5.0,1.0,78.5,5.0,1.0,55.2,4.0,1.0,46.9,4.0,1.0,904.7
5.0,3.0,16.7,5.0,3.0,101.0,5.0,2.0,107.0,5.0,2.0,87.0,4.0,2.0,71.4,4.0,2.0,2737.0
5.0,4.0,25.0,5.0,4.0,90.5,5.0,4.0,80.3,5.0,3.0,114.5,4.0,3.0,72.9,4.0,3.0,2224.0
5.0,6.0,38.3,5.0,6.0,368.1,5.0,6.0,252.3,5.0,6.0,97.4,4.0,6.0,78.4,4.0,5.0,570.9
6.0,2.0,252.9,6.0,1.0,751.8,6.0,1.0,741.3,6.0,1.0,338.9,6.0,1.0,98.0,5.0,1.0,389.6
6.0,3.0,282.4,6.0,3.0,1241.0,6.0,2.0,1462.0,6.0,2.0,442.9,6.0,2.0,169.9,5.0,2.0,693.2
6.0,4.0,216.1,6.0,4.0,988.5,6.0,4.0,953.2,6.0,3.0,639.2,6.0,3.0,180.0,5.0,3.0,1100.0
6.0,5.0,111.2,6.0,5.0,757.1,6.0,5.0,773.6,6.0,5.0,221.9,6.0,4.0,124.1,5.0,4.0,470.3
