1,松尾 昂明,松尾 昂明.1,2,平瀬 城啓,平瀬 城啓.1,3,土井 歩夢,土井 歩夢.1,4,中岡 健人,中岡 健人.1,5,宮嵜　隆太郎,宮嵜　隆太郎.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,10.1,1.0,3.0,152.4,1.0,2.0,76.3,1.0,2.0,101.6,1.0,2.0,352.3,1.0,2.0,740.2
2.0,4.0,8.6,1.0,4.0,152.8,1.0,4.0,55.3,1.0,3.0,100.8,1.0,3.0,347.8,1.0,3.0,648.4
2.0,5.0,28.0,1.0,5.0,338.5,1.0,5.0,131.3,1.0,5.0,90.6,1.0,4.0,276.3,1.0,4.0,572.8
2.0,6.0,22.1,1.0,6.0,290.4,1.0,6.0,81.3,1.0,6.0,93.6,1.0,6.0,320.1,1.0,5.0,902.4
3.0,2.0,10.3,3.0,1.0,365.5,2.0,1.0,243.1,2.0,1.0,274.2,2.0,1.0,683.4,2.0,1.0,1395.0
3.0,4.0,7.9,3.0,4.0,494.6,2.0,4.0,372.2,2.0,3.0,513.8,2.0,3.0,1224.0,2.0,3.0,2071.0
3.0,5.0,24.0,3.0,5.0,855.5,2.0,5.0,635.9,2.0,5.0,568.9,2.0,4.0,1202.0,2.0,4.0,1972.0
3.0,6.0,14.5,3.0,6.0,1001.0,2.0,6.0,613.4,2.0,6.0,540.0,2.0,6.0,1281.0,2.0,5.0,3198.0
4.0,2.0,11.0,4.0,1.0,368.0,4.0,1.0,123.9,3.0,1.0,189.7,3.0,1.0,540.8,3.0,1.0,880.7
4.0,3.0,10.5,4.0,3.0,611.1,4.0,2.0,331.0,3.0,2.0,463.2,3.0,2.0,1083.0,3.0,2.0,1861.0
4.0,5.0,22.4,4.0,5.0,817.3,4.0,5.0,277.0,3.0,5.0,400.2,3.0,4.0,857.8,3.0,4.0,1561.0
4.0,6.0,16.3,4.0,6.0,801.4,4.0,6.0,229.5,3.0,6.0,352.3,3.0,6.0,711.4,3.0,5.0,1432.0
5.0,2.0,58.2,5.0,1.0,992.1,5.0,1.0,315.2,5.0,1.0,142.1,4.0,1.0,346.7,4.0,1.0,851.1
5.0,3.0,55.8,5.0,3.0,1013.0,5.0,2.0,662.7,5.0,2.0,313.4,4.0,2.0,745.2,4.0,2.0,1819.0
5.0,4.0,53.7,5.0,4.0,1504.0,5.0,4.0,483.7,5.0,3.0,335.4,4.0,3.0,683.4,4.0,3.0,1680.0
5.0,6.0,61.9,5.0,6.0,1568.0,5.0,6.0,456.2,5.0,6.0,217.7,4.0,6.0,553.6,4.0,5.0,1504.0
6.0,2.0,54.2,6.0,1.0,1052.0,6.0,1.0,353.4,6.0,1.0,251.0,6.0,1.0,615.7,5.0,1.0,1322.0
6.0,3.0,45.9,6.0,3.0,1840.0,6.0,2.0,873.7,6.0,2.0,649.7,6.0,2.0,1211.0,5.0,2.0,2553.0
6.0,4.0,52.2,6.0,4.0,1301.0,6.0,4.0,692.0,6.0,3.0,577.9,6.0,3.0,853.3,5.0,3.0,1477.0
6.0,5.0,90.4,6.0,5.0,2700.0,6.0,5.0,778.7,6.0,5.0,435.1,6.0,4.0,869.1,5.0,4.0,1546.0
