1,稗田 聖也,稗田 聖也.1,2,溝口　海義也,溝口　海義也.1,3,金子 貴志,金子 貴志.1,4,濱本 優一,濱本 優一.1,5,小澤 学,小澤 学.1,6,杉山 喜一,杉山 喜一.1
2.0,3.0,7.3,1.0,3.0,18.0,1.0,2.0,137.1,1.0,2.0,35.2,1.0,2.0,483.2,1.0,2.0,434.2
2.0,4.0,5.1,1.0,4.0,10.5,1.0,4.0,150.9,1.0,3.0,103.0,1.0,3.0,661.3,1.0,3.0,890.6
2.0,5.0,32.1,1.0,5.0,61.8,1.0,5.0,351.1,1.0,5.0,135.8,1.0,4.0,572.8,1.0,4.0,663.1
2.0,6.0,22.2,1.0,6.0,33.2,1.0,6.0,331.1,1.0,6.0,100.7,1.0,6.0,746.2,1.0,5.0,1781.0
3.0,2.0,15.7,3.0,1.0,66.6,2.0,1.0,158.0,2.0,1.0,43.1,2.0,1.0,711.4,2.0,1.0,530.5
3.0,4.0,21.4,3.0,4.0,91.7,2.0,4.0,193.8,2.0,3.0,128.3,2.0,3.0,1016.0,2.0,3.0,1025.0
3.0,5.0,81.3,3.0,5.0,342.7,2.0,5.0,585.2,2.0,5.0,184.8,2.0,4.0,897.1,2.0,4.0,755.5
3.0,6.0,65.3,3.0,6.0,228.7,2.0,6.0,415.7,2.0,6.0,108.4,2.0,6.0,1355.0,2.0,5.0,1967.0
4.0,2.0,10.5,4.0,1.0,25.4,4.0,1.0,236.6,3.0,1.0,224.2,3.0,1.0,1574.0,3.0,1.0,1534.0
4.0,3.0,22.1,4.0,3.0,66.8,4.0,2.0,233.7,3.0,2.0,235.5,3.0,2.0,1781.0,3.0,2.0,1515.0
4.0,5.0,58.6,4.0,5.0,154.9,4.0,5.0,625.7,3.0,5.0,642.1,3.0,4.0,1906.0,3.0,4.0,1706.0
4.0,6.0,40.7,4.0,6.0,94.4,4.0,6.0,498.0,3.0,6.0,360.9,3.0,6.0,2198.0,3.0,5.0,2905.0
5.0,2.0,105.9,5.0,1.0,265.5,5.0,1.0,874.6,5.0,1.0,266.4,4.0,1.0,810.7,4.0,1.0,824.4
5.0,3.0,202.3,5.0,3.0,562.2,5.0,2.0,1129.0,5.0,2.0,309.6,4.0,2.0,910.5,4.0,2.0,743.9
5.0,4.0,184.3,5.0,4.0,376.5,5.0,4.0,1245.0,5.0,3.0,703.2,4.0,3.0,1682.0,4.0,3.0,1291.0
5.0,6.0,256.3,5.0,6.0,599.5,5.0,6.0,1418.0,5.0,6.0,356.2,4.0,6.0,1129.0,4.0,5.0,1967.0
6.0,2.0,83.4,6.0,1.0,162.0,6.0,1.0,868.4,6.0,1.0,261.5,6.0,1.0,1694.0,5.0,1.0,2541.0
6.0,3.0,169.4,6.0,3.0,416.4,6.0,2.0,777.1,6.0,2.0,228.9,6.0,2.0,1755.0,5.0,2.0,2940.0
6.0,4.0,129.1,6.0,4.0,246.4,6.0,4.0,868.4,6.0,3.0,461.3,6.0,3.0,2103.0,5.0,3.0,2940.0
6.0,5.0,392.9,6.0,5.0,695.2,6.0,5.0,1848.0,6.0,5.0,553.3,6.0,4.0,1718.0,5.0,4.0,2369.0
