1,鈴木 成美,鈴木 成美.1,2,中谷 朋子,中谷 朋子.1,3,小池 礼乃,小池 礼乃.1,4,大石 真央,大石 真央.1,5,今井 美亜,今井 美亜.1,6,宇野 弥生,宇野 弥生.1
2.0,3.0,14.6,1.0,3.0,27.7,1.0,2.0,138.4,1.0,2.0,208.3,1.0,2.0,51.2,1.0,2.0,256.4
2.0,4.0,23.6,1.0,4.0,33.7,1.0,4.0,260.8,1.0,3.0,429.5,1.0,3.0,150.9,1.0,3.0,716.0
2.0,5.0,9.1,1.0,5.0,12.1,1.0,5.0,178.7,1.0,5.0,203.7,1.0,4.0,163.4,1.0,4.0,768.5
2.0,6.0,18.4,1.0,6.0,21.3,1.0,6.0,309.6,1.0,6.0,275.8,1.0,6.0,65.5,1.0,5.0,282.4
3.0,2.0,27.6,3.0,1.0,90.7,2.0,1.0,189.8,2.0,1.0,266.4,2.0,1.0,56.8,2.0,1.0,266.0
3.0,4.0,60.7,3.0,4.0,160.2,2.0,4.0,282.1,2.0,3.0,412.2,2.0,3.0,128.8,2.0,3.0,641.2
3.0,5.0,35.7,3.0,5.0,76.4,2.0,5.0,165.5,2.0,5.0,212.4,2.0,4.0,137.6,2.0,4.0,630.8
3.0,6.0,76.6,3.0,6.0,118.7,2.0,6.0,287.4,2.0,6.0,290.9,2.0,6.0,55.4,2.0,5.0,180.4
4.0,2.0,52.1,4.0,1.0,105.7,4.0,1.0,528.7,3.0,1.0,726.4,3.0,1.0,324.9,3.0,1.0,1181.0
4.0,3.0,86.2,4.0,3.0,189.0,4.0,2.0,409.6,3.0,2.0,598.5,3.0,2.0,231.4,3.0,2.0,960.7
4.0,5.0,57.7,4.0,5.0,91.8,4.0,5.0,482.6,3.0,5.0,658.0,3.0,4.0,597.8,3.0,4.0,1810.0
4.0,6.0,87.1,4.0,6.0,115.0,4.0,6.0,665.0,3.0,6.0,887.8,3.0,6.0,369.8,3.0,5.0,1246.0
5.0,2.0,18.5,5.0,1.0,27.4,5.0,1.0,275.2,5.0,1.0,192.2,4.0,1.0,252.8,4.0,1.0,1108.0
5.0,3.0,48.4,5.0,3.0,71.1,5.0,2.0,228.7,5.0,2.0,169.6,4.0,2.0,194.5,4.0,2.0,851.7
5.0,4.0,61.4,5.0,4.0,80.0,5.0,4.0,487.3,5.0,3.0,463.9,4.0,3.0,516.3,4.0,3.0,1974.0
5.0,6.0,32.8,5.0,6.0,25.3,5.0,6.0,347.8,5.0,6.0,158.4,4.0,6.0,175.5,4.0,5.0,673.0
6.0,2.0,71.1,6.0,1.0,75.0,6.0,1.0,651.2,6.0,1.0,365.0,6.0,1.0,94.1,5.0,1.0,275.3
6.0,3.0,171.2,6.0,3.0,187.3,6.0,2.0,574.6,6.0,2.0,352.7,6.0,2.0,72.9,5.0,2.0,173.1
6.0,4.0,170.3,6.0,4.0,185.8,6.0,4.0,973.7,6.0,3.0,827.9,6.0,3.0,276.4,5.0,3.0,726.4
6.0,5.0,78.4,6.0,5.0,51.6,6.0,5.0,572.7,6.0,5.0,274.9,6.0,4.0,195.4,5.0,4.0,518.4
