1,吉島 祥之,吉島 祥之.1,2,岡部 貴司,岡部 貴司.1,3,大田 直弥,大田 直弥.1,4,岡部 大輝,岡部 大輝.1,5,尾嶋 一広,尾嶋 一広.1,6,岩永 節也,岩永 節也.1
2.0,3.0,21.5,1.0,3.0,65.6,1.0,2.0,93.5,1.0,2.0,80.9,1.0,2.0,51.5,1.0,2.0,1951.0
2.0,4.0,20.2,1.0,4.0,53.2,1.0,4.0,62.5,1.0,3.0,84.8,1.0,3.0,53.0,1.0,3.0,1831.0
2.0,5.0,16.6,1.0,5.0,41.8,1.0,5.0,45.0,1.0,5.0,36.8,1.0,4.0,38.8,1.0,4.0,2060.0
2.0,6.0,167.4,1.0,6.0,255.3,1.0,6.0,293.4,1.0,6.0,186.3,1.0,6.0,129.7,1.0,5.0,1273.0
3.0,2.0,23.7,3.0,1.0,162.3,2.0,1.0,186.7,2.0,1.0,167.6,2.0,1.0,135.2,2.0,1.0,3090.0
3.0,4.0,15.9,3.0,4.0,226.6,2.0,4.0,198.1,2.0,3.0,247.0,2.0,3.0,223.5,2.0,3.0,4238.0
3.0,5.0,12.9,3.0,5.0,191.7,2.0,5.0,173.6,2.0,5.0,133.7,2.0,4.0,156.0,2.0,4.0,3058.0
3.0,6.0,154.4,3.0,6.0,780.7,2.0,6.0,778.7,2.0,6.0,480.0,2.0,6.0,402.0,2.0,5.0,2697.0
4.0,2.0,21.9,4.0,1.0,127.6,4.0,1.0,138.0,3.0,1.0,182.9,3.0,1.0,120.7,3.0,1.0,3027.0
4.0,3.0,18.3,4.0,3.0,201.4,4.0,2.0,225.2,3.0,2.0,277.5,3.0,2.0,236.0,3.0,2.0,4300.0
4.0,5.0,11.6,4.0,5.0,116.1,4.0,5.0,105.8,3.0,5.0,121.7,3.0,4.0,157.2,3.0,4.0,3027.0
4.0,6.0,143.8,4.0,6.0,543.4,4.0,6.0,596.9,3.0,6.0,683.6,3.0,6.0,515.1,3.0,5.0,3333.0
5.0,2.0,18.9,5.0,1.0,110.8,5.0,1.0,86.9,5.0,1.0,38.7,4.0,1.0,49.8,4.0,1.0,2264.0
5.0,3.0,18.5,5.0,3.0,213.6,5.0,2.0,189.5,5.0,2.0,68.8,4.0,2.0,87.5,4.0,2.0,2825.0
5.0,4.0,15.7,5.0,4.0,152.8,5.0,4.0,116.8,5.0,3.0,78.4,4.0,3.0,103.5,4.0,3.0,3190.0
5.0,6.0,89.3,5.0,6.0,472.4,5.0,6.0,443.4,5.0,6.0,85.0,4.0,6.0,122.3,4.0,5.0,857.5
6.0,2.0,535.5,6.0,1.0,989.0,6.0,1.0,780.7,6.0,1.0,554.5,6.0,1.0,338.6,5.0,1.0,1440.0
6.0,3.0,607.9,6.0,3.0,1964.0,6.0,2.0,1399.0,6.0,2.0,741.7,6.0,2.0,480.8,5.0,2.0,2300.0
6.0,4.0,571.6,6.0,4.0,1639.0,6.0,4.0,1278.0,6.0,3.0,1012.0,6.0,3.0,619.4,5.0,3.0,2625.0
6.0,5.0,405.8,6.0,5.0,1019.0,6.0,5.0,998.9,6.0,5.0,317.3,6.0,4.0,308.7,5.0,4.0,598.1
