1,渡邉 和将,渡邉 和将.1,2,仲谷 颯仁,仲谷 颯仁.1,3,永嶋 裕一,永嶋 裕一.1,4,黒井 達矢,黒井 達矢.1,5,岡崎 恭裕,岡崎 恭裕.1,6,長野　壮志郎,長野　壮志郎.1
2.0,3.0,12.7,1.0,3.0,56.4,1.0,2.0,392.1,1.0,2.0,112.6,1.0,2.0,43.6,1.0,2.0,336.0
2.0,4.0,7.6,1.0,4.0,30.9,1.0,4.0,379.6,1.0,3.0,293.9,1.0,3.0,117.8,1.0,3.0,926.5
2.0,5.0,7.4,1.0,5.0,33.2,1.0,5.0,388.6,1.0,5.0,114.2,1.0,4.0,75.9,1.0,4.0,555.7
2.0,6.0,17.2,1.0,6.0,53.0,1.0,6.0,510.0,1.0,6.0,125.3,1.0,6.0,95.8,1.0,5.0,535.2
3.0,2.0,31.2,3.0,1.0,175.9,2.0,1.0,431.6,2.0,1.0,174.2,2.0,1.0,90.9,2.0,1.0,443.9
3.0,4.0,47.9,3.0,4.0,170.1,2.0,4.0,403.0,2.0,3.0,444.9,2.0,3.0,331.3,2.0,3.0,1357.0
3.0,5.0,42.9,3.0,5.0,254.2,2.0,5.0,576.1,2.0,5.0,255.0,2.0,4.0,224.4,2.0,4.0,766.7
3.0,6.0,74.1,3.0,6.0,215.6,2.0,6.0,548.0,2.0,6.0,190.8,2.0,6.0,233.5,2.0,5.0,906.7
4.0,2.0,19.5,4.0,1.0,90.8,4.0,1.0,517.5,3.0,1.0,598.1,3.0,1.0,461.0,3.0,1.0,1504.0
4.0,3.0,52.5,4.0,3.0,176.9,4.0,2.0,670.1,3.0,2.0,700.8,3.0,2.0,616.0,3.0,2.0,1726.0
4.0,5.0,26.0,4.0,5.0,140.6,4.0,5.0,745.6,3.0,5.0,808.3,3.0,4.0,820.5,3.0,4.0,1580.0
4.0,6.0,40.2,4.0,6.0,121.2,4.0,6.0,619.9,3.0,6.0,460.7,3.0,6.0,848.6,3.0,5.0,2019.0
5.0,2.0,10.0,5.0,1.0,81.4,5.0,1.0,584.6,5.0,1.0,193.8,4.0,1.0,249.9,4.0,1.0,594.5
5.0,3.0,26.9,5.0,3.0,265.9,5.0,2.0,810.5,5.0,2.0,304.5,4.0,2.0,366.1,4.0,2.0,639.8
5.0,4.0,18.5,5.0,4.0,157.8,5.0,4.0,1025.0,5.0,3.0,733.6,4.0,3.0,849.8,4.0,3.0,1079.0
5.0,6.0,28.0,5.0,6.0,175.7,5.0,6.0,1061.0,5.0,6.0,236.3,4.0,6.0,465.0,4.0,5.0,809.4
6.0,2.0,60.3,6.0,1.0,195.6,6.0,1.0,851.0,6.0,1.0,171.1,6.0,1.0,355.8,5.0,1.0,764.7
6.0,3.0,155.6,6.0,3.0,416.3,6.0,2.0,1009.0,6.0,2.0,214.7,6.0,2.0,456.5,5.0,2.0,936.6
6.0,4.0,100.3,6.0,4.0,270.1,6.0,4.0,1032.0,6.0,3.0,400.3,6.0,3.0,1009.0,5.0,3.0,1805.0
6.0,5.0,87.2,6.0,5.0,348.9,6.0,5.0,1338.0,6.0,5.0,231.4,6.0,4.0,588.0,5.0,4.0,1251.0
