1,鈴木 博,鈴木 博.1,2,百武 翔,百武 翔.1,3,宮迫 暢彦,宮迫 暢彦.1,4,富田 恕生,富田 恕生.1,5,柴田 大輔,柴田 大輔.1,6,森 雄利,森 雄利.1
2.0,3.0,5.3,1.0,3.0,50.4,1.0,2.0,54.8,1.0,2.0,90.6,1.0,2.0,50.3,1.0,2.0,1169.0
2.0,4.0,8.3,1.0,4.0,66.1,1.0,4.0,72.6,1.0,3.0,126.0,1.0,3.0,62.7,1.0,3.0,1441.0
2.0,5.0,14.7,1.0,5.0,89.4,1.0,5.0,91.6,1.0,5.0,148.0,1.0,4.0,121.0,1.0,4.0,1784.0
2.0,6.0,138.9,1.0,6.0,434.2,1.0,6.0,492.7,1.0,6.0,615.2,1.0,6.0,147.8,1.0,5.0,1321.0
3.0,2.0,6.6,3.0,1.0,102.9,2.0,1.0,111.6,2.0,1.0,181.7,2.0,1.0,88.5,2.0,1.0,1754.0
3.0,4.0,9.4,3.0,4.0,247.3,2.0,4.0,204.9,2.0,3.0,318.1,2.0,3.0,166.3,2.0,3.0,2659.0
3.0,5.0,13.9,3.0,5.0,349.2,2.0,5.0,335.3,2.0,5.0,418.1,2.0,4.0,283.3,2.0,4.0,2446.0
3.0,6.0,141.7,3.0,6.0,1282.0,2.0,6.0,1106.0,2.0,6.0,1219.0,2.0,6.0,310.9,2.0,5.0,2218.0
4.0,2.0,15.1,4.0,1.0,218.9,4.0,1.0,184.6,3.0,1.0,238.9,3.0,1.0,142.5,3.0,1.0,2533.0
4.0,3.0,19.9,4.0,3.0,395.3,4.0,2.0,263.1,3.0,2.0,343.3,3.0,2.0,243.7,3.0,2.0,3293.0
4.0,5.0,36.1,4.0,5.0,563.4,4.0,5.0,370.1,3.0,5.0,511.5,3.0,4.0,446.0,3.0,4.0,2817.0
4.0,6.0,186.0,4.0,6.0,1213.0,4.0,6.0,1591.0,3.0,6.0,1894.0,3.0,6.0,579.4,3.0,5.0,3425.0
5.0,2.0,25.0,5.0,1.0,212.2,5.0,1.0,227.8,5.0,1.0,221.8,4.0,1.0,249.9,4.0,1.0,2475.0
5.0,3.0,27.2,5.0,3.0,431.6,5.0,2.0,387.8,5.0,2.0,336.9,4.0,2.0,421.8,4.0,2.0,2710.0
5.0,4.0,51.4,5.0,4.0,682.9,5.0,4.0,532.5,5.0,3.0,452.6,4.0,3.0,523.4,4.0,3.0,4117.0
5.0,6.0,127.2,5.0,6.0,1012.0,5.0,6.0,1293.0,5.0,6.0,863.3,4.0,6.0,730.7,4.0,5.0,4001.0
6.0,2.0,333.7,6.0,1.0,1621.0,6.0,1.0,2029.0,6.0,1.0,1381.0,6.0,1.0,284.3,5.0,1.0,1329.0
6.0,3.0,406.2,6.0,3.0,2518.0,6.0,2.0,3171.0,6.0,2.0,1679.0,6.0,2.0,409.7,5.0,2.0,1799.0
6.0,4.0,435.6,6.0,4.0,2659.0,6.0,4.0,3219.0,6.0,3.0,2277.0,6.0,3.0,565.6,5.0,3.0,2109.0
6.0,5.0,313.4,6.0,5.0,1964.0,6.0,5.0,2710.0,6.0,5.0,2039.0,6.0,4.0,804.9,5.0,4.0,2727.0
