1,平山 智加,平山 智加.1,2,大須賀 友,大須賀 友.1,3,溝口　海義也,溝口　海義也.1,4,本村 大,本村 大.1,5,安藤 裕貴,安藤 裕貴.1,6,松本 真広,松本 真広.1
2.0,3.0,4.0,1.0,3.0,12.2,1.0,2.0,27.6,1.0,2.0,133.6,1.0,2.0,712.3,1.0,2.0,1234.0
2.0,4.0,8.6,1.0,4.0,22.2,1.0,4.0,37.0,1.0,3.0,139.2,1.0,3.0,691.4,1.0,3.0,2689.0
2.0,5.0,29.6,1.0,5.0,82.4,1.0,5.0,84.7,1.0,5.0,325.1,1.0,4.0,1206.0,1.0,4.0,3296.0
2.0,6.0,91.6,1.0,6.0,222.3,1.0,6.0,235.6,1.0,6.0,585.7,1.0,6.0,2145.0,1.0,5.0,4701.0
3.0,2.0,5.5,3.0,1.0,31.1,2.0,1.0,47.5,2.0,1.0,185.6,2.0,1.0,970.7,2.0,1.0,1609.0
3.0,4.0,9.1,3.0,4.0,60.4,2.0,4.0,85.0,2.0,3.0,257.1,2.0,3.0,2002.0,2.0,3.0,3296.0
3.0,5.0,28.6,3.0,5.0,201.8,2.0,5.0,213.7,2.0,5.0,527.4,2.0,4.0,2550.0,2.0,4.0,4034.0
3.0,6.0,90.8,3.0,6.0,433.5,2.0,6.0,421.0,2.0,6.0,804.5,2.0,6.0,3510.0,2.0,5.0,6931.0
4.0,2.0,23.1,4.0,1.0,83.8,4.0,1.0,85.3,3.0,1.0,189.1,3.0,1.0,1094.0,3.0,1.0,4096.0
4.0,3.0,25.4,4.0,3.0,126.0,4.0,2.0,108.3,3.0,2.0,252.1,3.0,2.0,2009.0,3.0,2.0,3604.0
4.0,5.0,88.9,4.0,5.0,345.0,4.0,5.0,207.5,3.0,5.0,421.0,3.0,4.0,1711.0,3.0,4.0,4915.0
4.0,6.0,155.0,4.0,6.0,639.1,4.0,6.0,466.1,3.0,6.0,916.4,3.0,6.0,4582.0,3.0,5.0,8192.0
5.0,2.0,129.0,5.0,1.0,464.1,5.0,1.0,337.7,5.0,1.0,535.3,4.0,1.0,1721.0,4.0,1.0,4191.0
5.0,3.0,114.1,5.0,3.0,611.6,5.0,2.0,478.4,5.0,2.0,658.5,4.0,2.0,2071.0,4.0,2.0,3653.0
5.0,4.0,209.8,5.0,4.0,873.4,5.0,4.0,477.6,5.0,3.0,616.5,4.0,3.0,1590.0,4.0,3.0,4827.0
5.0,6.0,499.2,5.0,6.0,1576.0,5.0,6.0,1051.0,5.0,6.0,938.6,4.0,6.0,2772.0,4.0,5.0,5149.0
6.0,2.0,421.7,6.0,1.0,896.6,6.0,1.0,1209.0,6.0,1.0,1457.0,6.0,1.0,4291.0,5.0,1.0,7509.0
6.0,3.0,526.4,6.0,3.0,1415.0,6.0,2.0,1162.0,6.0,2.0,1457.0,6.0,2.0,4960.0,5.0,2.0,7836.0
6.0,4.0,653.7,6.0,4.0,1523.0,6.0,4.0,1585.0,6.0,3.0,2032.0,6.0,3.0,5751.0,5.0,3.0,7114.0
6.0,5.0,886.3,6.0,5.0,1851.0,6.0,5.0,1527.0,6.0,5.0,1679.0,6.0,4.0,4257.0,5.0,4.0,6361.0
