1,嶋田 貴支,嶋田 貴支.1,2,小野 信樹,小野 信樹.1,3,井上 大輔,井上 大輔.1,4,塩田 雄一,塩田 雄一.1,5,中田 元泰,中田 元泰.1,6,川村 正輝,川村 正輝.1
2.0,3.0,43.6,1.0,3.0,140.3,1.0,2.0,75.2,1.0,2.0,609.4,1.0,2.0,43.1,1.0,2.0,876.3
2.0,4.0,94.5,1.0,4.0,256.0,1.0,4.0,71.5,1.0,3.0,431.1,1.0,3.0,16.5,1.0,3.0,595.9
2.0,5.0,27.4,1.0,5.0,77.3,1.0,5.0,17.7,1.0,5.0,299.7,1.0,4.0,67.0,1.0,4.0,1410.0
2.0,6.0,120.8,1.0,6.0,312.4,1.0,6.0,72.5,1.0,6.0,586.5,1.0,6.0,27.8,1.0,5.0,375.4
3.0,2.0,34.2,3.0,1.0,203.0,2.0,1.0,148.9,2.0,1.0,825.0,2.0,1.0,105.7,2.0,1.0,1518.0
3.0,4.0,42.8,3.0,4.0,306.9,2.0,4.0,218.5,2.0,3.0,922.7,2.0,3.0,108.5,2.0,3.0,1503.0
3.0,5.0,10.7,3.0,5.0,136.3,2.0,5.0,85.3,2.0,5.0,584.2,2.0,4.0,235.0,2.0,4.0,2350.0
3.0,6.0,52.2,3.0,6.0,422.5,2.0,6.0,254.4,2.0,6.0,1249.0,2.0,6.0,144.1,2.0,5.0,977.5
4.0,2.0,139.2,4.0,1.0,553.6,4.0,1.0,113.7,3.0,1.0,394.4,3.0,1.0,22.6,3.0,1.0,876.3
4.0,3.0,101.9,4.0,3.0,562.0,4.0,2.0,211.7,3.0,2.0,574.0,3.0,2.0,64.1,3.0,2.0,1194.0
4.0,5.0,70.4,4.0,5.0,393.8,4.0,5.0,55.2,3.0,5.0,183.8,3.0,4.0,71.8,3.0,4.0,1218.0
4.0,6.0,214.3,4.0,6.0,1097.0,4.0,6.0,151.9,3.0,6.0,470.1,3.0,6.0,30.0,3.0,5.0,345.6
5.0,2.0,22.2,5.0,1.0,148.1,5.0,1.0,17.8,5.0,1.0,293.2,4.0,1.0,168.4,4.0,1.0,2194.0
5.0,3.0,10.6,5.0,3.0,146.1,5.0,2.0,46.4,5.0,2.0,432.4,4.0,2.0,283.1,4.0,2.0,2427.0
5.0,4.0,37.6,5.0,4.0,320.2,5.0,4.0,36.2,5.0,3.0,187.7,4.0,3.0,147.9,4.0,3.0,1583.0
5.0,6.0,23.4,5.0,6.0,275.0,5.0,6.0,28.1,5.0,6.0,292.3,4.0,6.0,174.3,4.0,5.0,958.5
6.0,2.0,275.7,6.0,1.0,911.3,6.0,1.0,211.4,6.0,1.0,1260.0,6.0,1.0,48.2,5.0,1.0,352.6
6.0,3.0,145.1,6.0,3.0,1113.0,6.0,2.0,351.3,6.0,2.0,1601.0,6.0,2.0,116.9,5.0,2.0,656.7
6.0,4.0,376.3,6.0,4.0,1609.0,6.0,4.0,280.2,6.0,3.0,1004.0,6.0,3.0,47.7,5.0,3.0,276.8
6.0,5.0,80.7,6.0,5.0,642.5,6.0,5.0,106.5,6.0,5.0,599.5,6.0,4.0,149.2,5.0,4.0,695.3
