1,東 潤樹,東 潤樹.1,2,出畑 孝典,出畑 孝典.1,3,深山 祐二,深山 祐二.1,4,桂林 寛,桂林 寛.1,5,上村 純一,上村 純一.1,6,大串 重幸,大串 重幸.1
2.0,3.0,20.9,1.0,3.0,25.7,1.0,2.0,132.7,1.0,2.0,154.5,1.0,2.0,37.8,1.0,2.0,1115.0
2.0,4.0,24.9,1.0,4.0,23.5,1.0,4.0,206.4,1.0,3.0,359.7,1.0,3.0,120.6,1.0,3.0,2015.0
2.0,5.0,13.0,1.0,5.0,10.4,1.0,5.0,140.0,1.0,5.0,132.1,1.0,4.0,91.9,1.0,4.0,1186.0
2.0,6.0,61.8,1.0,6.0,51.6,1.0,6.0,388.0,1.0,6.0,269.2,1.0,6.0,85.3,1.0,5.0,1283.0
3.0,2.0,34.9,3.0,1.0,60.7,2.0,1.0,138.7,2.0,1.0,153.9,2.0,1.0,32.9,2.0,1.0,1301.0
3.0,4.0,66.4,3.0,4.0,99.0,2.0,4.0,167.3,2.0,3.0,300.8,2.0,3.0,69.7,2.0,3.0,1784.0
3.0,5.0,49.6,3.0,5.0,42.5,2.0,5.0,96.7,2.0,5.0,82.3,2.0,4.0,44.8,2.0,4.0,1224.0
3.0,6.0,171.7,3.0,6.0,149.3,2.0,6.0,281.3,2.0,6.0,165.5,2.0,6.0,47.4,2.0,5.0,662.2
4.0,2.0,53.6,4.0,1.0,57.1,4.0,1.0,395.3,3.0,1.0,648.4,3.0,1.0,206.8,3.0,1.0,2602.0
4.0,3.0,99.5,4.0,3.0,87.3,4.0,2.0,332.2,3.0,2.0,535.4,3.0,2.0,147.8,3.0,2.0,2179.0
4.0,5.0,59.8,4.0,5.0,34.7,4.0,5.0,304.2,3.0,5.0,450.5,3.0,4.0,344.5,3.0,4.0,2928.0
4.0,6.0,191.6,4.0,6.0,104.0,4.0,6.0,622.6,3.0,6.0,771.2,3.0,6.0,277.2,3.0,5.0,1952.0
5.0,2.0,23.3,5.0,1.0,15.3,5.0,1.0,200.4,5.0,1.0,93.7,4.0,1.0,93.1,4.0,1.0,2082.0
5.0,3.0,56.2,5.0,3.0,33.3,5.0,2.0,142.4,5.0,2.0,66.7,4.0,2.0,65.2,4.0,2.0,1301.0
5.0,4.0,52.5,5.0,4.0,23.9,5.0,4.0,269.2,5.0,3.0,259.5,4.0,3.0,260.6,4.0,3.0,2532.0
5.0,6.0,91.1,5.0,6.0,35.5,5.0,6.0,330.5,5.0,6.0,92.9,4.0,6.0,97.1,4.0,5.0,1164.0
6.0,2.0,323.6,6.0,1.0,251.2,6.0,1.0,996.8,6.0,1.0,445.1,6.0,1.0,160.7,5.0,1.0,1077.0
6.0,3.0,624.7,6.0,3.0,468.5,6.0,2.0,961.0,6.0,2.0,296.0,6.0,2.0,110.7,5.0,2.0,596.8
6.0,4.0,466.1,6.0,4.0,262.8,6.0,4.0,1348.0,6.0,3.0,956.1,6.0,3.0,377.0,5.0,3.0,1972.0
6.0,5.0,327.6,6.0,5.0,147.8,6.0,5.0,932.3,6.0,5.0,279.3,6.0,4.0,184.2,5.0,4.0,932.3
