1,高山 敬悟,高山 敬悟.1,2,江藤 敦宏,江藤 敦宏.1,3,秋山 広一,秋山 広一.1,4,河合 三弘,河合 三弘.1,5,中田 友也,中田 友也.1,6,田口 節子,田口 節子.1
2.0,3.0,59.0,1.0,3.0,99.4,1.0,2.0,50.9,1.0,2.0,486.8,1.0,2.0,921.8,1.0,2.0,79.6
2.0,4.0,123.2,1.0,4.0,170.1,1.0,4.0,46.4,1.0,3.0,251.7,1.0,3.0,442.5,1.0,3.0,41.4
2.0,5.0,174.2,1.0,5.0,247.0,1.0,5.0,64.9,1.0,5.0,472.9,1.0,4.0,740.2,1.0,4.0,103.5
2.0,6.0,90.8,1.0,6.0,113.8,1.0,6.0,22.5,1.0,6.0,223.9,1.0,6.0,388.9,1.0,5.0,128.9
3.0,2.0,35.8,3.0,1.0,100.7,2.0,1.0,88.4,2.0,1.0,544.0,2.0,1.0,1005.0,2.0,1.0,105.3
3.0,4.0,32.9,3.0,4.0,100.1,2.0,4.0,77.9,2.0,3.0,350.5,2.0,3.0,495.3,2.0,3.0,67.4
3.0,5.0,58.6,3.0,5.0,120.3,2.0,5.0,90.4,2.0,5.0,557.7,2.0,4.0,888.9,2.0,4.0,175.7
3.0,6.0,20.4,3.0,6.0,60.7,2.0,6.0,43.3,2.0,6.0,294.5,2.0,6.0,464.1,2.0,5.0,169.0
4.0,2.0,113.6,4.0,1.0,285.6,4.0,1.0,54.4,3.0,1.0,190.9,3.0,1.0,380.0,3.0,1.0,37.9
4.0,3.0,86.0,4.0,3.0,193.8,4.0,2.0,73.3,3.0,2.0,235.6,3.0,2.0,383.6,3.0,2.0,51.6
4.0,5.0,178.9,4.0,5.0,328.0,4.0,5.0,42.0,3.0,5.0,151.8,3.0,4.0,269.8,3.0,4.0,34.7
4.0,6.0,89.1,4.0,6.0,179.0,4.0,6.0,18.2,3.0,6.0,78.4,3.0,6.0,114.5,3.0,5.0,33.5
5.0,2.0,262.3,5.0,1.0,551.6,5.0,1.0,108.1,5.0,1.0,470.7,4.0,1.0,721.4,4.0,1.0,207.6
5.0,3.0,165.2,5.0,3.0,284.0,5.0,2.0,110.0,5.0,2.0,480.9,4.0,2.0,734.7,4.0,2.0,230.4
5.0,4.0,347.5,5.0,4.0,514.5,5.0,4.0,56.8,5.0,3.0,231.0,4.0,3.0,366.7,4.0,3.0,66.4
5.0,6.0,157.1,5.0,6.0,272.4,5.0,6.0,27.7,5.0,6.0,181.0,4.0,6.0,295.4,4.0,5.0,142.0
6.0,2.0,66.5,6.0,1.0,151.8,6.0,1.0,26.8,6.0,1.0,250.4,6.0,1.0,342.7,5.0,1.0,203.4
6.0,3.0,35.4,6.0,3.0,93.7,6.0,2.0,36.1,6.0,2.0,260.2,6.0,2.0,345.1,5.0,2.0,198.1
6.0,4.0,83.7,6.0,4.0,181.1,6.0,4.0,17.2,6.0,3.0,98.6,6.0,3.0,133.1,5.0,3.0,65.3
6.0,5.0,101.5,6.0,5.0,221.5,6.0,5.0,20.8,6.0,5.0,165.5,6.0,4.0,250.4,5.0,4.0,145.2
