1,楠原 正剛,楠原 正剛.1,2,坂東 満,坂東 満.1,3,今出 晋二,今出 晋二.1,4,本橋 克洋,本橋 克洋.1,5,松下 知幸,松下 知幸.1,6,松村 敏,松村 敏.1
2.0,3.0,40.3,1.0,3.0,176.4,1.0,2.0,179.8,1.0,2.0,132.0,1.0,2.0,555.9,1.0,2.0,31.1
2.0,4.0,23.1,1.0,4.0,125.5,1.0,4.0,108.4,1.0,3.0,209.8,1.0,3.0,638.8,1.0,3.0,42.9
2.0,5.0,65.4,1.0,5.0,259.8,1.0,5.0,183.6,1.0,5.0,186.2,1.0,4.0,637.1,1.0,4.0,22.4
2.0,6.0,14.2,1.0,6.0,73.0,1.0,6.0,61.7,1.0,6.0,48.7,1.0,6.0,262.2,1.0,5.0,62.8
3.0,2.0,44.8,3.0,1.0,383.5,2.0,1.0,373.0,2.0,1.0,235.2,2.0,1.0,896.3,2.0,1.0,82.1
3.0,4.0,29.8,3.0,4.0,705.0,2.0,4.0,465.3,2.0,3.0,688.3,2.0,3.0,1713.0,2.0,3.0,210.4
3.0,5.0,60.9,3.0,5.0,800.2,2.0,5.0,637.1,2.0,5.0,599.1,2.0,4.0,1606.0,2.0,4.0,102.9
3.0,6.0,18.9,3.0,6.0,376.0,2.0,6.0,230.1,2.0,6.0,189.5,2.0,6.0,760.7,2.0,5.0,243.4
4.0,2.0,27.5,4.0,1.0,243.1,4.0,1.0,185.3,3.0,1.0,309.5,3.0,1.0,903.3,3.0,1.0,98.9
4.0,3.0,35.8,4.0,3.0,783.9,4.0,2.0,425.1,3.0,2.0,660.7,3.0,2.0,1594.0,3.0,2.0,244.2
4.0,5.0,51.4,4.0,5.0,773.4,4.0,5.0,387.3,3.0,5.0,610.2,3.0,4.0,1640.0,3.0,4.0,141.3
4.0,6.0,10.5,4.0,6.0,226.0,4.0,6.0,117.6,3.0,6.0,222.5,3.0,6.0,678.2,3.0,5.0,243.4
5.0,2.0,109.2,5.0,1.0,644.2,5.0,1.0,448.1,5.0,1.0,335.6,4.0,1.0,711.5,4.0,1.0,40.6
5.0,3.0,118.2,5.0,3.0,1250.0,5.0,2.0,713.7,5.0,2.0,568.2,4.0,2.0,1256.0,4.0,2.0,78.9
5.0,4.0,109.8,5.0,4.0,1243.0,5.0,4.0,760.7,5.0,3.0,750.8,4.0,3.0,1562.0,4.0,3.0,125.4
5.0,6.0,59.8,5.0,6.0,565.4,5.0,6.0,267.0,5.0,6.0,206.1,4.0,6.0,436.3,4.0,5.0,121.0
6.0,2.0,14.0,6.0,1.0,130.4,6.0,1.0,73.4,6.0,1.0,48.9,6.0,1.0,276.6,5.0,1.0,157.3
6.0,3.0,17.8,6.0,3.0,346.7,6.0,2.0,184.5,6.0,2.0,109.0,6.0,2.0,649.6,5.0,2.0,332.2
6.0,4.0,10.3,6.0,4.0,203.7,6.0,4.0,110.4,6.0,3.0,154.0,6.0,3.0,589.9,5.0,3.0,318.5
6.0,5.0,27.1,6.0,5.0,363.6,6.0,5.0,170.9,6.0,5.0,126.2,6.0,4.0,386.0,5.0,4.0,191.4
