1,野村 誠,野村 誠.1,2,伏島 祐介,伏島 祐介.1,3,高橋 直哉,高橋 直哉.1,4,石田 勇斗,石田 勇斗.1,5,竹井 奈美,竹井 奈美.1,6,松井 賢治,松井 賢治.1
2.0,3.0,11.7,1.0,3.0,72.2,1.0,2.0,54.8,1.0,2.0,468.5,1.0,2.0,144.9,1.0,2.0,202.2
2.0,4.0,38.9,1.0,4.0,164.3,1.0,4.0,75.8,1.0,3.0,442.7,1.0,3.0,109.5,1.0,3.0,126.4
2.0,5.0,20.4,1.0,5.0,100.2,1.0,5.0,40.5,1.0,5.0,371.8,1.0,4.0,319.5,1.0,4.0,368.7
2.0,6.0,19.5,1.0,6.0,90.7,1.0,6.0,34.9,1.0,6.0,337.4,1.0,6.0,87.9,1.0,5.0,169.5
3.0,2.0,10.5,3.0,1.0,144.5,2.0,1.0,136.1,2.0,1.0,734.1,2.0,1.0,293.2,2.0,1.0,397.3
3.0,4.0,25.3,3.0,4.0,295.4,2.0,4.0,284.7,2.0,3.0,775.9,2.0,3.0,390.8,2.0,3.0,546.1
3.0,5.0,10.2,3.0,5.0,219.3,2.0,5.0,173.4,2.0,5.0,805.8,2.0,4.0,737.5,2.0,4.0,1165.0
3.0,6.0,8.3,3.0,6.0,203.2,2.0,6.0,151.8,2.0,6.0,678.5,2.0,6.0,316.6,2.0,5.0,587.0
4.0,2.0,74.7,4.0,1.0,499.1,4.0,1.0,218.1,3.0,1.0,639.7,3.0,1.0,202.5,3.0,1.0,202.2
4.0,3.0,57.6,4.0,3.0,523.3,4.0,2.0,318.2,3.0,2.0,829.2,3.0,2.0,389.8,3.0,2.0,423.0
4.0,5.0,74.4,4.0,5.0,638.4,4.0,5.0,226.3,3.0,5.0,729.0,3.0,4.0,558.7,3.0,4.0,595.9
4.0,6.0,61.2,4.0,6.0,533.1,4.0,6.0,214.5,3.0,6.0,679.9,3.0,6.0,208.2,3.0,5.0,329.2
5.0,2.0,32.6,5.0,1.0,270.0,5.0,1.0,94.2,5.0,1.0,530.4,4.0,1.0,637.1,4.0,1.0,863.5
5.0,3.0,19.1,5.0,3.0,382.2,5.0,2.0,200.9,5.0,2.0,706.0,4.0,2.0,772.1,4.0,2.0,1169.0
5.0,4.0,91.0,5.0,4.0,710.8,5.0,4.0,236.0,5.0,3.0,613.4,4.0,3.0,781.7,4.0,3.0,1088.0
5.0,6.0,20.8,5.0,6.0,333.1,5.0,6.0,102.1,5.0,6.0,423.6,4.0,6.0,621.9,4.0,5.0,1084.0
6.0,2.0,34.3,6.0,1.0,289.9,6.0,1.0,83.6,6.0,1.0,568.9,6.0,1.0,130.7,5.0,1.0,234.1
6.0,3.0,18.9,6.0,3.0,392.3,6.0,2.0,180.6,6.0,2.0,890.5,6.0,2.0,279.3,5.0,2.0,499.1
6.0,4.0,80.3,6.0,4.0,770.2,6.0,4.0,218.4,6.0,3.0,833.7,6.0,3.0,218.4,5.0,3.0,356.6
6.0,5.0,29.3,6.0,5.0,410.8,6.0,5.0,124.5,6.0,5.0,576.2,6.0,4.0,525.9,5.0,4.0,766.4
