1,松村 敏,松村 敏.1,2,峰重 侑治,峰重 侑治.1,3,相原 利章,相原 利章.1,4,高橋 勲,高橋 勲.1,5,中嶋 達也,中嶋 達也.1,6,植田 太一,植田 太一.1
2.0,3.0,3.4,1.0,3.0,45.2,1.0,2.0,85.7,1.0,2.0,223.1,1.0,2.0,618.9,1.0,2.0,427.0
2.0,4.0,6.9,1.0,4.0,83.1,1.0,4.0,177.3,1.0,3.0,298.5,1.0,3.0,854.0,1.0,3.0,719.4
2.0,5.0,15.8,1.0,5.0,165.8,1.0,5.0,262.6,1.0,5.0,467.5,1.0,4.0,1072.0,1.0,4.0,804.6
2.0,6.0,12.4,1.0,6.0,109.7,1.0,6.0,266.5,1.0,6.0,321.1,1.0,6.0,1057.0,1.0,5.0,901.9
3.0,2.0,6.4,3.0,1.0,122.0,2.0,1.0,131.6,2.0,1.0,386.0,2.0,1.0,1132.0,2.0,1.0,586.8
3.0,4.0,12.2,3.0,4.0,372.4,2.0,4.0,374.2,2.0,3.0,620.1,2.0,3.0,1899.0,2.0,3.0,1167.0
3.0,5.0,24.2,3.0,5.0,568.3,2.0,5.0,564.1,2.0,5.0,1136.0,2.0,4.0,2779.0,2.0,4.0,1306.0
3.0,6.0,21.1,3.0,6.0,438.0,2.0,6.0,545.0,2.0,6.0,802.5,2.0,6.0,1670.0,2.0,5.0,1661.0
4.0,2.0,20.1,4.0,1.0,294.5,4.0,1.0,444.4,3.0,1.0,532.6,3.0,1.0,1409.0,3.0,1.0,1498.0
4.0,3.0,24.9,4.0,3.0,536.4,4.0,2.0,626.5,3.0,2.0,592.5,3.0,2.0,1237.0,3.0,2.0,1830.0
4.0,5.0,57.3,4.0,5.0,1065.0,4.0,5.0,1111.0,3.0,5.0,1279.0,3.0,4.0,1819.0,3.0,4.0,2682.0
4.0,6.0,43.4,4.0,6.0,745.7,4.0,6.0,1065.0,3.0,6.0,1449.0,3.0,6.0,2805.0,3.0,5.0,3057.0
5.0,2.0,61.1,5.0,1.0,754.9,5.0,1.0,999.2,5.0,1.0,999.2,4.0,1.0,2407.0,4.0,1.0,1643.0
5.0,3.0,71.1,5.0,3.0,1232.0,5.0,2.0,1194.0,5.0,2.0,1679.0,4.0,2.0,2939.0,4.0,2.0,1910.0
5.0,4.0,113.5,5.0,4.0,1661.0,5.0,4.0,1708.0,5.0,3.0,1600.0,4.0,3.0,2911.0,4.0,3.0,3152.0
5.0,6.0,126.0,5.0,6.0,1258.0,5.0,6.0,1727.0,5.0,6.0,1242.0,4.0,6.0,2370.0,4.0,5.0,2682.0
6.0,2.0,39.8,6.0,1.0,436.1,6.0,1.0,766.3,6.0,1.0,642.3,6.0,1.0,1584.0,5.0,1.0,1652.0
6.0,3.0,55.4,6.0,3.0,912.7,6.0,2.0,1290.0,6.0,2.0,973.7,6.0,2.0,2635.0,5.0,2.0,2485.0
6.0,4.0,81.4,6.0,4.0,901.9,6.0,4.0,1626.0,6.0,3.0,1389.0,6.0,3.0,2911.0,5.0,3.0,3152.0
6.0,5.0,115.1,6.0,5.0,1258.0,6.0,5.0,1737.0,6.0,5.0,1162.0,6.0,4.0,2526.0,5.0,4.0,2754.0
